id	status	gender	major	dorm	year
1	1	2	24	0	2006
2	1	2	5	0	2007
3	1	1	52	0	2007
4	1	1	63	206	2006
5	4	2	0	0	0
6	1	2	2	207	2008
7	1	2	25	0	2009
8	1	1	68	0	2009
9	1	2	5	0	2008
10	5	0	0	0	0
11	1	2	36	0	2007
12	1	1	45	239	2006
13	1	1	32	236	2007
14	2	1	55	237	2004
15	1	2	62	223	2006
16	1	2	5	221	2009
17	1	1	51	205	2008
18	1	2	7	0	2007
19	1	0	0	0	0
20	1	2	45	0	2008
21	1	1	41	0	2006
22	1	2	11	207	2008
23	1	2	57	202	2006
24	1	1	0	0	0
25	2	2	54	0	2005
26	1	1	27	237	2007
27	1	1	45	214	2009
28	1	2	11	0	2006
29	1	0	36	0	0
30	1	0	0	0	0
31	1	1	47	0	2006
32	1	0	55	221	2007
33	1	2	31	217	2006
34	2	0	4	238	2004
35	1	2	4	207	2009
36	1	1	11	212	2009
37	1	2	31	225	2005
38	1	1	0	214	2008
39	2	1	3	0	2004
40	1	1	57	206	2009
41	1	1	27	238	2008
42	1	2	11	227	2006
43	1	1	53	206	2009
44	1	1	0	233	2008
45	1	1	12	0	2007
46	5	2	31	225	2005
47	1	0	0	0	0
48	1	2	54	212	2009
49	2	2	55	0	2004
50	1	1	54	208	2008
51	1	1	0	212	2009
52	1	2	48	0	2007
53	1	2	52	0	2006
54	1	1	69	206	2009
55	2	2	5	0	2005
56	1	2	0	0	2008
57	1	2	26	0	2008
58	1	1	57	238	2008
59	1	2	15	213	2008
60	1	2	55	207	2008
61	5	1	69	0	2005
62	1	2	18	0	2007
63	2	1	18	0	0
64	1	2	31	225	2006
65	1	1	57	0	2008
66	1	2	55	0	0
67	1	2	31	215	2006
68	1	2	45	0	2006
69	5	2	36	0	2004
70	2	2	0	218	0
71	2	2	23	242	2005
72	1	2	55	209	2009
73	1	2	21	207	2009
74	1	1	5	205	2009
75	1	1	12	0	2006
76	1	2	43	0	2006
77	1	1	11	233	2007
78	2	1	27	0	2004
79	5	0	0	0	0
80	1	0	25	205	2007
81	1	2	31	213	2006
82	1	2	0	203	2009
83	1	2	36	202	2005
84	1	1	0	206	2009
85	1	1	18	230	2008
86	5	2	69	0	0
87	1	2	31	223	2006
88	1	2	54	0	2006
89	2	2	27	0	2004
90	1	1	0	207	2009
91	1	1	11	0	2006
92	1	1	8	202	2007
93	1	2	1	0	2006
94	1	2	27	203	2009
95	1	2	10	202	2007
96	1	2	52	0	0
97	2	2	54	0	2003
98	5	2	36	241	0
99	2	2	42	0	2003
100	1	2	36	0	2005
101	2	1	57	0	2005
102	2	1	31	0	2005
103	5	1	0	0	2007
104	1	2	55	229	2007
105	1	2	30	0	2010
106	1	2	27	0	2006
107	1	1	51	0	2007
108	1	0	27	233	2007
109	1	2	11	225	2008
110	2	1	42	230	2005
111	1	0	31	228	2006
112	1	2	11	203	2009
113	1	2	11	0	2006
114	1	1	11	0	2007
115	1	1	57	0	2007
116	2	1	0	0	2004
117	5	2	5	0	2008
118	1	2	11	213	2007
119	1	2	12	225	2006
120	1	2	53	207	2006
121	1	0	0	0	0
122	2	2	36	202	2005
123	1	2	24	0	2008
124	1	2	5	0	2007
125	1	2	55	216	0
126	5	2	57	0	0
127	1	1	4	207	2009
128	1	2	26	212	2008
129	1	2	10	208	2008
130	1	2	45	227	2008
131	1	0	42	225	2007
132	1	1	0	0	0
133	5	2	0	0	0
134	1	0	0	0	0
135	1	1	0	207	2008
136	2	0	0	0	0
137	2	1	51	236	2005
138	1	2	13	212	2009
139	5	2	45	0	2004
140	1	2	21	0	2006
141	5	2	0	0	2007
142	1	2	11	0	2008
143	1	2	10	229	2008
144	1	1	11	230	2008
145	1	2	25	212	2008
146	1	1	57	202	2006
147	1	2	0	221	2008
148	1	2	5	0	2009
149	1	1	51	233	2006
150	2	2	44	0	2005
151	5	2	3	0	0
152	1	2	19	0	2007
153	1	2	31	229	2006
154	1	1	0	237	2008
155	1	1	5	0	2008
156	1	1	68	243	2009
157	5	2	42	0	0
158	1	1	11	240	2005
159	1	1	6	239	2006
160	1	1	5	0	2007
161	1	1	0	238	0
162	1	1	55	0	2007
163	1	1	44	238	2008
164	2	1	12	0	2005
165	2	1	42	233	2004
166	1	2	36	227	2006
167	1	1	55	243	2009
168	1	1	57	236	2007
169	1	1	0	206	2009
170	1	0	0	225	0
171	5	2	36	0	0
172	1	2	24	209	2009
173	1	1	57	0	2006
174	1	1	0	203	2009
175	1	1	57	0	2007
176	5	1	44	233	0
177	2	1	31	0	2005
178	1	1	57	237	2007
179	1	1	18	239	2006
180	1	1	13	214	2008
181	1	1	0	212	2009
182	1	2	31	213	2007
183	1	1	7	0	2007
184	1	2	11	212	2008
185	1	1	11	0	2008
186	1	2	12	0	2007
187	1	2	11	241	2008
188	1	1	31	208	2008
189	2	1	51	202	2005
190	1	1	51	214	2008
191	1	2	5	207	2009
192	1	2	12	212	2009
193	2	2	31	0	2005
194	1	2	0	203	2009
195	1	2	0	203	2008
196	1	2	31	0	2006
197	1	2	10	0	2007
198	1	2	5	0	2009
199	2	2	44	227	2005
200	1	1	55	0	2007
201	1	2	11	0	2006
202	1	1	5	0	2006
203	1	2	52	0	2007
204	2	1	31	236	2005
205	1	2	0	227	2008
206	1	1	11	236	2007
207	2	1	32	0	2005
208	1	1	38	0	2005
209	1	2	23	210	2008
210	1	1	68	203	2009
211	2	1	18	230	2004
212	1	2	42	212	2009
213	1	1	5	212	2010
214	2	1	55	0	2005
215	1	2	15	208	2007
216	1	2	31	202	2007
217	1	1	0	212	2009
218	1	2	0	243	2009
219	1	2	11	212	2009
220	4	0	0	0	0
221	1	2	41	227	2007
222	1	1	50	0	2007
223	1	1	51	0	2006
224	1	2	63	0	2007
225	2	2	27	0	2005
226	1	1	0	237	2008
227	1	1	55	239	2008
228	1	1	27	0	2007
229	1	1	30	210	2008
230	1	2	68	207	2009
231	1	1	55	0	2009
232	1	1	45	238	0
233	1	2	11	227	2008
234	1	1	18	212	2009
235	1	1	5	212	2010
236	5	0	0	0	0
237	1	2	0	212	2009
238	1	1	51	0	2007
239	2	1	51	233	2005
240	1	1	28	0	2007
241	1	0	0	0	0
242	1	1	45	0	2008
243	1	1	43	213	2007
244	2	1	24	0	2004
245	1	2	27	229	2007
246	2	1	55	0	2005
247	1	2	24	229	2008
248	2	1	32	207	2001
249	1	2	52	0	2007
250	1	2	0	0	2006
251	2	1	67	0	2004
