id	status	gender	major	dorm	year
1	2	2	287	0	2005
2	1	2	308	0	2006
3	1	1	239	178	2008
4	1	2	295	0	2009
5	1	2	300	0	2009
6	1	2	308	0	2006
7	1	2	245	0	2005
8	1	2	246	102	2007
9	2	1	262	0	2005
10	1	1	0	0	0
11	1	1	294	153	2008
12	1	2	245	115	2008
13	1	1	260	176	2009
14	1	2	251	119	0
15	1	1	270	173	2009
16	1	1	245	0	2009
17	1	2	266	0	2005
18	2	2	287	0	2005
19	2	2	266	0	2004
20	1	0	0	0	0
21	1	1	259	0	2006
22	1	1	235	98	2008
23	1	2	308	158	2008
24	2	0	0	0	0
25	1	0	288	0	2006
26	1	2	255	0	2007
27	1	1	245	0	0
28	1	2	266	177	2007
29	1	1	260	0	2006
30	1	1	266	102	2007
31	1	1	309	0	2008
32	1	1	266	0	0
33	1	2	298	0	2006
34	2	2	288	0	2005
35	1	1	270	0	0
36	1	2	268	0	2006
37	1	2	0	128	2008
38	1	1	288	0	2007
39	1	0	245	154	2009
40	1	2	287	0	2005
41	1	1	309	0	2008
42	1	2	245	178	2007
43	1	1	259	86	2009
44	1	1	305	102	2005
45	1	0	0	0	0
46	1	2	273	107	2009
47	1	2	245	0	2009
48	1	0	288	0	0
49	1	2	245	0	2009
50	1	2	245	96	2009
51	1	0	0	0	0
52	1	0	288	0	2006
53	1	2	259	87	2008
54	2	1	266	0	0
55	1	1	309	0	2005
56	1	0	244	0	2005
57	1	1	237	168	2008
58	1	2	251	0	0
59	1	1	262	0	0
60	1	2	266	0	2006
61	1	1	246	96	2009
62	1	2	323	142	2009
63	2	2	287	0	2005
64	1	1	305	0	2006
65	1	1	255	0	2008
66	1	2	297	0	2006
67	1	0	0	0	0
68	1	2	246	0	2009
69	1	1	245	175	2008
70	1	2	266	146	2007
71	1	2	282	172	0
72	1	2	0	139	2008
73	1	1	314	0	2007
74	1	2	259	0	2006
75	1	2	282	0	2007
76	1	1	307	0	2006
77	2	1	270	0	2005
78	1	1	266	117	2009
79	1	2	300	0	2007
80	1	2	0	87	0
81	1	1	305	152	2008
82	1	1	270	0	0
83	1	1	309	122	2006
84	1	2	0	0	2007
85	1	1	0	106	2008
86	1	1	259	0	0
87	1	1	260	102	2008
88	1	1	248	0	2006
89	2	2	245	175	2005
90	1	1	285	139	2009
91	1	2	287	0	0
92	1	1	305	0	0
93	1	0	245	0	0
94	1	1	305	0	2006
95	1	1	262	88	2005
96	1	2	307	87	2005
97	1	2	244	108	2009
98	2	2	282	160	0
99	1	2	266	178	2008
100	1	2	268	0	2007
101	1	1	309	0	2005
102	1	1	245	0	2007
103	1	2	262	95	2007
104	1	2	266	121	2008
105	1	1	309	0	0
106	1	2	313	0	2007
107	2	1	316	0	2005
108	1	1	245	0	2008
109	1	1	245	0	2006
110	2	1	270	0	2005
111	1	2	304	0	2008
112	1	1	316	0	2006
113	1	2	268	0	0
114	1	2	305	0	2009
115	1	1	0	95	2005
116	1	1	282	95	2006
117	1	2	282	95	0
118	1	2	318	0	2007
119	1	2	266	177	2007
120	1	2	0	178	2007
121	1	2	245	139	2009
122	1	1	0	155	2009
123	1	1	308	0	2006
124	1	1	251	0	2006
125	1	2	268	102	0
126	1	1	308	0	0
127	1	0	0	0	0
128	1	1	245	0	2009
129	2	0	266	0	2005
130	1	1	251	178	2006
131	1	1	0	113	0
132	1	1	308	178	2007
133	1	2	268	0	2009
134	2	1	308	0	2005
135	1	1	288	178	2004
136	1	1	245	0	2009
137	1	2	0	0	2007
138	1	2	269	122	2008
139	1	2	288	0	0
140	1	1	0	104	2009
141	1	1	245	0	0
142	1	2	298	103	2008
143	1	1	0	165	0
144	1	0	245	0	2007
145	1	1	309	0	2008
146	1	2	245	166	2008
147	1	1	0	0	2008
148	1	1	0	0	2009
149	2	1	305	109	2005
150	2	1	245	0	2005
151	1	1	309	133	2009
152	1	1	255	0	2006
153	1	1	308	0	2008
154	1	1	0	178	2007
155	1	2	246	0	2009
156	2	2	316	0	2004
157	1	1	0	0	2008
158	1	2	288	178	2007
159	1	1	245	174	2008
160	1	2	0	114	2004
161	1	1	305	101	0
162	1	1	246	0	2008
163	2	1	259	128	2005
164	1	2	266	178	2006
165	1	1	312	149	2006
166	1	1	245	178	2008
167	4	1	306	86	0
168	1	2	298	95	2005
169	1	1	0	0	0
170	1	1	245	104	2008
171	1	2	270	0	2005
172	1	0	276	0	0
173	1	2	297	178	2006
174	1	2	271	178	0
175	1	2	251	0	0
176	1	2	244	102	2006
177	2	1	309	0	2005
178	1	2	0	0	0
179	1	1	309	0	2008
180	1	1	248	0	2007
181	1	2	266	0	2007
182	1	1	246	178	2008
183	1	2	245	0	2007
184	1	1	284	0	2009
185	2	1	245	0	2005
186	1	2	309	0	2007
187	1	2	245	0	2008
188	2	1	262	0	2007
189	1	2	297	115	2009
190	1	2	266	0	2006
191	1	1	245	0	2006
192	2	2	270	0	2005
193	1	2	245	123	2008
194	1	1	245	140	2008
195	1	1	259	104	2009
196	1	1	297	0	2008
197	1	2	305	0	2007
198	1	0	245	0	0
199	1	2	255	0	2006
200	1	1	245	102	2006
201	2	1	309	110	2004
