id	status	gender	major	dorm	year
1	1	1	159	0	2008
2	1	2	134	0	2009
3	1	1	135	0	0
4	1	1	142	105	2007
5	1	2	208	85	2009
6	1	1	185	0	2006
7	1	2	179	106	2005
8	5	1	181	0	2005
9	1	2	194	107	2007
10	1	1	222	0	2007
11	1	2	143	0	2005
12	1	2	200	52	2009
13	1	2	134	116	0
14	1	2	145	104	2007
15	1	1	212	105	2008
16	1	1	131	83	2009
17	1	1	208	0	2009
18	1	2	179	0	2008
19	1	1	221	116	2009
20	1	1	208	105	2008
21	1	2	200	0	2006
22	1	2	129	74	2008
23	1	2	181	110	2007
24	1	1	222	86	0
25	1	2	179	78	2009
26	1	1	120	0	2007
27	1	2	225	115	2009
28	1	2	220	0	2007
29	1	2	139	108	2009
30	1	2	204	115	2007
31	1	2	148	0	2008
32	1	2	135	74	2008
33	1	1	120	79	2009
34	1	1	179	131	2008
35	1	2	146	0	2005
36	1	2	139	52	2009
37	1	2	223	109	2005
38	1	1	155	115	0
39	1	1	194	0	0
40	1	2	219	79	0
41	1	1	150	104	2006
42	1	1	222	94	2008
43	1	2	165	0	2004
44	1	1	225	0	2007
45	1	1	0	0	2007
46	1	1	0	107	2009
47	1	1	222	82	2009
48	1	1	222	53	2009
49	1	1	118	0	0
50	1	1	213	108	2006
51	1	1	221	105	2006
52	1	2	145	0	2007
53	1	1	212	114	2007
54	1	2	135	105	0
55	1	1	165	0	0
56	1	2	154	0	2005
57	1	1	120	0	2005
58	1	1	179	86	0
59	2	2	145	0	2005
60	5	2	235	0	0
61	1	2	187	105	2009
62	1	1	194	0	2007
63	1	1	193	0	2006
64	1	2	200	95	2006
65	1	1	179	89	2008
66	1	1	192	105	0
67	1	1	134	57	2009
68	1	1	199	0	2008
69	1	2	165	0	2009
70	1	1	176	105	2007
71	1	2	145	0	2008
72	1	1	222	105	2004
73	1	0	0	0	0
74	1	1	0	91	2008
75	1	1	179	121	2008
76	1	2	208	0	2008
77	1	1	225	105	0
78	5	0	0	0	0
79	1	2	0	0	2009
80	1	1	0	0	2008
81	1	1	179	108	2008
82	1	1	161	105	2009
83	1	2	221	0	2007
84	1	2	0	105	2009
85	1	1	205	76	2008
86	1	2	222	131	2008
87	1	1	0	100	2009
88	1	2	221	0	2006
89	1	1	150	124	2007
90	1	2	149	78	2009
91	1	2	198	56	2009
92	1	1	200	83	0
93	1	0	0	0	0
94	1	2	135	83	0
95	1	1	221	58	2007
96	1	1	212	104	2009
97	2	1	200	0	2005
98	1	2	143	0	2007
99	1	1	220	84	2008
100	1	1	222	0	2007
101	1	1	194	121	0
102	2	1	120	107	2000
103	1	1	134	0	2006
104	1	1	135	0	2009
105	1	2	135	87	2008
106	1	1	178	128	2009
107	1	1	134	0	2005
108	1	2	204	0	0
109	1	2	221	0	2007
110	1	1	173	107	2008
111	5	1	118	0	2006
112	1	1	149	51	2009
113	1	2	222	0	2007
114	1	1	212	121	2009
115	1	2	137	0	2009
116	1	2	135	104	2008
117	1	1	120	117	2006
118	1	2	217	105	2008
119	1	2	145	0	2005
120	1	1	120	105	2008
121	1	1	179	0	2007
122	1	2	192	95	2007
123	1	1	212	105	2008
124	1	2	121	105	2008
125	1	1	0	86	2005
126	1	2	183	106	2005
127	2	2	165	0	2005
128	1	1	150	102	0
129	1	2	175	0	2008
130	1	2	148	116	2008
131	5	1	169	0	2005
132	1	2	176	52	0
133	1	2	169	78	2009
134	1	2	144	85	2009
135	2	1	177	0	2004
136	1	2	198	0	2007
137	1	2	200	112	2006
138	1	2	151	115	2006
139	1	1	134	0	2008
140	1	1	155	105	2006
141	1	1	120	128	2008
142	1	2	135	106	2007
143	1	2	204	0	2008
144	1	2	139	85	2009
145	1	1	120	0	2008
146	1	2	179	0	2009
147	1	1	208	57	0
148	1	2	179	115	2006
149	1	1	251	0	2009
150	1	2	148	112	2008
151	1	2	134	0	2008
152	1	1	221	0	2007
153	1	1	220	102	2007
154	1	1	245	0	2006
155	1	2	149	0	2007
156	1	2	148	0	2007
157	1	1	200	85	2008
158	1	2	129	58	2008
159	2	1	222	0	2005
160	1	2	210	0	0
161	1	1	175	51	2009
162	1	2	148	105	2008
163	1	2	194	127	0
164	1	2	220	109	2008
165	1	2	179	58	2008
166	1	2	204	64	2009
167	1	2	165	0	2005
168	1	1	135	86	2008
169	1	1	149	115	2007
170	1	1	134	83	2009
171	1	1	135	118	2007
172	1	1	220	82	2009
173	1	1	212	73	2008
174	1	2	225	0	0
175	5	2	181	111	2007
176	1	2	183	0	0
177	1	1	150	0	0
178	1	1	142	127	2009
179	1	1	179	0	2005
180	1	2	204	87	0
181	1	2	220	0	2006
182	1	1	252	83	2008
183	2	2	198	0	0
184	1	1	158	0	2006
185	1	1	221	94	0
186	1	2	204	0	2008
187	1	1	169	81	2009
188	1	2	204	52	2009
189	1	1	200	91	2006
190	1	2	135	0	2006
191	1	2	178	112	2007
192	1	1	176	52	2009
193	1	1	222	0	2008
194	1	2	154	109	2007
195	1	1	222	0	2005
196	5	1	0	0	0
197	1	2	149	0	0
198	1	1	222	108	2006
199	1	2	221	0	0
200	1	2	221	0	0
201	1	2	177	0	0
202	1	1	142	83	2009
203	1	1	192	0	2009
204	2	2	200	95	0
205	1	1	220	105	2009
206	1	1	0	0	2009
207	1	1	222	0	0
208	1	2	179	0	2008
209	1	1	179	0	0
210	1	2	135	0	2009
211	1	2	139	0	2009
212	1	2	204	83	2009
213	1	2	135	109	2008
214	1	1	200	0	0
215	1	1	200	115	2008
216	1	1	208	0	2009
217	1	2	221	105	2009
218	1	2	160	106	2005
219	1	1	223	128	2008
220	1	1	194	105	2008
221	1	2	143	0	2005
222	1	1	225	108	2005
223	1	1	222	0	0
224	1	1	0	105	2008
225	1	2	165	0	0
226	1	2	154	105	0
227	1	2	200	0	2006
228	1	2	222	0	2005
229	5	2	145	0	0
230	1	2	157	0	2008
231	1	2	183	0	2007
232	1	0	0	0	0
233	1	1	208	0	2008
234	1	2	158	0	0
235	1	2	169	108	2007
236	1	1	194	123	2007
237	1	1	200	107	2007
238	1	2	160	80	2009
239	1	1	212	116	2009
240	1	1	0	0	0
241	1	2	158	104	2009
242	1	2	148	87	2006
243	1	1	222	89	2006
244	1	1	169	51	2009
245	1	1	146	94	2006
246	1	2	165	106	2008
247	1	1	165	107	2007
248	1	2	222	0	0
249	1	2	247	105	2007
250	1	2	148	0	2009
251	1	1	234	0	2008
252	2	1	249	101	2005
253	1	2	121	83	2009
254	1	2	145	108	0
255	1	2	139	114	2008
256	1	2	198	0	2010
257	1	2	135	0	0
258	1	1	212	0	2007
259	1	1	179	0	2008
260	1	1	205	0	2009
261	1	2	120	53	0
262	1	1	252	83	2009
263	5	1	201	0	2004
264	1	1	221	0	2008
265	1	1	200	0	0
266	1	1	120	90	2008
267	1	2	0	0	0
268	1	1	193	0	2007
269	1	1	165	0	2005
270	1	1	208	105	2009
271	1	2	143	128	2008
272	1	2	0	0	2008
273	1	2	221	0	2008
274	1	1	134	0	2008
275	1	1	223	0	2005
276	1	2	164	0	2007
277	1	2	135	116	2007
278	2	2	198	0	2005
279	1	1	200	0	0
280	2	1	200	0	2005
281	1	1	231	0	2007
282	1	1	212	60	0
283	1	2	135	115	2007
284	1	1	127	107	2005
285	2	1	155	91	2004
286	1	1	225	0	2007
287	5	1	152	91	0
288	1	1	222	0	2006
289	1	1	245	85	2009
290	1	1	134	0	2006
291	1	2	165	0	2005
292	1	1	185	0	2005
293	1	1	176	0	2005
294	1	2	0	105	2008
295	1	1	200	100	0
296	1	1	222	0	0
297	1	1	175	0	2007
298	1	1	134	0	2006
299	1	2	204	122	2007
300	1	2	135	0	2007
301	1	1	135	80	2009
302	1	1	0	0	0
303	1	1	129	107	2008
304	1	1	179	107	2008
305	5	2	144	0	0
306	1	1	212	0	0
307	1	1	178	0	2006
308	2	1	213	101	2005
309	1	1	225	55	2009
310	1	1	200	101	0
311	1	1	142	0	2008
312	1	2	149	0	2009
313	2	1	151	108	2005
314	1	2	165	0	2007
315	1	1	155	102	0
316	1	1	225	80	2009
317	1	2	164	0	2006
318	1	1	208	0	2007
319	1	1	181	117	2007
320	1	2	155	109	2007
321	1	1	222	0	2007
322	1	2	223	112	2006
323	1	2	169	54	0
324	2	1	222	102	2005
325	1	2	220	107	0
326	1	0	120	0	0
327	1	1	231	105	2007
328	1	1	179	121	2008
329	1	1	212	0	2007
330	1	1	200	55	2009
331	1	1	135	105	2009
332	1	1	208	0	0
333	1	1	152	0	2007
334	1	1	245	60	2008
335	1	2	134	0	2005
336	1	1	212	105	2006
337	2	2	0	0	2005
338	1	1	222	81	0
339	1	1	193	0	0
340	5	2	152	0	0
341	1	2	177	0	0
342	1	1	155	123	2006
343	1	1	177	107	2007
344	1	2	252	0	2008
345	1	1	0	0	2009
346	1	2	149	114	2006
347	1	1	139	109	2007
348	1	2	209	105	0
349	1	2	149	0	2009
350	1	1	155	0	2007
351	2	1	120	0	2005
352	1	1	222	104	0
353	1	1	222	121	2008
354	1	1	187	134	2007
355	1	1	245	0	2009
356	1	1	222	0	2005
357	2	2	185	0	2005
358	1	1	194	0	2005
359	1	2	135	0	2008
360	1	1	134	52	2009
361	1	2	249	0	2005
362	1	1	179	0	2008
363	1	1	118	0	2006
364	2	2	194	0	2005
365	1	1	0	104	2008
366	2	1	0	0	0
367	1	2	127	0	2006
368	1	2	179	0	2008
369	1	2	0	61	2008
370	1	1	222	0	2006
371	1	2	118	0	2009
372	1	1	200	0	0
373	1	1	179	105	2009
374	1	2	157	106	2008
375	1	1	179	0	2007
376	1	1	155	124	2007
377	1	2	0	56	2009
378	1	1	225	56	2009
379	1	1	212	69	2009
380	1	2	118	0	0
381	1	1	222	0	2006
382	2	2	194	0	0
383	1	1	179	115	2007
384	1	1	0	0	2008
385	2	1	194	0	2004
386	1	2	143	105	2009
387	1	2	0	104	0
388	1	0	208	121	2006
389	1	1	225	104	2009
390	1	2	171	115	0
391	1	2	208	54	2009
392	1	2	208	97	2007
393	1	2	145	64	2008
394	2	2	0	0	2004
395	1	1	179	0	2005
396	1	1	0	83	2009
397	1	2	145	86	2009
398	1	1	252	114	2007
399	1	1	222	0	2007
400	1	1	179	0	2007
401	1	2	187	136	2009
402	1	2	183	55	2009
403	1	1	179	0	2008
404	1	1	212	104	2008
405	1	1	198	55	2009
406	1	2	0	55	0
407	1	1	148	87	2009
408	1	2	249	117	0
409	1	1	221	0	2008
410	1	2	200	105	2008
411	1	1	0	114	2008
412	1	2	135	0	2007
413	1	1	120	101	2006
414	1	1	222	63	2009
415	1	2	204	57	2009
416	1	2	212	0	0
417	1	2	145	104	2009
418	1	1	222	0	2007
419	1	1	129	0	2008
420	1	1	194	0	2007
421	1	2	203	88	2008
422	1	1	213	91	2007
423	1	1	169	107	2007
424	1	1	225	68	2007
425	1	2	178	80	2009
426	5	1	222	0	2004
427	1	2	134	107	2008
428	1	2	222	116	2007
429	1	2	169	0	2006
430	1	1	217	54	2009
431	1	1	155	0	2007
432	1	1	145	0	2006
433	1	2	183	0	2006
434	1	1	0	85	2009
435	1	0	0	0	0
436	1	1	210	82	2009
437	1	1	165	0	2006
438	1	2	165	106	2006
439	1	2	143	0	2005
440	1	1	222	0	2006
441	1	2	165	0	2006
442	1	2	164	87	2006
443	1	1	239	114	2009
444	2	0	222	91	2005
445	1	1	192	57	2009
446	1	1	148	105	2008
447	1	1	0	0	0
448	1	2	135	0	2007
449	1	2	223	121	2006
450	1	2	198	104	2009
451	1	1	222	89	2008
452	5	2	243	0	2005
453	1	1	213	114	0
454	1	1	208	115	2009
455	1	2	145	105	2008
456	1	2	129	0	2006
457	1	2	143	0	0
458	1	1	0	55	2009
459	4	1	0	0	0
460	1	1	120	84	2009
461	1	1	0	107	2008
462	1	2	135	105	2009
463	1	2	148	0	2007
464	1	0	149	89	2008
465	1	1	222	105	2009
466	1	1	169	0	2008
467	1	2	222	107	2006
468	1	2	0	96	0
469	1	1	129	0	0
470	1	1	203	82	2009
471	1	2	120	107	2007
472	1	1	234	124	2007
473	1	1	118	101	2006
474	1	2	198	84	2009
475	1	2	120	131	2008
476	1	2	220	0	2009
477	1	1	150	117	2009
478	1	1	200	0	2006
479	1	1	0	82	2009
480	1	1	225	115	2009
481	1	1	200	108	0
482	1	2	202	104	2009
483	1	1	222	108	2008
484	1	2	176	127	2005
485	1	1	222	86	2009
486	1	1	208	66	2009
487	1	1	200	116	2008
488	1	2	121	113	2008
489	1	2	177	0	2007
490	1	0	0	0	0
491	1	1	152	82	2009
492	1	1	194	100	2005
493	1	1	120	0	2007
494	1	1	179	0	2008
495	1	2	145	0	2005
496	2	1	148	117	2005
497	1	1	179	104	2008
498	1	1	194	131	2006
499	1	0	0	313	2007
500	1	2	187	0	2008
501	1	1	222	83	2009
502	1	2	208	104	2005
503	1	1	204	107	2008
504	1	2	118	96	2008
505	1	2	165	105	2009
506	1	2	0	106	2009
507	1	1	185	0	2006
508	1	1	192	0	2009
509	1	1	203	128	2009
510	1	1	118	0	2006
511	1	2	208	81	2007
512	1	2	0	0	2009
513	5	2	148	117	0
514	1	2	222	109	0
515	1	2	198	0	2006
516	1	2	139	0	2008
517	1	1	194	0	2006
518	1	2	179	0	2008
519	1	2	208	107	2005
520	1	1	135	0	2006
521	1	2	192	0	2007
522	1	2	187	0	2008
523	2	1	200	94	2005
524	1	1	120	83	2009
525	1	1	165	56	0
526	1	2	139	122	2006
527	1	2	182	0	2007
528	1	1	150	0	0
529	1	1	222	121	2009
530	1	2	192	0	0
531	1	2	135	83	2009
532	1	1	200	117	2007
533	1	1	179	115	0
534	1	1	222	105	0
535	1	2	179	115	2008
536	1	2	222	84	2005
537	1	2	165	106	2008
538	1	2	139	106	2006
539	1	2	200	97	2007
540	2	1	213	0	2005
541	1	2	139	82	2004
542	1	2	164	0	0
543	1	2	185	74	2008
544	1	2	151	82	2009
545	1	1	213	0	2006
546	1	1	146	86	2009
547	1	1	155	0	0
548	1	1	134	105	2006
549	1	1	134	54	2008
550	1	1	142	0	2005
551	1	2	145	86	2006
552	1	2	200	0	2006
553	1	2	208	108	2006
554	1	2	245	87	2008
555	1	1	152	56	2009
556	1	1	162	56	2009
557	1	2	222	104	2006
558	2	2	145	0	2004
559	1	2	194	87	2008
560	1	2	185	105	2008
561	1	1	0	84	2009
562	1	1	213	0	0
563	1	2	120	0	0
564	1	2	165	105	2008
565	1	1	210	57	2009
566	1	1	0	87	0
567	1	1	165	0	0
568	1	2	135	107	2008
569	1	2	221	84	2009
570	1	1	212	0	0
571	1	2	204	0	2009
572	1	1	175	79	2009
573	1	2	187	0	2008
574	1	1	198	101	2007
575	1	1	208	68	2008
576	1	1	177	0	2006
577	1	2	143	0	0
578	1	1	135	0	2008
579	2	1	225	0	2004
580	1	1	208	105	2005
581	1	2	192	0	2008
582	1	1	159	0	0
583	1	1	150	117	2008
584	1	2	225	105	0
585	1	1	212	128	0
586	1	2	183	0	2005
587	1	2	148	0	0
588	1	2	204	136	2006
589	1	1	177	0	2007
590	1	1	120	116	2009
591	1	1	212	0	0
592	1	2	165	0	2006
593	1	2	118	0	2007
594	1	2	181	0	2007
595	1	1	0	0	2005
596	1	1	0	121	0
597	1	2	181	0	2006
598	1	2	149	0	2008
599	1	2	118	0	2007
600	1	1	179	0	2008
601	1	2	146	0	2006
602	1	1	135	83	2009
603	1	1	155	86	2009
604	1	2	222	122	2006
605	1	1	118	121	2008
606	1	1	0	0	2008
607	5	2	222	0	2004
608	1	2	129	65	2009
609	1	1	222	101	2007
610	1	1	135	81	2009
611	1	1	175	84	2008
612	1	1	142	102	2008
613	1	1	203	0	2008
614	1	2	0	61	2008
615	1	1	212	107	2008
616	1	1	222	0	0
617	1	1	222	116	2009
618	1	1	127	0	2008
619	1	1	135	105	2009
620	1	1	159	68	0
621	2	2	194	0	2005
622	1	1	212	0	2009
623	1	2	171	117	2008
624	1	2	179	96	2007
625	2	1	231	0	2005
626	1	1	208	105	2008
627	1	1	223	0	2007
628	1	2	165	0	0
629	1	2	135	0	0
630	1	1	222	0	0
631	1	2	179	0	2007
632	1	2	135	0	2009
633	3	0	0	0	0
634	1	1	194	0	2005
635	1	2	145	117	2007
636	1	1	222	0	0
637	1	1	252	0	2008
638	1	1	208	83	2009
639	1	1	0	83	2009
640	1	2	118	0	2006
641	1	1	175	79	2009
642	1	2	222	105	2008
643	1	1	225	104	2009
644	1	2	135	0	2005
645	1	1	252	81	2009
646	1	2	143	62	2008
647	1	2	222	0	0
648	1	1	177	101	0
649	1	1	149	0	2009
650	1	2	149	115	2007
651	1	1	245	86	2009
652	1	0	0	0	0
653	1	1	118	0	2007
654	1	2	135	54	2009
655	1	1	212	114	2007
656	1	1	208	0	2009
657	1	2	139	86	2009
658	1	2	134	104	2009
659	1	1	179	94	2005
660	1	2	199	108	2006
661	1	1	213	123	2006
662	1	1	179	105	0
663	1	2	118	66	2006
664	1	1	155	0	2008
665	1	0	0	0	0
666	1	1	148	105	2006
667	1	1	142	0	2005
668	1	1	222	115	0
669	1	2	204	81	2009
670	1	2	200	106	0
671	1	2	222	85	2007
672	1	2	225	0	2007
673	1	1	178	0	2006
674	1	2	192	0	2006
675	1	1	252	78	2005
676	1	2	213	114	2006
677	1	1	135	79	2009
678	1	1	0	90	2009
679	1	1	179	0	2005
680	1	1	137	85	2008
681	1	1	159	0	2007
682	1	2	171	107	2006
683	1	2	250	86	2009
684	1	2	231	0	0
685	1	2	199	115	2005
686	1	1	174	0	2006
687	1	1	208	106	2007
688	1	2	145	0	2005
689	1	1	224	0	2009
690	1	2	245	121	0
691	1	1	212	116	2009
692	2	1	162	0	2005
693	1	2	252	51	2009
694	1	2	199	0	2006
695	1	2	222	110	2007
696	1	2	165	121	0
697	1	2	118	117	2007
698	1	2	143	0	0
699	1	1	179	109	0
700	1	1	0	0	2009
701	1	0	194	0	2005
702	1	2	225	128	0
703	1	2	135	117	0
704	1	1	150	0	2006
705	1	1	212	0	0
706	1	1	200	0	2006
707	1	1	222	0	0
708	1	1	212	0	2006
709	1	1	122	106	2007
710	1	2	0	52	2009
711	1	1	210	0	2009
712	1	2	200	0	0
713	1	1	212	51	2009
714	1	1	139	0	2009
715	1	1	176	105	2007
716	1	1	176	116	0
717	1	1	169	109	2008
718	1	1	159	60	2008
719	1	2	148	109	2006
720	1	1	120	102	2008
721	1	1	222	83	2009
722	1	2	198	104	2007
723	1	1	230	0	2007
724	2	1	179	101	2005
725	1	1	118	114	2006
726	1	2	139	0	0
727	1	2	143	0	0
728	1	2	164	0	0
729	1	2	198	0	2005
730	1	1	222	123	2006
731	1	1	0	0	0
732	1	1	222	55	2009
733	1	2	118	0	2007
734	1	2	165	0	2006
735	1	2	222	117	2005
736	1	1	222	0	0
737	1	1	221	117	0
738	1	1	155	0	2006
739	1	2	200	0	2006
740	1	1	134	0	2005
741	1	2	225	0	0
742	1	2	135	104	2007
743	1	2	199	0	2007
744	1	2	199	109	2004
745	1	2	220	0	2006
746	1	2	200	0	2006
747	1	1	120	107	2007
748	1	1	155	105	0
749	1	2	204	75	2004
750	1	2	118	80	2009
751	1	2	157	0	2007
752	1	1	179	0	2009
753	1	2	149	0	2005
754	1	1	245	58	2008
755	4	1	0	0	0
756	1	1	212	0	2009
757	1	1	179	0	2007
758	1	1	222	107	2006
759	1	2	135	83	0
760	1	2	194	105	0
761	1	1	212	107	2007
762	1	1	179	0	2006
763	1	1	149	109	2007
764	1	2	148	0	2005
765	1	2	135	0	0
766	1	2	148	0	2006
767	1	2	194	131	2006
768	1	2	222	105	2009
769	1	1	187	0	2007
770	1	2	148	0	2008
771	1	1	0	121	2009
772	1	1	180	0	2006
773	1	2	145	81	2009
774	1	1	118	0	2008
775	1	1	134	114	2009
776	1	2	135	104	2009
777	1	2	245	117	2006
778	1	1	222	0	2008
779	1	2	135	0	2006
780	1	1	198	102	2005
781	1	1	252	106	2006
782	1	1	179	93	2006
783	1	2	149	121	2006
784	1	1	222	0	2006
785	2	1	0	0	0
786	1	1	145	84	2008
787	1	1	245	85	2009
788	1	1	199	0	2006
789	1	2	165	66	2008
790	1	2	222	0	2005
791	1	1	224	115	2009
792	1	2	221	104	0
793	1	2	192	109	2007
794	1	1	135	116	2009
795	1	1	204	105	0
796	1	2	245	0	2008
797	1	2	164	0	0
798	1	1	164	117	0
799	1	0	200	0	2007
800	1	2	164	0	2008
801	1	1	155	101	2009
802	1	1	194	0	0
803	1	2	178	113	2006
804	1	2	118	107	2008
805	1	2	135	0	2007
806	1	2	192	0	2006
807	1	1	222	114	2008
808	5	0	148	92	2005
809	2	2	184	0	2005
810	1	1	208	121	2008
811	1	1	212	0	0
812	1	1	148	117	2008
813	1	1	225	131	0
814	1	1	152	0	2008
815	1	1	222	105	2007
816	1	2	149	54	2009
817	1	1	120	0	2008
818	1	1	198	123	2008
819	1	2	204	0	2006
820	1	1	212	0	2008
821	1	1	157	109	0
822	1	2	221	0	2007
823	1	2	0	54	2009
824	1	2	249	69	2006
825	1	2	135	105	2009
826	1	1	169	108	2007
827	1	2	0	0	0
828	2	2	200	0	2005
829	1	1	208	0	2008
830	1	2	177	105	2008
831	1	2	247	0	0
832	1	1	224	63	2009
833	1	2	152	109	0
834	1	2	143	0	2006
835	1	1	155	105	2008
836	1	2	204	115	2009
837	1	1	120	107	2008
838	1	1	208	116	0
839	1	2	137	0	2007
840	1	2	135	81	2009
841	1	1	152	94	2008
842	1	1	0	71	2009
843	1	2	145	109	2006
844	1	1	134	85	2009
845	2	2	249	0	2005
846	1	2	0	0	2008
847	1	1	135	124	2007
848	1	0	0	0	0
849	1	1	193	105	2006
850	1	1	212	105	2007
851	1	1	179	0	2006
852	1	2	175	0	2009
