id	status	gender	major	dorm	year
1	1	1	173	0	2007
2	1	2	157	192	2007
3	1	2	213	211	2006
4	1	2	157	197	2008
5	1	2	364	218	2008
6	1	2	157	190	2008
7	1	2	272	251	2008
8	1	2	213	0	2006
9	2	1	272	0	2004
10	1	2	0	0	0
11	1	2	330	190	2008
12	1	1	173	196	2008
13	2	2	294	0	2005
14	1	2	157	198	2008
15	1	1	157	0	0
16	1	1	173	0	2007
17	2	1	213	0	2005
18	1	2	249	0	2005
19	1	1	208	0	2007
20	1	2	245	192	2008
21	1	1	173	235	2009
22	5	2	151	0	2005
23	1	2	364	252	2009
24	2	2	278	204	2004
25	1	2	245	250	2009
26	1	1	358	0	2006
27	1	1	272	0	0
28	1	2	352	0	2005
29	5	1	227	0	2006
30	1	0	0	0	0
31	1	1	352	191	2007
32	1	1	353	198	2005
33	1	1	353	0	2007
34	2	2	213	0	0
35	1	1	264	0	2007
36	1	1	247	0	2007
37	2	0	0	0	0
38	1	1	358	192	2007
39	2	1	271	0	2005
40	1	2	235	0	2008
41	1	1	318	0	2005
42	1	2	213	190	2008
43	2	2	233	0	2005
44	1	2	218	0	2005
45	1	1	208	0	0
46	1	1	318	198	0
47	1	1	278	0	2006
48	1	1	364	192	2009
49	1	1	157	197	0
50	2	1	352	0	2005
51	2	1	163	0	2005
52	1	2	242	0	2008
53	1	1	364	252	2009
54	1	2	264	198	2009
55	1	1	264	252	2009
56	1	1	243	0	2007
57	1	2	364	189	2007
58	1	2	0	0	2007
59	1	2	264	191	2009
60	1	2	278	0	2006
61	1	2	352	0	0
62	1	2	154	247	2006
63	1	2	245	192	2009
64	1	2	227	0	2005
65	1	0	294	0	2008
66	1	2	179	198	2008
67	5	1	371	0	2004
68	1	2	245	0	2006
69	1	1	213	0	2007
70	2	2	213	0	2005
71	1	2	330	0	2006
72	1	1	213	0	2006
73	1	1	156	224	2006
74	1	1	316	0	2007
75	1	2	208	0	2007
76	1	2	329	0	2006
77	1	1	353	253	2009
78	1	1	173	0	2006
79	1	2	173	0	2006
80	1	1	213	0	2006
81	1	1	252	0	2006
82	1	2	329	193	2006
83	1	2	245	191	2008
84	1	1	173	0	2008
85	1	1	212	198	2007
86	1	1	157	197	2007
87	2	1	329	0	2005
88	5	2	161	0	0
89	1	2	264	191	2007
90	1	2	279	198	2007
91	1	2	242	192	2008
92	2	2	353	0	2005
93	1	1	198	0	2007
94	1	1	208	0	2008
95	2	1	316	0	0
96	1	1	364	189	2009
97	1	1	201	191	2008
98	1	1	157	198	2008
99	1	1	358	189	2007
100	2	2	294	0	2004
101	1	2	294	0	2007
102	1	1	0	0	2007
103	2	2	164	210	2003
104	1	2	213	213	2006
105	1	1	353	0	0
106	2	2	245	0	0
107	1	1	212	0	2006
108	1	2	154	0	2006
109	1	2	235	0	2008
110	1	1	285	196	2007
111	1	2	213	0	2007
112	1	1	212	0	0
113	1	2	353	0	2007
114	1	2	278	191	2008
115	1	1	264	198	2009
116	1	1	318	0	2006
117	1	1	198	0	2007
118	1	2	278	0	2007
119	1	1	0	0	2007
120	1	1	249	0	2007
121	2	2	213	0	2005
122	1	2	0	235	2008
123	1	1	319	0	2005
124	1	2	350	190	2009
125	1	2	245	0	2007
126	1	1	271	0	2006
127	2	2	287	0	2005
128	1	1	272	252	2009
129	1	1	353	0	2006
130	1	1	264	252	2009
131	2	1	353	0	2004
132	1	1	318	190	2008
133	1	0	0	0	0
134	1	2	264	191	2008
135	1	2	213	189	2007
136	1	2	264	210	2008
137	1	1	353	0	2007
138	1	1	213	0	2006
139	1	1	252	198	2008
140	1	1	353	0	2005
141	1	2	213	0	0
142	1	1	294	0	2006
143	1	0	0	0	0
144	1	2	173	0	2006
145	2	2	329	0	2005
146	1	1	294	0	2004
147	1	2	157	0	0
148	1	2	243	253	2009
149	1	0	0	0	0
150	2	2	244	214	2004
151	1	1	0	197	2009
152	1	2	245	235	2009
153	1	2	368	0	2007
154	2	2	227	213	2004
155	1	0	0	0	0
156	1	1	254	0	2006
157	1	2	0	0	0
158	2	1	181	0	2004
159	1	2	279	0	2006
160	1	1	173	0	2005
161	2	2	294	0	2005
162	1	2	364	189	2007
163	2	2	0	0	2003
164	2	2	0	0	2004
165	1	1	353	0	2006
166	1	2	278	0	2009
167	1	1	173	251	2009
168	1	2	242	0	2008
169	2	2	147	0	2005
170	1	1	149	0	2007
171	2	2	353	0	2005
172	1	1	364	198	2009
173	1	2	264	208	2008
174	1	1	364	198	2009
175	1	1	358	0	2007
176	1	2	245	204	2007
177	1	2	140	0	2007
178	1	1	264	0	0
179	5	1	0	0	0
180	2	1	213	0	2004
181	1	1	157	0	0
182	2	2	353	194	2005
183	1	2	249	199	2006
184	1	2	285	0	2006
185	1	1	264	198	2007
186	1	1	0	0	2008
187	1	2	294	0	2006
188	1	2	243	189	2009
189	1	2	154	190	2009
190	1	1	297	0	2006
191	1	1	294	192	2007
192	1	2	358	194	2009
193	1	1	364	196	2007
194	1	1	272	189	2008
195	1	2	157	191	2008
196	1	1	353	192	2008
197	1	1	208	0	0
198	1	1	239	225	0
199	1	2	157	209	2007
200	1	2	213	0	2006
201	1	1	358	0	2006
202	1	1	212	0	2008
203	1	1	259	251	2008
204	1	1	0	235	0
205	1	1	324	0	2006
206	1	1	286	0	2007
207	1	2	324	0	2007
208	1	1	264	226	2007
209	2	1	157	0	2005
210	1	1	173	189	2007
211	2	1	213	0	2005
212	1	2	0	253	2009
213	2	2	352	0	2005
214	1	1	278	230	2006
215	1	1	213	189	0
216	1	1	364	189	2009
217	1	1	264	190	0
218	2	1	360	0	2005
219	2	1	173	0	2004
220	1	1	213	0	2007
221	1	2	164	233	2006
222	2	2	358	0	2005
223	5	2	227	0	2005
224	1	1	154	252	2009
225	1	1	358	0	2007
226	1	0	0	0	0
227	1	2	243	195	2007
228	1	2	141	0	2007
229	1	1	352	194	2007
230	1	1	157	198	2009
231	2	2	242	203	2004
232	1	2	278	197	2007
233	1	1	364	252	2009
234	1	2	197	0	2008
235	1	0	264	0	2007
236	1	0	0	0	2009
237	1	2	242	215	2008
238	1	1	294	0	2007
239	1	1	234	196	2007
240	1	1	352	252	2009
241	1	2	233	196	2009
242	1	2	294	0	2006
243	1	1	278	0	0
244	2	2	140	217	2005
245	1	2	144	0	2006
246	1	1	252	0	2006
247	1	1	352	189	2009
248	2	2	235	0	2005
249	1	2	243	0	2005
250	1	1	364	198	2009
251	1	2	198	197	2006
252	2	1	0	0	0
253	1	2	294	0	2006
254	2	1	208	0	2005
