id	status	gender	major	dorm	year
1	2	0	193	0	2005
2	1	1	253	0	2005
3	2	2	208	0	2004
4	1	1	279	0	0
5	1	2	279	0	2006
6	1	1	279	0	2008
7	1	2	220	165	2008
8	2	2	208	0	2005
9	1	2	200	216	2005
10	1	1	279	0	2008
11	1	2	192	0	2006
12	1	2	235	0	2006
13	2	1	253	0	2005
14	2	0	0	0	0
15	1	1	253	165	2008
16	1	2	205	167	2009
17	1	0	0	0	0
18	1	2	208	171	2008
19	1	2	234	0	2005
20	2	1	231	0	2005
21	2	2	210	0	2004
22	6	1	275	0	0
23	1	2	270	0	2008
24	1	2	283	214	2009
25	1	1	242	0	2005
26	1	1	208	172	2006
27	1	2	193	169	2009
28	1	1	244	0	0
29	1	1	210	0	2006
30	1	2	230	0	2008
31	1	2	261	0	2008
32	1	1	231	0	2005
33	1	2	234	0	2005
34	2	2	275	0	0
35	1	2	261	0	0
36	1	1	223	0	2007
37	1	2	261	0	0
38	1	1	0	166	2009
39	1	2	208	172	2008
40	1	1	208	0	2008
41	1	1	275	0	2006
42	1	1	267	0	2007
43	1	1	231	0	2007
44	1	1	0	165	2009
45	1	2	220	169	2009
46	2	1	190	0	2005
47	1	1	0	0	2008
48	1	1	253	0	2008
49	2	2	247	0	2005
50	1	1	279	0	2008
51	1	1	286	165	2008
52	1	2	259	218	2007
53	1	2	203	168	2008
54	2	2	280	0	2005
55	1	1	0	0	2008
56	1	1	205	167	2009
57	1	1	0	165	2009
58	1	2	210	0	2006
59	1	1	199	0	2009
60	1	2	206	0	2006
61	1	1	217	0	2006
62	1	1	0	167	2009
63	1	2	205	0	0
64	1	1	244	0	2006
65	2	1	217	0	2004
66	2	1	219	0	2005
67	1	2	0	0	2007
68	1	2	194	165	0
69	2	1	244	0	2005
70	1	1	217	0	2006
71	1	2	246	0	2007
72	1	2	0	0	2008
73	1	1	275	0	2007
74	1	2	259	0	2010
75	1	2	269	0	0
76	1	1	204	165	2008
77	1	1	193	0	2007
78	1	2	276	0	2006
79	1	0	0	0	0
80	1	2	208	187	2006
81	1	1	0	214	2008
82	1	1	0	0	2008
83	1	0	0	0	0
84	1	1	217	0	2008
85	1	1	275	0	2008
86	1	1	200	222	2007
87	1	2	208	0	0
88	1	1	255	172	2009
89	1	2	217	0	2007
