id	status	gender	major	dorm	year
1	2	1	65	0	2005
2	1	2	100	33	2006
3	1	1	73	34	2008
4	1	2	141	33	2006
5	1	2	153	34	2009
6	1	0	0	0	0
7	1	1	145	33	2007
8	1	1	140	33	2007
9	4	0	0	0	0
10	1	2	73	0	2005
11	1	2	89	34	2008
12	1	1	149	37	2006
13	1	2	87	31	2008
14	1	1	153	0	2008
15	2	1	0	0	0
16	1	1	153	31	2006
17	1	2	64	33	2007
18	1	1	72	31	2007
19	1	2	100	33	2006
20	1	1	48	35	2008
21	1	1	140	0	2008
22	1	1	0	32	2007
23	1	2	144	32	2006
24	1	0	0	0	0
25	1	1	116	33	2008
26	1	2	47	33	2005
27	2	2	52	0	2005
28	2	1	136	34	2005
29	1	2	136	33	2006
30	1	1	140	31	2006
31	1	2	99	35	2007
32	1	2	72	31	2007
33	2	1	136	0	2005
34	1	1	100	31	2008
35	1	1	81	33	2007
36	2	1	50	35	2005
37	2	2	153	0	2005
38	1	1	47	31	2008
39	1	2	0	0	0
40	1	2	86	34	2007
41	1	2	101	34	2007
42	2	1	65	41	2005
43	1	0	0	0	0
44	1	2	72	31	2006
45	1	1	137	32	2010
46	1	2	50	31	2006
47	1	1	64	0	2006
48	2	2	82	31	2005
49	1	2	0	35	2008
50	1	0	0	0	0
51	1	0	50	31	0
52	1	1	64	34	2006
53	2	0	136	35	2004
54	2	2	65	32	2005
55	1	1	70	31	0
56	1	1	76	32	0
57	1	2	70	0	2007
58	1	2	108	35	2007
59	1	2	76	33	2007
60	1	1	145	31	2006
61	2	1	140	33	2005
62	1	1	50	32	2007
63	1	1	0	0	0
64	1	1	76	31	2008
65	1	2	132	36	2008
66	1	1	65	36	2008
67	1	1	49	31	2009
68	2	1	147	0	2005
69	1	1	137	34	2006
70	1	1	143	33	2009
71	1	1	116	35	0
72	1	2	79	0	2008
73	2	2	79	0	2004
74	1	2	50	36	2009
75	2	0	70	33	2005
76	1	1	65	33	2007
77	2	2	89	34	2004
78	1	2	71	34	0
79	1	2	48	33	2008
80	1	1	0	34	2008
81	1	2	83	0	2005
82	1	1	51	35	2008
83	1	1	48	34	2009
84	1	1	143	32	2009
85	1	2	47	36	2008
86	1	1	61	35	2007
87	1	1	50	37	2007
88	1	2	70	33	2007
89	1	1	74	32	2009
90	1	1	143	33	2008
91	2	1	140	0	2005
92	1	2	70	36	2008
93	1	2	136	33	2006
94	2	2	72	48	2005
95	1	0	61	33	2008
96	1	2	56	32	2007
97	1	1	72	34	2006
98	2	1	47	0	2005
99	1	1	143	31	2009
100	1	2	0	36	2009
101	1	1	47	34	2007
102	1	1	114	32	2007
103	1	1	99	0	2006
104	1	2	101	0	2006
105	1	2	55	33	0
106	1	2	53	31	2009
107	1	2	78	0	0
108	1	1	145	35	2007
109	1	1	136	35	2008
110	5	2	78	0	2006
111	1	0	0	0	0
112	1	2	48	0	2005
113	1	1	137	36	2009
114	1	1	72	0	2005
115	1	1	79	35	2009
116	1	1	78	0	0
117	1	1	147	35	2008
118	2	2	86	48	2005
119	2	2	70	35	2005
120	1	1	140	34	2006
121	1	1	72	31	2005
122	1	2	53	34	2008
123	1	0	0	0	0
124	1	1	101	35	2009
125	1	2	61	0	0
126	1	0	0	0	0
127	1	2	92	32	0
128	1	1	144	33	2007
129	1	2	46	36	2008
130	1	1	48	33	2008
131	1	1	153	33	2006
132	1	1	46	32	2009
133	1	1	140	34	2007
134	2	1	100	40	2005
135	1	1	47	0	2005
136	5	2	80	0	2010
137	1	1	61	31	2008
138	1	0	0	0	0
139	1	1	0	33	2009
140	1	2	64	0	2006
141	1	2	53	0	0
142	2	2	99	0	2005
143	1	2	79	34	2008
144	1	1	48	45	2005
145	1	1	114	40	2006
146	1	1	50	34	2009
147	1	0	0	0	0
148	1	1	137	35	0
149	1	2	86	31	2007
150	1	2	73	0	2006
151	1	1	132	32	2008
152	1	1	132	31	2008
153	2	0	0	0	0
154	1	1	143	33	2009
155	1	1	143	36	2009
156	1	2	143	32	2009
157	1	1	143	31	2007
158	1	2	65	33	2007
159	2	2	70	56	2005
160	1	1	153	34	0
161	2	2	137	0	0
162	2	1	137	0	2005
163	1	1	125	0	2006
164	1	2	50	33	2007
165	1	2	136	48	2007
166	1	2	137	48	2005
167	5	1	92	0	2005
168	1	2	130	33	2008
169	1	2	70	35	2009
170	2	2	136	37	1995
171	1	2	90	35	2006
172	1	2	140	34	2008
173	1	2	144	0	2007
174	1	1	0	31	2007
175	1	2	143	35	2008
176	1	2	47	34	2006
177	1	2	136	35	2007
178	1	1	101	31	2009
179	3	2	112	0	2010
180	2	1	97	0	2005
181	1	1	145	32	2009
182	1	2	118	0	0
183	1	1	153	35	2008
184	1	2	47	32	2006
185	2	1	137	33	2005
186	1	1	146	32	2007
187	1	2	64	32	2008
188	2	2	70	0	2005
189	1	1	153	32	2009
190	1	1	137	32	2008
191	1	1	143	32	2009
192	1	1	140	0	0
193	1	2	153	31	2008
194	1	2	50	31	2009
195	1	2	89	35	2008
196	1	1	136	35	2008
