id	status	gender	major	dorm	year
1	1	0	297	322	2005
2	1	1	280	302	2005
3	1	1	280	0	2006
4	1	2	280	305	2008
5	1	0	301	313	2006
6	1	1	281	0	2006
7	1	1	272	297	2009
8	1	2	280	288	2007
9	1	2	303	306	2007
10	1	1	307	300	2009
11	1	1	0	0	0
12	1	2	303	291	2008
13	2	1	281	0	2005
14	1	2	280	318	2006
15	1	1	269	293	2008
16	1	1	0	280	2008
17	1	2	274	296	2004
18	4	2	0	0	0
19	2	1	287	277	2004
20	5	2	273	0	0
21	1	1	281	0	2005
22	1	1	0	277	2009
23	2	2	274	301	2005
24	1	2	295	284	2006
25	2	2	305	0	2004
26	1	2	280	288	2007
27	2	2	306	0	2005
28	2	1	295	0	2005
29	1	2	303	0	2005
30	1	2	292	0	2008
31	1	1	297	0	2007
32	1	1	280	0	0
33	1	1	280	296	2006
34	1	1	273	0	2007
35	2	2	303	0	2005
36	5	1	329	0	2008
37	1	1	0	302	2008
38	1	2	0	322	2009
39	1	2	0	292	2009
40	5	2	272	0	0
41	1	2	297	0	2007
42	1	1	305	292	2008
43	1	1	272	288	2008
44	1	1	298	0	2006
45	1	1	272	288	2008
46	1	2	0	314	2007
47	2	1	272	302	2005
48	1	1	0	0	2008
49	1	2	275	318	2007
50	1	1	289	284	2009
51	1	2	295	290	2006
52	1	1	280	0	2009
53	2	0	280	0	2001
54	1	2	282	0	2006
55	2	1	272	0	2003
56	1	2	280	273	2009
57	1	0	0	0	0
58	2	0	0	0	2004
59	1	1	272	278	2006
60	5	2	0	0	2006
61	1	2	303	0	2006
62	1	2	273	0	2006
63	1	2	280	287	2009
64	5	2	273	0	2006
65	1	2	280	291	2009
66	1	1	320	0	2007
67	1	2	290	0	2006
68	1	2	299	279	2008
69	2	1	292	0	2005
70	2	1	272	0	2004
71	1	2	307	288	2007
72	1	2	306	297	2009
73	2	2	303	308	2004
74	1	2	318	289	2008
75	1	0	0	0	0
76	1	0	0	0	2007
77	1	0	272	275	2007
78	1	1	306	0	2005
79	5	1	329	0	0
80	1	2	0	301	2008
81	2	2	285	0	2005
82	1	1	306	0	2008
83	1	2	271	294	2005
84	1	1	0	273	2009
85	2	1	0	0	2003
86	1	2	269	281	2006
87	1	2	269	286	2007
88	1	2	280	274	2009
89	1	0	0	281	0
90	1	1	289	299	2007
91	1	2	297	322	2006
92	1	2	272	0	2006
93	2	2	0	0	2004
94	2	2	279	290	2005
95	2	2	272	294	2003
96	2	2	281	0	2004
97	2	2	274	0	2002
98	1	2	303	0	2006
99	1	1	307	298	2009
100	1	2	305	290	2006
101	1	1	281	0	2006
102	1	2	0	322	2009
103	2	1	272	0	2003
104	1	1	269	302	2007
105	1	2	280	296	2009
106	1	2	297	273	2008
107	1	2	283	0	2009
108	1	2	267	284	0
109	1	2	289	297	2009
110	2	2	297	0	2004
111	1	1	292	286	2008
112	1	1	297	284	2009
113	1	0	0	0	0
114	1	2	303	285	2009
115	1	2	295	318	2004
116	1	1	0	273	2009
117	1	1	310	298	2005
118	2	0	0	0	0
119	1	1	0	306	2008
120	1	1	295	315	2006
121	1	2	272	277	2008
122	5	1	308	0	0
123	1	1	286	315	2008
124	2	2	279	0	2005
125	1	1	281	0	0
126	1	1	0	281	2008
127	1	2	280	302	2009
128	1	1	281	295	2006
129	2	1	0	0	2005
130	1	2	0	298	2008
131	2	2	280	0	2005
132	1	1	308	275	2007
133	1	1	0	322	2008
134	1	2	292	313	2007
135	5	2	303	0	2005
136	5	2	314	0	2006
137	2	2	281	0	2003
138	1	1	0	297	2009
139	1	2	280	304	2006
140	1	1	290	0	2006
141	2	2	269	0	1947
142	1	2	280	297	2008
143	1	1	328	0	0
144	1	2	323	285	2009
145	1	2	280	0	2006
146	2	2	297	312	2005
147	5	1	306	0	0
148	1	1	0	281	2007
149	1	1	0	307	2008
150	1	2	275	273	2008
151	1	1	269	0	2007
152	2	2	307	0	0
153	1	2	275	0	2008
154	1	1	0	0	2007
155	1	2	274	319	2006
156	1	2	297	317	0
157	1	2	295	285	2008
158	2	1	296	0	2005
159	1	2	307	0	2005
160	1	1	295	285	2008
161	1	1	315	0	2008
162	2	1	308	0	2004
163	2	2	269	285	2005
164	1	1	292	282	2006
165	2	1	281	277	2004
166	1	1	0	300	2009
167	1	2	0	0	2007
168	1	2	280	0	0
169	1	1	0	296	2008
170	2	1	271	284	2004
171	5	2	290	0	0
172	1	2	306	294	2006
173	2	2	271	296	2004
174	2	2	292	0	2005
175	5	1	295	0	2005
176	1	1	280	286	2008
177	1	2	280	286	2009
178	1	2	280	297	2009
179	2	2	281	0	2004
180	5	1	0	0	0
181	1	2	280	305	2009
182	1	1	306	311	2006
183	2	2	306	0	2005
184	2	1	272	289	0
185	1	2	0	282	2008
186	1	2	289	301	2009
187	1	2	299	0	2007
188	1	1	295	280	2008
189	1	0	0	0	0
190	2	1	313	0	2005
191	1	2	323	316	0
192	1	1	297	301	2008
193	5	1	295	0	2005
194	1	1	292	0	0
195	1	2	297	0	2007
196	5	2	271	0	2009
197	1	2	305	298	2008
198	1	2	313	281	2006
199	1	1	0	278	2008
200	1	1	306	293	0
201	5	2	297	0	0
202	2	2	297	0	2005
203	1	1	292	285	2008
204	1	2	273	0	2007
205	1	1	280	280	2006
206	1	1	272	285	2008
207	1	1	273	0	2009
208	1	2	272	287	2009
209	1	1	307	0	2006
210	1	2	305	306	2007
211	1	0	0	0	0
212	1	1	292	290	2007
213	2	2	280	284	2003
214	1	0	0	0	0
215	1	2	280	0	2007
216	1	1	0	0	2009
217	1	2	285	0	2007
218	1	2	0	296	2008
219	1	1	320	294	2009
220	2	2	280	0	2005
221	1	0	0	0	0
222	2	2	295	318	2005
223	1	1	306	305	2006
224	1	2	0	0	2009
225	2	2	328	0	2005
226	1	2	297	0	2009
227	1	2	305	277	2008
228	1	2	273	0	2006
229	2	2	0	0	0
230	2	2	274	0	2005
231	1	1	308	291	2006
232	2	2	303	284	2003
233	5	0	0	0	0
234	5	1	272	0	2010
235	1	1	297	273	2006
236	1	0	281	0	2007
237	1	2	272	284	2009
238	1	2	0	283	2009
239	1	2	284	0	2005
240	1	2	301	272	2007
241	1	2	289	0	2007
242	1	1	272	292	2008
243	1	1	280	296	2006
244	1	0	0	0	0
245	1	2	301	288	2009
246	1	1	281	273	2008
247	1	0	272	298	2006
248	5	0	286	0	0
249	2	1	308	0	2005
250	1	2	272	307	2007
251	2	1	292	0	2005
252	1	1	273	293	2008
253	4	1	320	0	0
254	1	1	307	274	2008
255	1	2	295	0	2006
256	2	1	280	0	2005
257	1	2	273	0	2007
258	5	0	0	0	0
259	2	2	0	0	0
260	1	1	269	0	2009
261	1	0	280	0	2006
262	1	2	273	308	2008
263	2	1	289	0	2005
264	5	1	329	0	2007
265	5	2	272	0	0
266	2	1	303	0	2005
267	1	2	280	290	2009
268	5	0	0	0	0
269	2	1	289	0	2005
270	5	2	299	0	0
271	1	1	296	277	2009
272	2	2	292	0	2005
273	2	2	281	300	2003
274	4	2	0	0	0
275	5	2	329	0	2008
276	1	1	305	295	2007
277	1	1	272	298	2007
278	1	1	270	0	2006
279	2	1	308	291	2003
280	2	1	281	0	2005
281	1	1	274	0	2007
282	1	0	0	0	0
283	1	1	0	272	2008
284	1	2	328	0	2008
285	2	1	296	304	2005
286	1	2	323	0	2009
287	2	1	307	290	2003
288	2	1	297	303	2004
289	1	2	281	306	2008
290	2	2	274	296	2002
291	2	2	277	322	2005
292	1	1	297	288	2008
293	2	0	281	294	0
294	2	2	281	0	2004
295	2	1	280	286	2003
296	5	1	289	0	0
297	1	2	283	0	2007
298	1	2	289	299	2006
299	1	2	280	0	0
300	1	2	0	0	2007
301	1	0	0	0	0
302	1	2	303	288	2007
303	1	1	0	293	2009
304	1	1	269	306	2006
305	2	1	271	278	2002
306	2	1	0	0	0
307	2	2	280	311	2004
308	5	2	323	0	0
309	1	1	270	0	2009
310	1	2	0	298	2009
311	1	1	296	0	2005
312	1	1	283	0	2006
313	1	2	0	275	2007
314	1	1	0	280	0
315	4	1	312	285	2008
316	2	2	279	277	2005
317	1	1	307	0	2007
318	5	2	322	0	0
319	2	1	281	272	2005
320	2	2	305	320	2001
321	1	2	274	288	2007
322	2	1	281	0	2005
323	1	2	280	0	2006
324	1	2	292	299	2007
325	1	2	305	282	2006
326	1	1	269	301	2009
327	1	2	307	298	2007
328	1	2	306	284	2007
329	1	1	325	298	2009
330	1	1	273	0	2007
331	1	2	297	0	2006
332	1	2	272	0	2006
333	6	2	298	321	0
334	1	1	292	0	2007
335	1	2	289	272	2008
336	2	1	280	0	2005
337	2	1	299	0	2004
338	1	1	281	0	0
339	1	2	305	0	2008
340	1	2	297	293	2009
341	1	1	295	0	2006
342	1	2	269	309	2005
343	2	1	280	0	2005
344	2	2	292	0	2004
345	2	2	306	272	2004
346	1	0	272	287	2007
347	1	1	281	287	2008
348	1	2	287	295	2006
349	1	1	0	0	2006
350	5	2	323	315	2008
351	2	2	272	0	2003
352	2	1	279	0	2004
353	1	1	281	322	2008
354	1	2	307	0	2008
355	1	2	308	322	2007
356	1	2	0	0	2008
357	1	0	0	0	0
358	2	1	269	0	2004
359	2	2	280	314	2005
360	1	1	269	0	2004
361	1	1	296	287	2008
362	1	2	0	285	2009
363	1	1	272	290	2009
364	5	0	0	0	0
365	1	1	308	315	2006
366	2	2	303	282	2001
367	1	1	0	293	2009
368	1	1	280	315	2006
369	2	2	280	0	2005
370	1	2	0	0	2007
371	2	2	307	0	2005
372	2	1	287	0	2004
373	2	2	306	319	2005
374	1	1	272	296	2007
375	1	2	272	318	2007
376	1	2	297	277	2006
377	1	2	280	319	2007
378	1	2	295	0	2006
379	2	0	0	0	2005
380	1	0	0	0	0
381	2	0	280	300	2002
382	5	2	329	0	2007
383	1	1	269	272	2006
384	1	1	280	288	2008
385	2	2	305	308	2004
386	2	0	0	0	0
387	2	1	269	0	2005
388	1	1	303	0	2009
389	5	2	315	0	0
390	1	1	281	287	2009
391	1	2	296	277	2006
392	1	1	281	303	2009
393	1	2	311	0	2007
394	1	2	280	0	2009
395	2	1	294	0	2003
396	1	1	295	322	2006
397	1	1	275	279	2009
398	1	1	280	311	2008
399	5	2	297	0	0
400	1	0	0	0	2007
401	1	2	297	0	2006
402	1	1	281	0	2007
403	1	1	272	0	2008
404	1	1	280	296	2009
405	1	1	281	0	2007
406	5	0	0	0	0
407	1	2	280	286	2007
408	1	2	0	0	2007
409	1	2	301	0	0
410	1	0	306	0	2006
411	1	1	308	0	2006
412	1	2	281	0	2007
413	1	2	0	304	2007
414	2	2	297	0	2004
415	1	1	306	287	2006
416	2	2	280	0	2005
417	1	2	289	288	2008
418	1	1	268	305	2004
419	1	0	272	276	2008
420	1	1	306	307	2007
421	1	1	295	292	2009
422	2	2	276	0	2005
423	1	1	283	0	2008
424	2	1	314	0	2004
425	1	1	296	0	2006
426	1	2	289	0	2006
427	2	2	277	322	2005
428	1	1	306	291	2007
429	1	2	291	287	2007
430	1	1	280	279	2009
431	2	1	280	0	2005
432	1	1	0	0	2009
433	1	2	0	0	2006
434	5	1	311	0	0
435	1	1	323	284	2007
436	1	1	0	289	2009
437	4	2	277	0	2003
438	1	1	306	303	2008
439	1	1	274	0	2007
440	1	1	272	293	2009
441	3	0	0	0	0
442	1	2	277	289	2007
443	1	2	293	310	2005
444	1	1	0	278	2008
445	1	1	306	0	2007
446	2	2	315	305	2004
447	1	2	0	284	2009
448	1	2	272	292	2008
449	2	1	281	0	2005
450	1	2	305	289	2006
451	1	2	306	0	2008
452	1	1	0	294	2008
453	1	2	303	289	2008
454	1	1	306	307	2006
455	1	2	280	0	2008
456	1	1	307	292	2007
457	2	1	272	0	2005
458	3	2	280	0	0
459	1	2	281	286	2008
460	1	1	272	294	2009
461	1	2	297	281	2007
462	1	1	272	0	0
463	1	2	306	272	2006
464	2	2	289	299	2005
465	1	1	0	282	2008
466	1	2	281	299	2009
467	1	2	297	292	2009
468	5	0	0	0	0
469	2	1	297	288	2004
470	1	2	272	275	2009
471	1	2	280	0	2007
472	1	2	280	308	2008
473	2	1	307	322	2005
474	1	1	272	313	2006
475	1	0	328	273	2007
476	1	2	271	283	2008
477	1	1	272	276	2006
478	1	1	306	292	2006
479	1	1	0	0	2008
480	1	2	305	0	2008
481	1	2	295	0	2006
482	1	1	274	279	2006
483	1	1	308	315	2007
484	2	1	280	289	2004
485	1	1	314	0	0
486	2	1	272	0	2004
487	1	0	0	277	0
488	1	1	272	290	2009
489	1	2	274	0	2006
490	1	1	299	293	2009
491	2	2	315	0	2005
492	1	2	305	0	2009
493	2	2	308	0	2004
494	5	2	0	0	0
495	1	2	281	277	2009
496	1	2	324	0	2006
497	2	1	315	0	2004
498	2	2	322	322	2004
499	1	2	0	0	0
500	2	2	289	0	2005
501	1	1	301	304	2009
502	1	2	0	279	2008
503	1	0	0	0	0
