id	status	gender	major	dorm	year
1	1	2	237	140	0
2	2	2	263	164	0
3	5	0	392	0	0
4	1	1	366	123	2008
5	1	1	373	183	2006
6	1	1	261	121	2009
7	1	1	352	139	2009
8	1	2	274	137	2005
9	1	2	338	0	2005
10	1	1	256	0	2009
11	1	1	235	145	2008
12	5	1	393	0	2006
13	5	0	0	190	0
14	1	2	331	115	2007
15	1	1	393	100	0
16	1	1	398	132	2007
17	1	1	245	0	2007
18	1	2	373	197	2006
19	1	1	245	172	2007
20	1	1	0	89	2008
21	1	1	390	95	2008
22	1	2	235	0	2009
23	1	1	0	100	2009
24	2	2	340	0	1995
25	1	2	341	190	0
26	1	1	251	0	0
27	1	1	0	0	2008
28	1	1	398	0	2007
29	1	1	0	133	2009
30	5	1	235	0	2005
31	1	1	381	166	2007
32	1	2	330	183	2005
33	2	2	306	0	2005
34	1	2	0	0	0
35	1	1	370	143	2006
36	1	2	256	89	2009
37	1	1	0	190	2009
38	5	1	399	190	2006
39	1	0	394	0	2005
40	1	0	330	167	2008
41	1	2	339	107	2008
42	2	2	320	0	2004
43	1	2	381	166	2007
44	1	0	0	0	0
45	1	2	341	0	2008
46	1	1	273	0	2009
47	1	2	256	166	2006
48	5	2	261	0	0
49	1	2	373	0	2006
50	5	2	0	0	0
51	1	2	303	142	0
52	2	1	292	0	2005
53	1	1	398	166	2005
54	1	1	396	142	0
55	5	1	315	0	2006
56	1	2	320	0	2006
57	1	2	285	91	2007
58	1	1	245	0	2006
59	5	1	0	0	2006
60	1	1	265	0	2006
61	1	1	251	139	2008
62	1	1	393	92	2008
63	1	1	250	0	0
64	1	1	245	0	2005
65	1	2	301	133	2009
66	1	2	0	88	0
67	1	1	245	0	2006
68	1	1	0	0	2008
69	2	1	283	190	2005
70	1	1	373	127	2007
71	1	1	0	106	2008
72	2	1	362	0	2004
73	1	1	291	164	2009
74	1	1	338	0	2006
75	1	1	267	132	2008
76	1	2	320	145	0
77	1	1	396	0	2009
78	1	0	0	168	2008
79	1	1	245	91	2007
80	1	1	283	139	2008
81	1	1	393	141	2008
82	1	2	393	0	0
83	1	1	398	145	2007
84	2	2	373	125	2005
85	1	2	335	166	2007
86	1	1	292	132	2008
87	2	1	0	174	0
88	1	2	274	88	2008
89	1	2	392	190	2005
90	1	1	373	133	2009
91	1	2	370	167	2008
92	1	1	0	131	2009
93	1	1	393	101	2009
94	1	1	269	126	2009
95	1	1	337	137	2009
96	1	1	350	141	2007
97	1	2	285	184	2007
98	2	1	0	0	0
99	1	1	373	0	2007
100	1	1	281	165	2007
101	1	2	0	135	2009
102	1	2	0	122	2009
103	1	1	373	127	2007
104	1	1	260	132	2008
105	1	2	0	0	2008
106	1	1	320	0	2008
107	1	2	0	189	2006
108	1	2	350	0	2005
109	1	1	245	86	2007
110	1	2	338	0	2009
111	1	1	334	139	2008
112	1	2	0	144	0
113	1	1	358	138	2009
114	1	2	237	146	2007
115	2	1	0	0	2005
116	1	1	398	190	0
117	1	2	370	168	2008
118	2	1	373	0	2005
119	1	1	398	0	2010
120	1	0	0	0	0
121	1	2	0	88	2009
122	2	2	351	0	2005
123	1	2	338	172	2008
124	1	1	292	175	2006
125	1	2	306	201	2007
126	1	1	0	90	2009
127	1	2	237	166	2007
128	1	2	320	0	2006
129	1	2	393	0	2009
130	2	2	350	0	2005
131	1	2	263	0	2008
132	2	2	370	0	2005
133	5	0	366	0	2006
134	1	2	339	0	2005
135	1	1	267	165	2008
136	1	1	292	140	2005
137	1	2	244	103	2009
138	1	2	381	0	2007
139	1	2	370	123	2009
140	1	2	393	141	2008
141	1	2	306	140	2009
142	1	2	0	0	2008
143	1	1	322	167	2007
144	1	2	307	132	2007
145	2	1	292	0	2005
146	1	0	370	0	2006
147	1	2	331	174	2005
148	1	2	0	139	2009
149	1	2	257	182	2006
150	1	1	268	167	2007
151	1	0	0	175	0
152	1	1	235	204	2007
153	2	2	0	0	2005
154	1	1	373	0	2008
155	1	1	393	146	0
156	1	1	317	123	2009
157	1	2	335	171	2009
158	1	1	268	167	2008
159	1	1	398	172	2008
160	1	1	269	113	2007
161	1	1	398	0	2007
162	1	2	290	132	2007
163	1	1	284	190	0
164	1	2	323	144	2007
165	2	2	334	0	0
166	1	2	285	0	2006
167	1	1	373	0	2005
168	2	2	272	0	0
169	1	2	376	170	2008
170	1	2	370	195	2006
171	1	1	0	165	2009
172	1	1	338	199	2006
173	1	2	263	140	2008
174	1	1	292	133	2009
175	1	2	330	141	2008
176	1	1	338	174	0
177	1	2	341	92	2008
178	1	1	0	126	2008
179	1	2	346	132	2008
180	1	1	237	141	2008
181	1	1	356	0	2007
182	1	2	0	0	2008
183	1	1	235	194	2006
184	5	1	319	0	0
185	1	2	0	121	2009
186	1	1	255	0	0
187	1	1	306	132	2007
188	1	2	252	169	2009
189	1	1	311	140	2009
190	1	1	322	0	2006
191	1	1	398	194	0
192	2	1	338	111	2005
193	1	1	368	140	2009
194	1	2	235	195	2006
195	1	2	380	186	2006
196	1	1	0	126	2009
197	1	2	370	146	2006
198	1	2	261	0	0
199	1	1	323	0	2006
200	1	2	0	0	2006
201	1	2	235	144	2005
202	1	1	314	205	2006
203	1	0	351	0	0
204	1	1	306	198	2006
205	1	0	0	0	2007
206	1	1	373	90	2008
207	1	2	381	175	2006
208	1	2	269	194	0
209	1	1	0	166	2008
210	1	2	373	187	2004
211	2	2	362	0	2005
212	1	1	398	146	2007
213	1	1	335	204	2007
214	1	1	383	0	2006
215	1	1	322	122	2008
216	1	1	350	131	2007
217	1	1	320	0	2007
218	1	2	335	97	2008
219	1	2	380	164	2006
220	1	1	0	165	2009
221	1	2	314	166	2006
222	1	2	366	131	0
223	1	1	0	145	2008
224	1	1	338	126	2008
225	1	1	283	0	2009
226	1	2	306	195	2005
227	2	2	323	0	2004
228	1	1	279	0	2006
229	1	2	0	132	0
230	1	0	0	0	0
231	1	2	274	125	2007
232	1	2	354	199	2010
233	2	2	0	0	0
234	1	1	339	147	2008
235	1	1	292	133	2009
236	1	1	361	190	2009
237	1	2	267	126	2008
238	1	1	393	127	2005
239	1	2	246	88	2008
240	1	2	0	132	2007
241	1	1	306	0	2007
242	1	1	370	166	2008
243	1	2	335	167	2008
244	2	2	370	0	2005
245	1	1	261	142	2007
246	1	2	235	0	2009
247	1	1	286	0	0
248	1	2	263	167	2007
249	1	1	370	111	2007
250	5	1	349	0	2005
251	1	1	320	173	2008
252	1	2	0	122	2008
253	1	2	391	128	2008
254	5	2	341	0	2005
255	1	1	393	133	2009
256	5	2	261	0	0
257	1	2	306	0	2006
258	1	2	284	202	2006
259	2	2	362	0	2005
260	1	1	366	164	2007
261	2	2	370	202	2005
262	1	0	0	140	0
263	2	1	243	0	2005
264	1	1	398	0	2009
265	1	1	292	195	2006
266	1	1	245	0	0
267	1	2	335	146	2007
268	1	1	288	132	2008
269	1	1	268	0	2009
270	3	2	306	0	1981
271	2	2	399	0	2005
272	1	1	380	132	2005
273	1	2	370	94	2008
274	1	2	257	190	2007
275	1	2	338	139	2009
276	1	2	322	0	0
277	1	1	370	167	2008
278	1	2	330	0	2007
279	1	2	316	144	2008
280	1	1	394	194	2006
281	1	0	398	147	2007
282	2	2	341	0	2005
283	1	1	320	167	2007
284	1	2	323	166	2005
285	1	2	0	160	2009
286	1	1	281	0	2006
287	1	2	370	0	2006
288	1	1	0	167	0
289	1	2	0	88	2009
290	1	1	342	126	2009
291	1	2	393	93	2008
292	1	2	256	164	2009
293	1	2	370	189	2007
294	1	2	274	0	2008
295	1	1	292	140	2009
296	1	1	338	133	2009
297	5	1	235	190	2005
298	5	2	285	0	0
299	1	2	273	165	2009
300	1	1	323	139	2009
301	1	0	0	0	0
302	1	2	318	174	2004
303	1	1	0	131	2008
304	1	2	0	0	2009
305	1	1	398	121	2008
306	1	2	290	166	2005
307	1	2	330	136	2009
308	2	1	368	0	2005
309	1	1	328	198	2006
310	1	0	256	0	2009
311	1	0	321	86	2006
312	1	1	303	91	2006
313	1	2	256	143	2008
314	1	2	393	99	2008
315	1	1	256	0	2007
316	1	2	306	132	2007
317	1	2	373	139	2008
318	1	2	335	0	2007
319	1	1	0	89	2008
320	1	2	237	125	2005
321	1	1	373	0	2009
322	2	1	350	0	2004
323	1	1	235	175	2006
324	1	2	235	195	2004
325	1	1	236	147	2007
326	1	2	331	195	2006
327	1	1	0	0	2009
328	1	1	313	0	2006
329	1	2	235	164	2007
330	1	2	350	0	2009
331	1	2	0	166	0
332	1	1	373	143	2007
333	1	2	350	166	2007
334	2	1	373	202	2005
335	1	2	331	175	2006
