id	status	gender	major	dorm	year
1	1	1	111	197	2006
2	2	2	76	0	2004
3	1	2	71	54	2008
4	1	1	124	278	2008
5	1	1	46	104	2006
6	2	2	166	0	2004
7	5	1	202	195	2009
8	5	1	210	217	2009
9	1	1	125	52	0
10	1	1	102	0	2007
11	1	0	0	71	0
12	5	2	199	0	2008
13	2	1	127	0	2005
14	1	1	43	199	2007
15	1	1	105	74	2007
16	2	2	66	270	2004
17	1	2	108	34	2010
18	1	2	82	95	2008
19	1	1	126	0	2006
20	1	1	109	52	2009
21	1	1	194	44	2009
22	1	2	66	220	2007
23	1	2	49	261	0
24	1	1	82	220	2005
25	1	1	125	42	2008
26	1	1	48	46	2009
27	5	2	152	0	2007
28	2	1	74	60	0
29	2	0	126	0	2005
30	5	2	132	0	2005
31	2	1	153	0	2004
32	1	0	101	38	2007
33	1	1	102	268	2008
34	5	0	0	0	0
35	2	2	72	59	2005
36	5	2	210	130	2009
37	1	2	107	51	2008
38	1	1	0	156	2008
39	5	1	159	146	2005
40	1	1	109	209	2006
41	1	2	95	0	2006
42	2	0	0	0	0
43	2	2	82	0	2005
44	1	1	120	180	2006
45	1	1	48	72	2007
46	1	2	72	142	2006
47	2	0	0	0	0
48	1	2	109	181	2006
49	1	2	202	0	2007
50	1	1	125	34	2006
51	1	1	115	276	2008
52	1	0	0	0	0
53	1	1	126	0	2006
54	1	1	76	0	0
55	1	1	94	0	2006
56	2	2	95	146	2004
57	1	1	120	0	2007
58	1	2	108	143	2009
59	5	1	74	0	2005
60	5	1	210	0	2008
61	2	1	63	0	0
62	1	2	45	220	2006
63	1	2	118	49	2009
64	2	1	58	0	2005
65	2	1	153	289	2005
66	1	1	126	51	2009
67	1	2	182	0	0
68	1	1	43	0	2008
69	1	1	76	0	2006
70	1	1	115	0	2006
71	1	1	125	165	0
72	1	1	115	136	2008
73	1	2	153	0	2006
74	1	1	49	242	2007
75	1	1	61	236	2006
76	1	2	120	203	2006
77	5	2	199	185	2006
78	1	1	59	180	2007
79	5	2	202	0	2008
80	2	1	126	0	2005
81	1	1	82	300	2007
82	1	2	140	101	2007
83	1	1	109	37	2008
84	1	2	153	41	2009
85	1	1	105	69	2007
86	1	2	97	145	0
87	1	2	120	37	2008
88	2	1	48	0	2005
89	1	1	200	107	2005
90	1	2	82	245	2008
91	1	2	108	258	2008
92	1	2	153	82	2008
93	1	1	125	61	2006
94	1	1	61	256	2008
95	1	2	95	0	2005
96	1	1	123	156	0
97	1	2	94	136	2006
98	2	1	68	0	2002
99	1	2	210	0	2009
100	1	1	125	0	2005
101	2	2	0	0	0
102	2	1	110	200	2005
103	1	1	146	32	2009
104	1	1	213	216	2007
105	1	2	76	128	2006
106	1	1	126	45	2009
107	1	1	213	45	2009
108	1	1	72	146	2006
109	2	1	63	0	2005
110	1	2	197	0	2007
