id	status	gender	major	dorm	year
1	1	2	158	0	2006
2	1	2	239	90	2006
3	2	2	0	0	0
4	1	2	306	53	2009
5	2	2	239	115	2004
6	1	1	208	54	2004
7	2	2	263	0	2005
8	1	2	146	0	2007
9	2	2	290	0	0
10	2	2	272	0	2005
11	1	2	329	0	2006
12	1	1	297	0	2005
13	1	1	235	103	0
14	2	2	315	0	2005
15	2	2	296	0	2005
16	1	1	191	52	2009
17	1	2	330	0	2007
18	1	1	253	0	2007
19	1	1	298	106	2008
20	1	1	163	66	2008
21	1	2	177	0	0
22	1	1	0	52	2009
23	2	2	309	0	2005
24	1	2	239	0	0
25	1	1	286	51	2008
26	2	2	289	0	1931
27	1	2	161	0	0
28	1	1	326	97	2007
29	1	1	253	0	2006
30	1	2	215	65	2008
31	1	2	173	0	2006
32	1	1	329	97	0
33	1	1	284	98	2007
34	2	2	163	0	2005
35	1	2	306	54	2009
36	1	0	0	0	0
37	1	0	0	0	0
38	1	2	287	0	2006
39	1	2	296	78	2006
40	1	1	135	60	2009
41	2	1	327	0	2004
42	1	1	165	105	2007
43	5	1	204	0	2007
44	1	1	0	0	2008
45	1	2	122	0	2010
46	1	1	191	0	2007
47	1	1	0	0	2007
48	1	1	188	52	0
49	1	2	306	51	2007
50	1	2	306	0	2007
51	1	2	296	94	2009
52	1	1	162	0	2005
53	1	0	0	0	0
54	1	1	120	107	2008
55	1	2	296	0	2006
56	1	1	261	55	2008
57	1	2	118	51	2007
58	2	1	265	104	2004
59	1	2	0	51	0
60	1	2	133	79	2008
61	1	2	194	0	2006
62	1	1	249	98	2007
63	1	2	303	0	2009
64	1	0	218	0	2005
65	1	1	163	0	2007
66	1	1	165	101	2008
67	2	0	262	0	2005
68	1	1	263	0	2005
69	1	1	163	0	2006
70	1	1	318	0	2005
71	2	1	193	0	2005
72	1	1	191	0	2008
73	1	0	0	0	2010
74	1	0	224	0	2006
75	1	1	0	55	2009
76	2	2	197	0	2004
77	1	2	263	0	2006
78	1	0	0	0	0
79	1	1	251	66	2005
80	4	2	250	0	0
81	1	0	0	0	0
82	1	1	163	0	0
83	1	1	135	0	0
84	1	2	330	51	2008
85	1	2	166	0	2007
86	1	1	309	0	2006
87	1	1	298	52	2009
88	1	1	298	0	2008
89	5	2	229	0	2006
90	1	2	163	54	2009
91	1	2	287	0	2008
92	1	1	309	51	2007
93	1	1	149	109	2007
94	1	1	286	0	2009
95	1	2	309	0	0
96	1	1	329	0	2006
97	1	1	210	103	2008
98	1	2	303	0	2008
99	1	2	343	0	2009
100	1	1	249	54	2009
101	1	1	248	94	2008
102	1	2	298	53	2008
103	1	1	120	0	2006
104	1	2	296	53	2009
105	1	0	0	106	0
106	5	1	253	104	0
107	2	2	276	54	2002
108	2	2	315	87	2004
109	1	1	0	0	2009
110	1	2	163	94	2009
111	1	2	215	54	2009
112	1	1	146	95	2007
113	2	1	179	0	0
114	1	2	315	51	2007
115	1	1	166	51	2008
116	2	2	265	0	2004
117	1	1	303	52	2009
118	1	1	210	52	2009
119	1	1	309	108	0
120	1	1	151	0	0
121	5	0	0	0	0
122	2	1	312	0	0
123	1	1	312	0	0
124	1	2	286	53	2009
125	1	1	191	0	2007
126	2	2	184	0	2005
127	1	2	263	0	2005
128	2	2	158	0	2005
129	1	2	254	0	2006
130	1	2	0	0	2006
131	1	1	170	0	2005
132	1	1	256	0	2008
133	1	1	327	0	2008
134	1	1	133	0	2007
135	1	1	165	102	2006
136	1	1	175	0	2006
137	3	1	0	0	0
138	1	1	265	52	2009
139	2	1	203	0	2005
140	1	1	325	98	0
141	1	2	296	55	2008
142	1	2	335	0	2006
143	1	1	118	107	2008
144	2	1	121	0	2005
145	2	1	312	109	2005
146	5	2	325	0	0
147	1	1	120	95	2008
148	1	1	120	95	2006
149	1	1	193	0	0
150	1	1	199	52	2009
151	1	2	202	0	0
152	1	2	309	0	2008
153	1	1	163	54	2009
154	1	2	259	0	2007
155	2	1	0	0	2005
156	1	2	263	0	0
157	1	1	0	0	0
158	1	0	0	0	0
159	1	1	210	0	2007
160	1	2	265	0	0
161	1	2	274	0	2006
162	1	2	239	55	2008
163	1	2	265	0	2008
164	1	1	120	109	2006
165	1	1	177	0	0
166	1	0	0	0	0
167	1	1	312	0	2007
168	2	2	215	0	2005
169	2	2	296	0	2004
170	1	1	203	0	0
171	1	1	163	52	2009
172	1	1	136	0	2007
173	1	2	299	0	2007
174	1	2	309	0	2007
175	1	2	286	117	2009
176	1	2	211	58	2009
177	1	2	303	67	2008
178	1	1	166	0	2006
179	1	1	201	52	2009
180	1	2	215	0	0
181	1	1	306	52	0
182	1	1	212	0	2006
183	1	1	306	0	2010
184	1	1	192	0	0
185	2	2	193	0	2005
186	1	1	175	52	2009
187	1	1	202	0	0
188	1	1	301	63	2009
189	1	1	248	67	2007
190	1	2	262	0	2007
191	1	2	248	86	2006
192	1	2	253	55	2008
193	1	2	163	0	0
194	1	0	0	0	0
195	1	1	296	96	2006
196	1	1	265	95	2008
197	1	2	239	0	2006
198	1	2	248	0	2008
199	1	1	306	109	0
200	1	1	248	55	2007
201	1	2	163	94	2009
202	5	1	211	0	2006
203	1	1	0	52	2009
204	2	1	163	0	2005
205	1	1	163	67	0
206	1	1	286	53	2009
207	1	2	303	0	2009
208	1	2	298	0	2008
209	2	1	265	0	2005
210	1	1	0	0	2006
211	1	1	279	52	2009
212	5	0	277	0	0
213	1	1	336	0	0
214	1	1	163	53	2009
215	2	1	0	0	0
216	1	1	227	67	2009
217	2	1	328	0	2004
218	1	1	265	0	2007
219	2	1	296	0	2004
