id	status	gender	major	dorm	year
1	1	2	0	37	2008
2	1	1	157	0	2006
3	1	2	78	110	2006
4	1	0	75	0	2007
5	1	2	77	55	2007
6	1	1	45	55	2008
7	1	2	77	107	2007
8	1	1	177	201	2009
9	1	0	100	0	2006
10	1	1	94	0	2005
11	1	1	91	0	2007
12	1	2	78	37	2008
13	1	0	0	0	0
14	1	2	78	33	2008
15	2	2	101	0	2005
16	1	1	64	0	2008
17	2	2	87	0	2005
18	1	1	91	193	2009
19	2	1	145	177	2005
20	1	2	77	35	2008
21	1	0	100	0	2006
22	1	2	156	201	0
23	1	0	0	0	0
24	1	2	63	70	2009
25	1	0	135	0	2006
26	1	0	148	0	2007
27	1	1	42	36	2008
28	1	1	157	55	2006
29	1	2	63	0	2006
30	1	2	77	35	2008
31	1	1	58	55	2006
32	1	1	191	117	2007
33	1	2	43	0	2006
34	1	2	67	188	2009
35	1	1	177	55	2006
36	2	1	121	55	2004
37	1	1	121	34	2004
38	1	2	66	86	2008
39	1	2	44	82	0
40	1	1	53	131	2005
41	2	0	0	0	0
42	1	1	150	187	2009
43	1	1	138	36	2005
44	1	1	82	55	2006
45	1	2	127	0	2006
46	2	2	93	117	2005
47	1	2	145	108	2006
48	1	2	93	96	2007
49	1	2	163	31	2009
50	5	2	210	0	2007
51	1	2	108	0	2008
52	1	1	91	136	2006
53	1	1	0	183	2009
54	1	2	0	116	2005
55	1	1	55	0	2008
56	1	1	0	0	2006
57	1	1	135	150	2008
58	1	2	85	0	2007
59	1	1	67	0	0
60	1	2	71	0	2006
61	2	1	110	0	2005
62	1	1	91	194	2006
63	1	2	133	0	2006
64	1	1	91	0	2006
65	5	1	208	0	2005
66	1	1	134	0	2006
67	1	1	140	197	0
68	1	1	134	55	2007
69	1	2	133	55	2008
70	1	2	44	37	2008
71	1	1	145	55	0
72	1	1	108	0	2006
73	1	1	88	0	2008
74	1	2	64	196	2009
75	1	2	63	55	2008
76	1	1	135	148	2008
77	1	1	66	190	2009
78	1	2	68	55	2007
79	1	2	67	126	2006
80	1	1	157	34	2008
81	1	2	150	39	2010
82	1	1	53	32	2009
83	2	2	144	0	2003
84	1	1	182	139	2006
85	1	1	157	37	2008
86	1	1	118	151	2008
87	1	1	134	139	2008
88	1	2	133	188	2008
89	1	2	66	85	2008
90	1	1	121	55	2008
91	1	2	87	187	2009
92	1	2	144	193	2008
93	1	2	145	192	2009
94	1	2	42	192	2008
95	1	2	145	0	2007
96	1	1	42	195	2009
97	1	1	102	32	2006
98	1	2	130	68	2009
99	1	1	157	197	2008
100	1	0	165	145	0
101	1	2	67	199	0
102	1	1	157	0	2008
103	1	2	85	96	2008
104	1	1	157	0	2006
105	1	1	115	0	2006
106	1	2	0	188	2009
107	2	1	148	142	2005
108	1	1	121	36	2007
109	1	1	110	0	0
110	5	1	46	55	0
111	1	0	0	33	0
112	1	1	145	68	2009
113	1	2	66	172	2007
114	1	2	85	123	2006
115	1	2	87	119	2008
116	2	1	145	0	2004
117	1	1	150	194	2009
118	2	1	130	0	2005
119	1	1	156	194	2009
120	5	1	157	0	0
121	1	0	0	0	0
122	1	1	157	55	2006
123	1	2	149	195	2007
124	1	2	182	107	0
125	1	1	53	191	2009
126	1	2	71	0	2006
127	1	2	153	116	2008
128	1	2	182	122	2007
129	4	2	0	0	0
130	1	2	96	190	2009
131	1	1	157	35	2008
132	2	1	148	0	2005
133	1	2	69	190	2009
134	1	1	71	134	2007
135	1	1	121	190	2009
136	1	2	85	55	2008
137	1	2	89	0	0
138	1	2	67	37	2006
139	5	1	75	0	0
140	1	1	117	0	2005
141	1	2	70	88	2005
142	1	1	0	197	2008
143	2	1	56	55	2005
144	2	1	59	0	2005
145	1	1	108	70	2006
146	1	2	133	0	2008
147	2	1	45	0	2005
148	1	1	108	32	2009
149	1	1	115	55	2006
150	1	2	210	0	2007
151	1	1	150	0	2006
152	2	1	135	0	2005
153	1	2	85	107	2006
154	1	2	120	130	2008
155	1	1	110	150	2007
156	1	1	178	181	2007
157	1	1	87	0	2008
158	1	2	42	55	2008
159	1	1	182	148	2007
160	1	1	135	0	2007
161	1	2	91	0	2005
162	1	2	93	0	2006
163	2	2	157	193	2004
164	1	2	50	90	2006
165	1	2	182	0	2007
166	1	2	87	55	2007
167	1	2	145	198	2008
168	1	1	42	0	0
169	2	1	50	0	2004
170	1	2	71	55	2007
171	1	2	42	55	2006
172	1	2	78	55	2008
173	1	1	85	193	2009
174	1	2	87	55	2005
175	1	1	145	55	2008
176	1	1	121	0	2006
177	1	2	53	31	2008
178	1	1	42	194	2009
179	1	2	112	89	2007
180	1	1	66	147	2008
181	1	2	153	0	2008
182	2	2	93	55	2004
183	1	1	55	0	2008
184	1	1	110	131	2007
185	1	1	95	131	2007
186	1	1	195	36	2008
187	1	2	93	0	0
188	1	2	133	33	2005
189	1	1	110	0	2006
190	1	1	78	0	2008
191	5	2	42	0	2005
192	1	2	108	200	2009
193	1	1	0	0	0
194	1	0	0	0	0
195	1	1	0	36	2009
196	1	1	66	0	2005
197	2	1	75	0	2005
198	1	1	130	55	2008
199	1	2	80	55	2007
200	2	1	108	0	0
201	1	1	56	0	2007
202	1	2	129	70	2005
203	1	2	85	0	2007
204	1	2	100	96	2008
205	1	2	77	82	2005
206	1	2	135	31	2006
207	1	1	0	69	2009
208	1	1	0	36	2007
209	1	2	131	0	2006
210	1	2	67	0	2006
211	1	1	182	38	2007
212	5	1	42	0	2006
213	1	2	85	0	2008
214	1	1	85	192	2009
215	2	0	108	0	0
216	1	2	87	55	2007
217	5	2	42	0	2005
218	1	1	45	134	2006
219	1	2	157	0	2008
220	1	2	195	55	2009
221	1	1	131	0	2006
222	1	2	93	90	2007
223	1	2	42	96	2007
224	2	1	157	0	2005
225	1	2	186	91	2006
226	1	2	71	0	2006
227	1	2	94	55	0
228	1	1	0	68	2009
229	1	2	100	55	2007
230	1	1	66	195	2009
231	1	1	159	0	2006
232	1	1	122	145	2008
233	1	1	135	0	2007
234	1	0	0	0	0
235	1	2	0	33	2008
236	1	2	137	31	2007
237	1	2	122	0	0
238	1	2	87	105	2007
239	1	0	91	55	2006
240	1	2	53	55	2006
241	1	1	137	136	2006
242	1	2	133	31	2007
243	1	1	110	55	2007
244	1	2	85	85	2008
245	1	2	67	55	2008
246	1	0	0	0	2008
247	1	2	85	194	2009
248	1	1	115	0	0
249	1	2	145	0	2005
250	1	2	87	189	2009
251	1	1	135	134	2006
252	1	1	110	131	2008
253	1	2	0	192	2009
254	1	2	84	185	2009
255	1	2	144	196	2009
256	1	2	78	55	2007
257	1	2	139	34	2008
258	1	2	69	35	2009
259	1	2	74	0	2009
260	1	2	68	33	2008
261	1	2	123	0	2006
262	1	1	42	201	0
263	2	2	89	0	2005
264	1	0	0	0	0
265	1	2	0	0	2008
266	1	1	145	55	2008
267	4	2	54	85	2005
268	1	2	66	37	2009
269	1	1	157	139	0
270	1	1	168	68	2009
271	1	1	150	144	2006
272	1	2	90	198	2009
273	1	1	67	36	2009
274	1	2	93	0	2007
275	1	1	93	146	2008
276	1	1	115	55	2007
277	1	2	42	193	2009
278	2	1	182	0	2005
279	1	1	93	0	2006
280	1	1	135	0	2005
281	2	1	122	131	2005
282	1	1	157	55	2007
283	1	1	82	0	0
284	1	1	121	201	2008
285	1	2	93	0	2005
286	1	2	138	0	2006
287	1	1	157	55	2006
288	2	2	100	0	2005
289	1	2	108	0	2006
290	1	1	44	0	2008
291	1	2	44	107	2008
292	1	2	91	70	2009
293	2	2	0	37	2005
294	1	1	165	55	0
295	1	1	145	143	0
296	1	2	130	196	2009
297	2	2	87	0	2005
298	2	2	147	0	2005
299	2	2	133	0	2005
300	1	1	54	0	2007
301	2	1	67	150	2005
302	5	2	42	0	2006
303	1	1	122	192	2008
304	1	1	0	0	2006
305	1	2	133	103	2005
306	1	2	43	0	2007
307	2	1	157	134	2005
308	1	1	207	0	2007
309	1	1	94	0	2007
310	1	1	144	190	2009
311	1	1	53	55	2006
312	5	2	148	0	2008
313	2	2	46	194	2005
314	1	1	150	37	2009
315	1	1	42	190	2009
316	2	0	0	0	0
317	2	2	78	0	2004
318	1	1	0	195	2009
319	1	0	0	0	2008
320	5	2	133	0	0
321	1	2	145	35	2007
322	1	2	78	55	2006
323	1	0	93	146	2005
324	1	1	59	0	2007
325	1	1	88	191	2009
326	1	2	166	197	2009
327	2	2	71	0	2004
328	1	2	49	90	2008
329	1	0	0	0	0
330	1	1	178	194	2009
331	1	2	93	79	2006
332	1	1	135	0	2006
333	1	2	149	33	2008
334	1	1	42	0	0
335	1	2	145	55	2008
336	1	2	78	0	2006
337	1	2	153	0	2005
338	1	1	45	0	2006
339	4	2	0	0	0
340	1	2	139	55	2007
341	1	2	133	55	2007
342	1	1	43	70	2008
343	1	1	135	144	2006
344	1	1	157	195	2009
345	1	2	42	0	2007
346	1	2	67	183	2009
347	5	2	157	0	0
348	1	2	87	0	2005
349	1	1	67	198	2009
350	1	1	0	55	2007
351	1	1	45	0	2008
352	1	2	71	69	2009
353	1	2	154	55	2006
354	1	2	64	193	2009
355	1	2	141	167	2007
356	2	1	145	0	2004
357	1	1	135	55	2008
358	1	1	53	68	2009
359	1	1	145	85	0
360	1	0	0	0	0
361	1	2	0	116	2008
362	1	2	188	201	2009
363	1	1	93	0	2006
364	1	2	145	0	2007
365	1	2	182	192	2007
366	1	1	165	68	2009
367	1	1	67	145	2007
368	1	2	127	0	2006
369	1	2	46	192	2009
370	1	1	122	72	2008
371	1	1	194	0	2009
372	1	1	118	0	0
373	1	1	108	0	2006
374	1	2	87	93	2008
375	1	2	0	31	2008
376	1	2	133	190	2009
377	1	1	66	55	2007
378	1	2	133	37	2008
379	1	1	154	35	2008
380	1	1	0	33	2009
381	1	2	93	94	2007
382	2	2	77	55	2005
383	1	1	50	200	2009
384	1	2	42	55	2006
385	1	2	157	0	2007
386	1	2	77	55	2007
387	1	2	133	55	2007
388	1	2	46	0	2006
389	1	1	148	147	2007
390	1	1	121	195	2009
391	1	1	135	55	2007
392	1	2	63	55	2006
393	1	0	0	0	0
394	1	1	88	199	2009
395	1	1	108	55	2006
396	1	2	93	108	2006
397	1	1	178	188	2005
398	1	2	42	38	2008
399	1	2	93	193	2009
400	1	1	67	144	2007
401	1	2	71	38	2008
402	2	1	157	132	2002
403	1	2	149	31	2008
404	1	1	157	68	2009
405	1	1	131	194	2009
406	1	2	78	55	2006
407	5	0	78	0	0
408	1	1	85	32	2009
409	1	1	149	187	2009
410	1	2	0	201	2008
411	1	2	157	0	2005
412	1	2	71	0	0
413	1	2	131	192	2009
414	1	2	133	55	2006
415	2	1	108	0	2005
416	1	1	91	55	2006
417	1	2	77	188	2009
418	2	2	0	0	2005
419	1	2	131	201	2009
420	1	2	42	126	2007
421	1	2	55	70	2008
422	1	2	112	193	2008
423	1	1	55	0	2008
424	1	1	115	0	0
425	1	2	133	33	2005
426	1	1	110	70	2009
427	1	1	42	33	2008
428	1	1	93	145	2007
429	1	2	93	199	2009
430	1	2	85	0	2008
431	1	1	157	37	2009
432	1	1	75	55	2007
433	1	2	122	192	2009
434	2	1	85	0	2005
435	1	2	157	120	2007
436	1	2	66	111	2008
437	1	2	131	31	2007
438	1	2	100	198	2009
439	1	1	157	186	2009
440	2	1	82	0	2005
441	1	2	145	55	2007
442	1	2	133	197	2009
443	1	1	195	37	2008
444	1	2	42	186	2009
445	1	2	87	69	2009
446	1	2	148	197	2009
447	1	1	135	195	2009
448	1	2	85	55	2006
449	2	2	78	0	2005
450	1	1	91	31	2008
451	1	1	75	0	2007
452	1	1	76	0	2007
453	1	1	153	55	2007
454	5	2	131	0	0
455	1	1	0	36	0
456	2	2	0	0	2005
457	2	2	107	89	2005
458	1	2	91	31	2008
459	2	2	148	128	2004
460	1	1	204	205	2007
461	1	2	78	0	2005
462	2	1	79	134	2005
463	1	0	105	140	2006
464	1	1	122	0	2006
465	1	2	63	55	2007
466	1	2	87	193	2009
467	1	2	0	0	2008
468	1	1	67	0	2007
469	1	1	0	32	2009
470	1	2	67	70	2009
471	2	1	53	55	2004
472	1	2	118	55	2008
473	2	2	168	0	2005
474	1	1	122	0	2007
475	1	1	122	0	2005
476	2	1	71	136	2005
477	1	1	58	0	2007
478	1	1	131	190	2009
479	1	1	0	133	2008
480	1	2	145	55	2006
481	1	0	0	0	0
482	1	2	42	0	2007
483	1	1	145	55	2008
484	1	1	94	0	2007
485	1	2	0	0	0
486	1	2	0	107	2008
487	1	2	156	196	2009
488	1	1	157	0	2006
489	1	1	0	31	2009
490	1	1	105	0	2005
491	1	2	145	193	2008
492	1	1	56	0	0
493	2	2	77	82	2005
494	1	1	118	0	2007
495	2	0	0	0	0
496	2	0	0	0	0
497	1	1	145	55	2006
498	1	2	157	0	2007
499	1	1	157	189	2008
500	1	0	0	0	0
