id	status	gender	major	dorm	year
1	1	1	299	103	2007
2	1	1	235	126	2008
3	1	0	0	117	2007
4	1	2	312	159	2007
5	2	2	257	0	2002
6	1	1	249	114	2008
7	1	1	249	123	2009
8	1	1	322	118	2008
9	1	1	270	115	2007
10	1	2	312	99	2008
11	1	2	304	108	2006
12	1	1	339	119	0
13	1	1	321	0	2007
14	1	1	0	0	2009
15	1	1	308	0	2007
16	1	1	321	0	2007
17	1	1	0	89	2008
18	1	1	327	0	2008
19	1	2	339	123	2009
20	1	0	0	0	0
21	1	1	337	0	2005
22	1	1	321	117	2008
23	1	1	314	104	2007
24	1	2	257	118	2004
25	1	0	0	0	0
26	1	1	257	0	2005
27	1	1	348	108	2007
28	1	2	251	0	2004
29	1	1	338	117	2007
30	1	2	268	0	2006
31	2	1	258	132	2005
32	1	1	0	108	2008
33	1	2	262	0	2007
34	1	1	321	112	2009
35	1	1	309	0	2010
36	1	2	277	109	2008
37	1	0	0	0	0
38	1	2	268	110	2006
39	1	0	0	0	0
40	1	1	329	116	2008
41	1	2	291	111	2009
42	2	2	309	0	2004
43	5	1	311	0	2007
44	1	1	0	119	2009
45	1	0	235	124	2007
46	1	1	329	109	2008
47	1	1	329	106	2007
48	1	1	321	108	2007
49	1	2	257	0	2006
50	1	1	235	0	2009
51	1	2	249	137	2006
52	1	2	261	125	2009
53	1	1	338	131	2006
54	1	1	257	117	2009
55	1	2	279	118	2008
56	1	2	327	111	2009
57	1	2	0	0	0
58	2	2	266	0	2005
59	1	2	266	0	2005
60	2	1	258	0	2004
61	1	2	279	123	2009
62	2	1	329	0	2005
63	1	1	300	0	2009
64	1	1	300	107	2009
65	1	2	346	153	2008
66	1	2	309	0	2007
67	1	2	309	0	2006
68	1	2	261	0	2008
69	1	1	329	93	2007
70	1	2	349	157	2008
71	1	1	239	120	2009
72	1	2	277	0	0
73	1	2	300	0	2006
74	1	2	321	118	2008
75	1	1	249	101	2009
76	1	2	339	118	2008
77	1	1	348	0	2006
78	1	1	253	0	2006
79	1	1	0	118	2007
80	1	1	321	0	2007
81	1	1	337	0	2006
82	1	1	0	121	2009
83	1	1	257	109	2007
84	1	1	242	0	2006
85	1	1	257	127	2007
86	1	2	242	140	0
87	2	2	339	0	2005
88	1	1	266	0	2006
89	1	2	0	123	2009
90	1	0	0	0	0
91	1	1	321	107	2009
92	2	0	310	0	2005
93	1	1	327	0	0
94	1	2	300	0	2009
95	1	2	257	93	2008
96	1	2	0	106	2008
97	1	2	307	159	2007
98	1	2	249	123	2008
99	1	1	293	107	2008
100	1	1	0	118	2008
101	1	1	291	87	2007
102	1	2	275	0	2006
103	1	2	0	158	2008
104	1	1	291	90	2008
105	1	1	338	106	2009
106	1	0	0	0	2008
107	2	1	307	0	2004
108	1	2	312	125	2008
109	1	2	333	122	2009
110	1	1	327	0	2006
111	2	1	336	0	2005
112	1	2	279	0	2006
113	1	1	257	0	2006
114	1	1	239	0	2007
115	1	1	293	90	2006
116	1	1	0	119	2008
117	2	1	329	130	2005
118	1	1	0	0	2005
119	1	1	314	107	2009
120	1	2	0	121	2008
121	1	0	0	0	0
122	1	2	0	0	2007
123	1	1	321	119	2008
124	1	2	257	126	2008
125	1	2	251	154	2008
126	1	2	293	0	2007
127	1	1	0	125	2009
128	5	2	268	0	2006
129	1	0	249	0	2007
130	1	2	293	0	0
131	1	1	293	112	2007
132	1	2	293	0	2005
133	1	0	0	0	0
134	1	2	286	110	2009
135	2	1	337	0	2005
136	1	2	0	123	2008
137	1	2	291	121	2009
138	1	1	293	0	2007
139	1	0	312	0	2005
140	1	1	249	0	2007
141	1	2	346	90	2007
142	1	1	248	93	2008
143	1	1	339	0	2005
144	2	1	337	0	2005
145	1	1	321	109	2008
146	1	2	262	0	2008
147	1	1	0	109	0
148	1	1	0	91	2008
149	1	0	0	0	0
150	1	1	242	112	2009
151	1	1	242	100	2007
152	1	0	337	0	0
153	1	1	0	0	2006
154	1	1	321	101	2009
155	2	2	270	124	2005
156	1	0	0	0	0
157	1	2	310	126	2009
158	2	1	320	0	0
159	2	1	329	0	2005
160	1	1	279	0	2007
161	2	2	252	0	2005
162	2	1	345	0	2005
163	1	2	249	107	2009
164	1	1	270	111	2009
165	1	2	300	93	2005
166	1	1	321	109	2009
167	1	1	327	91	2009
168	1	2	249	109	0
169	1	1	337	128	2006
170	2	2	0	0	0
171	1	2	0	117	2007
172	1	1	321	111	2008
173	1	1	348	0	2006
174	2	2	257	0	2005
175	1	2	252	110	2007
176	1	0	0	0	0
177	1	2	291	109	2008
178	1	0	291	0	0
179	1	2	270	0	2006
180	1	2	257	109	2007
181	1	2	301	0	2007
182	1	2	248	0	2005
183	1	1	321	124	2008
184	1	1	337	127	2007
185	2	2	327	0	2005
186	1	1	0	117	2008
187	1	2	309	120	2009
188	1	2	0	0	0
189	1	0	0	125	2009
190	1	1	257	94	2005
191	2	0	266	0	2004
192	1	2	277	111	2009
193	1	2	279	0	2006
194	1	1	0	0	2008
195	2	2	268	0	2005
