id	status	gender	major	dorm	year
1	1	2	107	283	2009
2	1	2	139	0	2008
3	1	0	0	0	0
4	2	1	140	0	2005
5	5	2	162	0	2007
6	1	0	0	0	0
7	1	1	158	0	2009
8	1	1	159	214	2009
9	1	1	128	282	2009
10	1	1	146	215	2007
11	1	1	160	0	2006
12	1	1	128	0	2006
13	4	0	0	0	0
14	2	0	0	0	0
15	1	2	115	229	2007
16	1	0	0	206	2009
17	2	1	158	231	2004
18	1	1	115	213	2007
19	1	1	128	214	2009
20	1	2	107	0	2007
21	1	2	123	0	2006
22	1	2	136	0	2008
23	1	1	115	0	2006
24	1	2	156	283	2009
25	1	1	156	229	2008
26	1	1	154	0	2006
27	1	2	140	0	2008
28	1	1	107	212	2009
29	1	2	135	0	0
30	1	1	146	210	0
31	2	1	128	0	2005
32	1	2	123	0	2005
33	1	2	138	214	2008
34	1	2	132	0	2007
35	1	2	117	202	2008
36	1	1	140	0	2008
37	1	1	154	210	2004
38	1	2	0	219	2009
39	2	1	154	0	2003
40	2	2	141	0	2005
41	1	2	127	0	2006
42	1	1	141	0	2007
43	2	1	169	0	2004
44	1	1	118	0	2007
45	5	0	0	0	0
46	2	0	0	0	2003
47	2	1	140	0	2005
48	1	1	139	233	2007
49	2	2	122	0	2004
50	5	1	173	0	2009
51	2	0	116	0	2003
52	1	2	107	291	2009
53	1	2	0	205	2008
54	1	2	107	214	2009
55	1	2	127	217	2006
56	1	1	176	0	2007
57	1	1	115	0	2008
58	1	1	156	0	2005
59	1	2	106	0	2008
60	1	2	156	214	2009
61	1	1	115	0	0
62	1	2	141	234	2006
63	2	2	122	280	2005
64	1	1	132	203	2009
65	1	1	133	209	2006
66	1	1	0	292	2009
67	5	1	139	0	2009
68	1	2	140	220	2008
69	1	1	135	232	2007
70	2	1	0	0	2005
71	1	1	115	0	2006
72	1	1	154	0	2006
73	1	1	0	292	2009
74	1	2	107	217	2006
75	1	2	139	0	2005
76	1	2	106	0	2004
77	1	1	165	0	2006
78	1	1	107	214	2009
79	2	1	118	0	2005
80	2	2	107	0	2005
81	1	2	107	0	2008
82	2	1	107	229	2005
83	5	1	157	0	2008
84	1	1	116	224	2008
85	1	1	140	229	2008
86	1	2	155	289	2008
87	1	1	159	0	2007
88	1	1	153	218	2009
89	2	1	121	0	2004
90	1	2	0	214	2009
91	5	1	174	0	2005
92	1	1	115	0	2007
93	2	2	139	0	2004
94	1	2	153	0	2006
95	1	2	156	0	2006
96	1	1	141	282	2006
97	1	1	144	214	2008
98	1	1	115	0	2008
99	1	1	156	228	2005
100	1	1	123	282	2008
101	1	1	0	221	2007
102	2	2	107	0	2005
103	1	2	0	292	2009
104	1	2	157	0	2008
105	1	2	157	218	2009
106	2	2	176	0	2005
107	1	1	156	215	2007
108	1	2	107	239	2008
109	1	1	132	283	2009
110	1	1	115	205	2008
111	2	1	107	0	0
112	1	2	115	0	2007
113	1	2	133	291	2009
114	1	1	116	218	2009
115	2	1	140	0	2005
116	1	1	127	0	2006
117	2	1	109	0	2005
118	2	2	120	0	2005
119	1	1	167	209	2007
120	1	1	123	0	2008
121	1	1	115	209	2006
122	1	2	156	0	2006
123	1	1	156	209	2009
124	1	1	139	0	2006
125	1	1	156	0	2007
126	1	0	0	0	0
127	1	1	128	290	2009
128	1	1	169	0	0
129	5	1	133	0	2006
130	2	1	154	0	2004
131	1	2	122	0	2006
132	2	1	118	0	2005
133	4	1	140	0	2005
134	1	1	113	209	2008
135	1	2	139	218	2009
136	1	1	169	218	2009
137	1	1	146	0	2007
138	1	1	107	0	2006
139	2	1	154	0	2005
140	1	0	0	0	0
141	2	2	115	0	2004
142	2	0	156	0	2005
143	1	1	115	286	2008
144	1	1	140	0	2007
145	1	2	128	218	2009
146	1	1	140	0	2006
147	1	2	127	219	2009
148	1	2	131	237	2007
149	2	2	176	0	2005
150	1	2	132	223	2008
151	1	2	160	0	2008
152	2	1	154	0	2005
153	1	1	0	218	2009
154	1	1	118	224	2008
155	2	2	120	0	2004
156	1	2	140	290	2008
157	2	1	0	0	0
158	1	1	115	220	2009
159	1	1	115	0	2008
160	1	2	140	218	2008
161	1	2	127	220	2005
162	1	1	115	214	2009
163	1	0	0	0	0
164	1	1	165	233	2008
165	1	2	116	204	2007
166	1	1	140	224	2007
167	2	1	156	0	2004
168	1	2	107	214	2009
169	1	1	139	212	2008
170	1	1	118	0	2005
171	1	2	156	214	2009
172	1	0	0	0	2006
173	1	1	160	0	2009
174	1	2	107	223	2008
175	1	1	107	217	2007
176	1	2	116	290	2008
177	1	2	116	204	2008
178	1	1	139	229	2006
179	1	2	107	0	2007
180	1	2	107	214	2009
181	1	1	158	292	2009
182	1	1	140	227	0
183	1	2	115	0	2007
184	1	2	120	220	0
185	1	1	115	220	2008
186	2	1	140	0	2004
187	1	1	0	228	0
188	1	1	144	220	2007
189	2	1	140	0	2004
190	1	1	157	281	0
191	2	2	143	0	2002
192	2	1	159	229	2005
193	1	1	107	211	2009
194	1	1	174	213	0
195	1	2	115	210	2009
196	1	1	160	292	2009
197	1	1	176	0	2008
198	1	1	127	214	0
199	2	1	140	0	2004
200	1	0	118	291	2008
201	1	2	140	206	2007
202	1	2	159	0	2005
203	1	1	154	229	2007
204	1	2	139	243	2008
205	1	1	0	220	2008
206	2	1	156	0	2005
207	1	0	0	0	0
208	1	1	156	0	2006
209	1	1	159	258	2006
210	1	1	127	0	2007
211	1	1	107	0	2004
212	1	0	0	0	0
213	1	1	115	221	2009
214	1	1	161	214	2009
215	5	2	158	0	2005
216	1	0	0	0	0
217	1	2	118	220	2008
218	1	1	156	292	2009
219	1	2	115	211	2007
220	1	2	139	291	2007
221	1	2	174	219	2009
222	2	2	107	0	2005
223	1	1	116	283	2009
224	1	1	115	214	2008
225	1	2	158	213	2007
226	1	1	132	203	2006
227	2	1	128	266	2002
228	2	1	140	0	2005
229	1	2	0	292	2008
230	1	2	115	210	0
231	1	2	115	281	2009
232	1	1	132	214	2009
233	1	2	128	221	2008
234	1	1	111	223	2007
235	1	1	173	0	2006
236	2	0	0	0	0
237	1	2	139	288	2008
238	2	2	138	0	2005
239	1	2	176	223	2008
240	1	2	0	217	2008
241	1	2	156	206	2006
242	1	1	0	214	2009
243	1	2	115	0	2007
244	1	1	0	214	2008
245	1	1	0	283	2007
246	1	2	116	281	2007
247	1	2	139	224	2009
248	1	1	160	0	0
249	1	2	174	213	2009
250	1	2	140	220	2008
251	1	1	176	204	2007
252	2	1	159	0	2005
253	1	2	118	0	2006
254	2	2	132	0	2003
255	2	1	139	0	2003
256	1	2	107	221	2007
257	1	1	172	220	2008
258	1	2	121	217	2009
259	1	2	121	0	2007
