id	status	gender	major	dorm	year
1	2	1	61	109	2005
2	1	1	66	0	2006
3	2	2	26	95	2005
4	1	2	90	101	2008
5	1	0	0	0	0
6	1	0	0	0	0
7	1	2	0	0	2007
8	2	2	35	0	2004
9	1	2	40	0	2005
10	5	2	118	0	2007
11	2	1	94	0	2004
12	2	1	4	0	2004
13	1	2	92	0	2006
14	1	2	0	80	2009
15	1	1	92	74	2007
16	5	2	36	71	1975
17	2	1	94	0	2004
18	2	1	66	0	2005
19	1	1	30	79	2009
20	5	1	0	0	2008
21	2	1	49	0	2004
22	2	1	1	70	2005
23	3	2	45	0	0
24	1	0	0	0	0
25	1	2	77	77	2009
26	1	1	6	71	2008
27	2	2	45	102	2003
28	1	1	84	116	2007
29	2	1	0	112	2004
30	2	2	35	73	2005
31	1	0	0	0	2008
32	2	1	18	0	2004
33	1	0	0	0	0
34	1	2	77	0	2006
35	1	2	49	0	2008
36	2	2	0	0	2004
37	2	2	61	0	2001
38	1	2	16	77	2009
39	1	1	0	0	2006
40	1	1	84	79	2009
41	5	1	118	0	2009
42	1	1	16	75	2007
43	4	2	28	0	2004
44	2	2	18	0	2004
45	1	1	117	134	2007
46	1	1	84	0	2006
47	5	1	0	0	0
48	2	2	94	0	2004
49	1	2	62	0	2008
50	1	1	9	115	2006
51	2	1	18	0	2004
52	1	1	94	133	2007
53	2	2	49	0	2003
54	1	2	0	74	2008
55	1	1	66	0	2007
56	1	1	16	77	2009
57	1	1	49	133	2008
58	1	0	0	0	0
59	1	2	78	133	2007
60	1	2	49	0	2007
61	1	2	0	0	2005
62	2	1	111	0	2005
63	1	0	28	0	2007
64	1	1	25	79	2006
65	2	1	0	109	2004
66	1	0	0	0	0
67	1	1	18	72	2008
68	1	2	43	134	2009
69	1	1	19	74	2007
70	1	0	45	77	2009
71	1	2	0	76	2009
72	2	1	19	0	2004
73	1	2	40	76	2009
74	1	1	0	78	2009
75	2	2	0	0	2005
76	1	2	92	73	2007
77	1	2	0	73	2008
78	1	2	79	70	2007
79	2	2	66	75	2004
80	5	2	85	0	2006
81	1	2	43	76	2009
82	1	2	19	80	0
83	2	1	61	0	2004
84	1	2	0	72	2009
85	2	2	61	0	2005
86	2	2	49	95	2005
87	2	1	0	0	2004
88	2	1	59	71	2004
89	5	2	0	0	0
90	1	1	66	129	2007
91	4	2	0	0	0
92	1	2	89	0	2007
93	1	2	49	0	2008
94	1	0	0	0	0
95	1	2	49	0	2006
96	1	0	0	0	0
97	1	2	35	73	2008
98	2	2	101	105	2004
99	1	2	40	0	2006
100	5	0	0	0	0
101	2	0	40	0	2005
102	1	2	42	73	2006
103	1	2	42	75	2006
104	1	2	35	79	2007
105	2	1	43	75	2004
106	2	2	49	0	2005
107	1	1	1	73	0
108	1	2	0	76	2009
109	1	2	49	0	2008
110	1	2	40	79	2008
111	1	2	19	77	2008
112	1	2	49	74	2006
113	1	2	43	75	2007
114	5	2	33	0	0
115	2	2	34	0	2002
116	1	2	49	0	2007
117	1	0	0	0	0
118	1	1	72	76	2009
119	1	2	0	71	2009
120	2	0	0	0	0
121	2	0	0	0	0
122	2	1	16	0	2005
123	1	2	0	0	2008
124	1	2	79	77	2008
125	1	1	45	0	2005
126	2	1	19	0	2004
127	1	1	18	0	2005
128	5	2	0	0	0
129	1	1	18	109	2006
130	1	2	35	73	2006
131	1	2	0	80	2009
132	1	2	0	77	2008
133	1	2	49	0	2006
134	1	1	40	113	2008
135	2	0	0	0	2005
136	1	0	0	0	0
137	1	1	32	131	2008
138	1	1	84	73	2007
139	1	2	0	0	0
140	2	1	94	0	0
141	2	2	28	101	2005
142	1	1	94	75	2007
143	5	2	42	0	2006
144	1	1	68	80	2008
145	1	2	32	0	2009
146	2	2	40	104	2005
147	1	2	2	75	2008
148	2	1	45	0	2006
149	1	1	40	74	2008
150	1	2	49	0	2007
151	1	0	49	71	2006
152	1	2	66	72	2009
153	5	1	72	0	0
154	2	1	66	0	2005
155	1	2	0	76	2009
156	1	2	0	0	0
157	2	2	78	104	2004
158	1	1	40	0	2006
159	1	1	0	72	2009
160	1	1	90	74	2008
161	1	1	18	0	2006
162	5	2	118	0	2007
163	1	2	49	106	2005
164	1	2	49	98	2008
165	1	2	0	76	2009
166	2	1	94	73	2004
167	2	2	100	77	2003
168	1	1	49	71	2009
169	1	1	49	113	2006
170	2	1	92	0	2003
171	1	1	25	73	2008
172	2	2	49	74	2004
173	1	2	20	130	2008
174	2	2	94	0	2005
175	1	1	16	75	2008
176	1	1	1	78	2009
177	1	0	0	0	0
178	1	1	92	115	2006
179	1	2	49	73	0
180	1	2	77	80	2009
181	1	1	43	73	2008
182	1	2	92	0	2006
183	1	2	76	0	2006
184	1	1	0	71	2009
185	2	1	77	0	2005
186	2	0	8	75	2004
187	1	1	59	0	2006
188	1	1	19	74	2007
