id	status	gender	major	dorm	year
1	1	1	249	37	2009
2	1	1	226	20	2009
3	1	1	186	7	2009
4	1	2	141	37	2009
5	1	2	148	0	2007
6	1	2	125	99	2007
7	1	1	131	130	2008
8	1	1	213	43	2008
9	5	2	152	117	2005
10	4	1	0	0	0
11	1	2	141	5	2005
12	1	1	141	21	2009
13	1	1	148	18	2009
14	1	1	141	99	2007
15	1	2	144	0	2005
16	1	1	0	0	0
17	1	2	169	0	2007
18	1	2	144	0	2005
19	2	2	148	72	2005
20	1	2	140	20	2008
21	1	1	205	87	2006
22	1	2	141	25	2009
23	1	2	141	23	2009
24	1	1	222	0	2005
25	1	1	148	0	2007
26	1	2	141	1	2008
27	1	1	233	1	2006
28	1	1	141	102	2007
29	1	1	0	91	2007
30	1	1	232	102	2007
31	2	2	141	0	2005
32	5	1	240	0	2007
33	1	1	131	0	2007
34	1	1	130	50	2006
35	2	2	243	0	2005
36	2	2	193	0	2004
37	1	1	136	115	2007
38	1	2	165	100	2006
39	1	2	242	23	2009
40	2	1	213	4	2004
41	1	1	141	0	2006
42	2	2	126	0	2004
43	1	1	177	83	2005
44	1	2	250	116	2007
45	2	1	165	0	2004
46	2	0	148	91	2004
47	1	1	130	104	0
48	1	0	134	59	2005
49	1	2	159	25	2005
50	1	2	135	116	2007
51	1	2	165	127	2007
52	5	2	159	0	0
53	1	0	0	0	0
54	1	2	180	116	2006
55	1	1	158	0	0
56	1	1	177	85	2007
57	1	1	141	21	2009
58	5	2	219	67	2006
59	4	2	143	4	2006
60	1	2	210	0	2006
61	1	1	183	0	2007
62	1	1	177	38	2008
63	1	2	141	9	2008
64	2	1	162	0	2005
65	1	2	159	15	2004
66	1	1	226	39	2008
67	1	2	190	23	2009
68	2	1	141	0	2005
69	1	1	183	10	2008
70	2	1	0	0	2003
71	1	2	230	25	2009
72	1	2	141	33	2008
73	1	2	208	0	2006
74	1	1	148	0	2006
75	1	1	210	83	2006
76	2	2	141	75	2004
77	1	2	158	116	2006
78	1	2	135	129	2008
79	1	1	130	0	2007
80	1	2	141	60	2007
81	1	1	145	79	2008
82	1	2	189	22	2007
83	1	2	158	33	2007
84	1	2	228	3	2008
85	1	2	130	50	2008
86	1	2	135	3	2009
87	1	1	226	3	2009
88	2	1	0	0	0
89	2	2	202	0	2005
90	1	0	0	0	0
91	2	1	141	87	2003
92	1	2	125	20	2009
93	1	1	210	0	2007
94	1	2	141	89	2007
95	1	1	148	135	2006
96	1	1	148	0	2006
97	5	2	159	0	2006
98	1	2	141	57	2006
99	1	1	161	9	2009
100	1	2	140	3	2009
101	1	1	205	79	2008
102	1	1	141	82	2007
103	1	2	144	123	2008
104	1	2	136	0	2006
105	1	2	208	116	2008
106	1	1	141	4	2009
107	1	2	148	59	2007
108	1	0	204	115	2006
109	2	1	148	86	2004
110	2	2	141	3	2004
111	1	2	141	53	2005
112	1	1	148	83	0
113	1	2	126	17	2009
114	1	1	131	38	2007
115	1	1	141	0	2006
116	1	2	0	17	2009
117	1	1	141	0	2006
118	1	2	125	4	2007
119	1	2	157	116	2008
120	1	2	177	10	2008
121	1	1	125	7	2005
122	1	2	150	117	2010
123	1	2	151	116	2007
124	5	2	251	0	2007
125	1	2	161	0	2008
126	1	1	258	38	2009
127	1	1	183	25	2008
128	1	1	142	24	2008
129	1	0	0	0	0
130	1	1	177	23	2009
131	2	1	183	82	2005
132	1	1	205	101	0
133	1	2	0	23	2008
134	1	1	148	0	2006
135	1	2	141	20	2008
136	1	1	148	84	2006
137	1	2	186	16	2006
138	1	0	141	0	0
139	1	1	148	116	0
140	2	1	177	0	2004
141	1	1	141	99	2008
142	1	1	165	3	2009
143	1	2	141	37	2009
144	1	2	185	99	2006
145	1	2	185	0	2006
146	1	1	141	0	2007
147	1	1	130	50	2008
148	1	2	0	0	0
149	2	1	135	0	2005
150	2	1	183	87	2005
151	1	0	166	22	2005
152	1	0	0	0	0
153	1	1	222	0	2007
154	1	2	136	102	2008
155	1	1	205	113	2008
156	2	2	242	56	2004
157	1	1	148	21	2009
158	1	1	148	0	2007
159	1	1	242	0	2007
160	2	2	141	0	2005
161	1	1	226	23	2009
162	1	1	140	116	2008
163	1	1	183	99	2008
164	1	2	141	7	2009
165	2	2	250	0	2004
166	2	1	0	83	0
167	1	2	222	0	2006
168	1	1	222	91	2008
169	1	0	177	89	2007
170	1	1	183	113	2006
171	1	2	161	23	2009
172	1	2	141	60	2007
173	1	2	252	20	2009
174	1	2	235	20	2009
175	1	1	140	113	2007
176	1	1	165	109	2006
177	1	0	0	0	0
178	1	1	136	117	2007
179	1	2	130	37	2010
180	1	1	205	0	0
181	2	2	0	0	2004
182	3	2	175	0	0
183	1	1	0	116	2008
184	5	1	213	91	0
185	1	1	152	102	2006
186	1	2	141	109	2007
187	1	1	148	117	2007
188	1	1	130	0	2009
189	2	2	125	0	2004
190	1	1	148	84	2007
191	1	1	233	0	2006
192	1	1	125	102	2007
193	1	2	141	0	2007
194	1	1	181	88	2008
195	1	2	186	0	2006
196	2	0	0	0	0
197	1	1	183	0	2007
198	1	2	151	7	2009
199	1	1	162	38	2008
200	1	1	221	101	2009
201	2	2	205	116	2005
202	2	2	125	0	2004
203	1	2	0	25	2008
204	1	1	135	10	2008
205	1	1	228	18	2009
206	1	2	161	101	2009
207	1	2	190	5	2008
208	1	1	188	18	2009
209	1	2	183	116	2006
210	1	0	0	0	2006
211	2	2	141	0	2005
212	1	1	148	82	2007
213	1	2	141	69	2006
214	1	2	212	109	2006
215	2	1	177	0	2005
