id	status	gender	major	dorm	year
1	1	2	0	0	0
2	1	1	186	115	2009
3	1	1	146	0	2006
4	1	1	151	123	0
5	1	2	154	0	2005
6	1	1	149	123	2008
7	1	1	148	0	2007
8	1	2	161	0	2007
9	1	2	165	63	2009
10	1	2	151	125	0
11	1	1	186	100	2006
12	1	1	149	123	2008
13	1	1	149	0	2006
14	2	1	178	0	2005
15	1	1	165	125	2008
16	1	1	124	0	2006
17	1	2	182	0	2007
18	1	1	186	0	2009
19	1	2	138	126	2006
20	1	1	151	54	2009
21	1	1	198	100	2006
22	1	1	203	0	0
23	1	2	121	126	2005
24	1	0	0	0	0
25	1	2	118	0	2006
26	1	2	0	0	0
27	1	1	148	0	0
28	1	1	136	100	2007
29	1	2	167	56	2005
30	1	1	148	0	2008
31	1	1	148	53	0
32	1	2	150	0	2006
33	1	1	186	0	2007
34	1	2	118	89	2006
35	1	2	120	0	2007
36	1	1	151	0	2007
37	1	2	162	121	2006
38	1	1	161	52	2007
39	1	2	161	118	2005
40	1	1	151	117	0
41	1	1	151	60	0
42	1	2	161	0	0
43	1	1	149	124	2007
44	1	1	140	0	2006
45	1	1	179	0	0
46	1	2	147	0	2005
47	1	1	186	117	2009
48	1	1	186	67	2010
49	1	2	140	92	0
50	1	1	178	78	2008
51	1	1	130	0	2009
52	1	1	130	52	2008
53	1	2	121	0	0
54	1	1	148	0	2006
55	1	2	140	0	2008
56	1	1	136	0	2005
57	1	1	198	103	2005
58	1	1	133	0	2009
59	1	2	0	74	2007
60	1	1	120	78	2007
61	1	2	154	82	0
62	1	1	147	100	0
63	1	2	136	82	2005
64	2	0	0	0	0
65	1	1	120	52	2009
66	1	1	150	67	2008
67	1	1	127	0	0
68	1	1	154	100	2005
69	1	0	0	0	0
70	1	2	0	57	2005
71	5	1	136	0	2005
72	1	1	149	0	2007
73	5	2	122	0	2008
74	5	1	178	0	2006
75	1	2	136	54	2006
76	1	2	161	0	2005
77	2	1	127	0	0
78	1	2	165	54	2008
79	1	1	132	78	0
80	1	1	202	79	0
81	1	1	118	0	2005
82	1	2	0	0	2008
83	1	1	184	66	2006
84	1	1	124	0	2007
85	1	1	203	0	2008
86	1	1	186	0	2007
87	1	2	133	0	2006
88	1	1	151	115	2005
89	1	1	186	120	2008
90	1	1	149	124	2007
91	1	0	0	0	0
92	1	2	150	0	2005
93	1	2	182	53	2006
94	1	1	149	0	0
95	1	1	118	126	2005
96	1	2	140	121	2008
97	1	1	121	0	2005
98	5	1	124	0	2006
99	5	2	151	0	0
100	1	2	146	0	0
101	1	1	149	54	2009
102	1	1	149	71	0
103	1	1	130	0	2008
104	1	0	0	0	0
105	1	2	188	0	2006
106	1	1	149	117	2009
107	1	2	132	83	2008
108	1	2	147	121	2007
109	1	1	0	0	2006
110	1	1	151	0	2006
111	1	2	132	0	0
112	1	1	148	126	2006
113	1	1	124	0	2008
114	1	2	161	0	2009
115	1	1	197	67	2009
116	1	1	167	0	2008
117	1	2	138	0	0
118	1	2	136	66	2009
119	1	1	140	66	2009
120	1	1	186	0	0
121	1	1	124	124	2008
122	1	1	151	122	0
123	1	1	148	0	2005
124	1	2	0	0	0
125	1	1	154	63	2006
126	1	1	186	112	2005
127	1	1	141	117	2009
128	1	1	149	123	2007
129	2	1	178	127	0
130	1	1	149	0	2007
131	1	0	0	0	0
132	1	1	124	126	0
133	1	2	163	63	2008
134	1	2	186	123	2005
135	2	2	188	0	2004
136	1	2	134	104	0
137	1	1	204	110	2007
138	1	2	133	111	2006
139	1	1	147	0	2006
140	1	1	120	0	2006
