id	status	gender	major	dorm	year
1	1	1	265	90	2008
2	1	2	237	87	2009
3	1	1	240	86	2009
4	1	1	265	0	2008
5	1	1	275	0	0
6	1	1	246	88	2008
7	1	2	237	0	2008
8	1	1	237	88	2008
9	1	1	240	0	2007
10	1	1	0	87	2008
11	1	0	0	0	0
12	1	2	244	101	2005
13	1	1	0	0	2006
14	1	2	279	88	2008
15	1	1	253	86	2009
16	1	2	237	0	2004
17	1	2	237	88	2008
18	1	1	268	87	2009
19	2	0	0	0	0
20	1	1	269	88	2007
21	1	0	0	0	0
22	1	1	237	0	2007
23	1	2	241	0	2005
24	1	1	268	0	2006
25	1	1	279	0	2007
26	1	1	237	86	2009
27	1	2	268	0	2006
28	1	2	266	0	2007
29	1	1	237	0	2006
30	1	1	261	86	2009
31	1	1	269	0	2007
32	1	1	253	0	2005
33	1	1	237	88	2008
34	1	1	237	0	2006
35	1	1	240	90	2008
36	1	2	237	0	2005
37	1	1	275	87	2009
38	1	2	261	86	2008
39	1	1	237	94	2006
40	1	1	261	0	2007
41	1	1	240	90	2008
42	1	2	246	88	2008
43	1	1	269	87	2009
44	1	1	265	0	2007
45	1	2	236	99	2005
46	1	1	269	0	2007
47	2	1	268	0	2005
48	1	1	269	87	0
49	1	2	237	86	2009
50	1	1	237	88	2008
51	1	1	237	87	2005
52	1	1	265	87	2009
53	1	1	269	88	2008
54	1	2	264	87	2009
55	1	2	253	0	2006
56	1	1	237	0	2005
57	1	1	252	89	0
58	1	2	240	0	2005
59	1	2	237	0	2006
60	1	1	265	0	2007
61	1	1	269	0	2006
62	1	2	237	101	2007
63	1	1	268	0	2006
64	1	1	260	0	0
65	1	1	268	0	2006
66	1	0	0	0	0
67	1	2	261	0	2007
68	1	1	275	88	2007
69	2	1	269	0	2005
70	1	1	237	87	2009
71	1	1	237	0	2008
72	1	1	0	86	2009
73	1	1	265	0	2008
74	1	1	269	87	2009
75	1	2	265	0	2007
76	1	1	237	86	0
77	1	1	0	86	2009
78	2	1	265	0	2005
79	1	1	237	0	2007
80	5	2	237	0	2007
81	1	1	237	89	2009
82	1	0	0	0	0
83	1	2	237	94	0
84	1	1	265	86	2009
85	1	1	0	88	2008
86	1	1	261	0	2006
87	1	2	279	0	2007
88	1	1	265	107	2007
89	1	1	237	89	2009
90	1	1	276	0	2007
91	2	1	240	0	2004
92	5	1	260	0	0
93	1	2	237	0	2007
94	1	0	0	0	0
95	1	1	269	89	2009
96	1	1	237	102	0
97	1	0	0	0	0
98	1	0	0	0	0
99	1	0	0	0	0
100	1	1	237	87	2009
101	1	1	0	89	2009
102	2	1	269	0	2005
103	1	1	261	90	2008
104	2	2	237	0	2004
105	1	1	269	0	0
106	1	1	237	87	2009
107	1	1	237	0	2008
108	1	1	265	86	2009
109	1	2	244	0	2008
110	1	1	255	88	2008
111	1	1	279	0	2006
112	1	1	263	90	2007
113	1	1	265	0	2006
114	1	1	265	0	0
115	1	2	268	94	0
116	1	1	269	94	2007
117	1	1	261	88	2008
118	1	2	246	87	2009
119	2	1	237	0	2005
120	1	1	237	89	2008
121	1	2	268	90	2007
122	1	0	269	0	0
123	1	1	276	0	2007
124	1	2	236	0	2008
125	1	2	237	86	2009
126	1	1	268	0	2006
127	1	1	250	89	2008
128	1	2	239	88	2008
129	1	0	0	0	2007
130	1	2	260	0	2008
131	1	2	235	0	2007
132	1	1	246	87	2009
133	1	0	261	86	2008
134	1	1	250	88	2007
135	1	1	269	88	2008
136	1	0	0	0	0
137	1	1	253	0	2006
138	1	1	265	0	2007
139	1	1	237	89	2008
140	1	1	237	89	2008
141	1	2	269	91	2007
142	1	1	237	0	2006
143	2	1	269	0	2005
144	1	2	236	0	2007
145	1	2	253	0	2007
146	1	1	269	91	2006
147	1	2	0	87	2009
148	1	1	261	0	2009
149	1	0	0	86	2008
150	1	2	236	0	0
151	1	2	237	0	2007
152	1	1	279	89	2008
153	1	2	246	90	2007
154	1	1	0	88	2008
155	2	2	263	0	2005
156	1	1	275	88	2008
157	1	2	267	88	2008
158	1	1	261	86	0
159	1	1	269	0	2005
160	1	2	246	0	2008
161	1	1	253	88	2008
162	1	1	265	89	2008
163	1	1	275	86	2009
164	1	2	236	88	2008
165	1	2	268	0	2008
166	1	1	246	89	2007
167	1	1	250	87	2008
168	1	1	265	0	2006
169	1	2	237	88	2008
170	1	1	237	0	2006
171	1	0	269	88	2008
172	1	1	279	86	2009
173	1	2	236	87	2009
174	1	2	237	88	2008
175	1	1	239	0	2005
176	1	1	0	0	0
177	1	1	269	89	2009
178	1	1	239	91	2006
179	1	0	237	94	0
180	1	2	236	86	2008
181	1	2	237	0	2008
182	1	2	266	0	2005
183	1	1	265	0	0
184	1	1	0	88	2007
185	1	1	246	88	2007
186	1	1	237	0	2007
187	1	0	0	0	0
188	1	2	237	0	2007
189	2	1	236	0	2005
190	1	2	237	86	2009
191	1	2	250	88	2006
192	1	1	0	0	2008
193	1	1	0	87	0
194	2	1	237	102	2005
195	3	2	237	87	2008
196	1	1	265	88	2008
197	1	1	246	0	2007
198	1	2	0	90	2006
199	1	1	265	87	2009
200	1	1	279	0	2005
201	1	1	0	86	2009
202	1	0	0	0	2006
203	1	1	0	0	2008
204	1	1	246	0	2007
205	1	0	0	0	0
206	1	1	276	0	2007
207	1	1	237	89	2009
208	1	2	266	90	2008
209	1	1	250	88	2008
210	1	1	279	0	2006
211	1	1	237	0	2008
212	1	2	0	0	0
213	1	2	244	0	2007
214	1	1	268	0	0
215	1	1	250	0	2006
216	1	1	265	88	0
217	1	1	236	87	2009
218	1	1	237	86	2009
219	1	2	268	0	2006
220	1	2	268	0	2007
221	1	0	0	0	0
222	1	1	236	91	0
223	1	1	279	0	2005
224	1	1	261	0	2005
