id	status	gender	major	dorm	year
1	1	1	0	102	2009
2	1	2	118	144	2006
3	2	1	0	0	2004
4	1	2	0	0	0
5	2	2	70	0	0
6	5	1	102	0	2006
7	1	2	112	98	2008
8	1	1	119	196	2008
9	1	1	121	71	2009
10	1	1	76	166	2006
11	1	2	114	73	2009
12	2	1	121	0	2005
13	1	0	0	0	0
14	1	1	0	196	2008
15	1	1	136	78	2008
16	1	2	69	0	2007
17	2	2	108	106	2005
18	1	2	138	159	2005
19	1	0	52	174	2007
20	1	0	133	0	0
21	2	2	0	187	1998
22	5	2	115	0	0
23	1	0	0	0	0
24	1	2	110	103	2006
25	2	1	89	114	2004
26	1	2	86	0	2006
27	5	0	67	0	0
28	1	2	63	72	2009
29	1	1	70	126	2006
30	1	2	0	0	2008
31	1	1	81	203	2007
32	5	1	97	113	2003
33	1	1	62	81	2009
34	1	1	69	0	2005
35	1	2	0	112	2009
36	2	2	52	0	2005
37	1	2	81	75	2009
38	1	1	88	196	2006
39	2	2	72	79	2003
40	1	2	0	71	2008
41	1	0	0	0	0
42	2	2	75	0	2003
43	1	2	0	119	0
44	1	2	0	71	2009
45	5	1	86	0	2005
46	1	2	52	0	2008
47	1	1	62	113	2006
48	1	2	72	144	2006
49	2	0	0	0	0
50	1	1	111	0	2006
51	1	0	0	0	0
52	1	1	76	168	2008
53	1	1	68	122	2007
54	1	1	0	80	2009
55	1	2	0	0	2006
56	1	2	81	0	0
57	1	2	69	0	2007
58	1	1	0	119	0
59	1	2	69	0	2006
60	1	2	72	89	2007
61	1	1	81	0	2006
62	1	1	0	85	2008
63	5	2	147	0	0
64	2	1	70	164	2005
65	1	1	124	0	0
66	1	2	76	140	2006
67	1	2	0	0	2007
68	1	0	85	0	2007
69	1	1	109	170	2008
70	1	2	103	81	2009
71	1	1	85	174	0
72	1	2	83	0	2006
73	1	2	119	96	2006
74	1	2	121	119	2008
75	1	2	52	99	2007
76	1	1	85	179	2006
77	2	1	54	0	2005
78	1	1	130	105	2008
79	1	1	72	176	2008
80	2	1	58	115	2002
81	1	1	121	0	2007
82	1	1	0	114	2009
83	1	1	143	164	2007
84	1	2	114	114	2009
85	2	2	121	142	2005
86	1	2	118	98	2008
87	1	1	76	117	2009
88	1	1	63	77	2009
89	2	2	75	0	2005
90	2	0	0	0	0
91	2	1	72	167	2005
92	1	1	121	116	2009
93	1	0	88	179	2007
94	2	1	72	112	2004
95	2	1	63	180	2005
96	2	2	69	0	2004
97	1	0	72	0	2007
98	1	2	0	157	2008
99	1	1	71	168	2008
100	1	2	76	139	2007
101	1	1	147	176	2007
102	1	2	121	154	2005
103	1	1	80	196	2005
104	1	2	75	193	2007
105	1	2	85	0	2007
106	1	2	69	0	2005
107	2	1	0	0	2004
108	1	2	85	79	2009
109	2	1	62	182	2004
110	1	1	85	0	2008
111	2	2	69	0	2005
112	1	2	75	87	2008
113	1	2	69	142	2006
114	1	2	109	0	2007
115	2	1	63	0	2004
116	2	2	121	0	2005
117	1	2	75	0	2006
118	2	1	70	0	2005
119	1	2	88	0	2007
120	1	2	69	134	0
121	1	2	125	80	2009
122	1	2	63	70	2008
123	2	2	72	0	2004
124	1	1	75	175	2006
125	1	0	52	174	2008
126	1	1	97	178	2007
127	1	2	0	71	2008
128	1	2	76	119	2009
129	1	1	0	117	2008
130	2	2	69	105	2005
131	1	1	69	0	2008
132	1	2	112	196	2008
133	1	1	72	111	2007
134	1	1	86	164	2007
135	1	1	97	105	2008
136	1	2	81	0	2005
137	5	2	82	0	0
138	1	1	52	77	2009
139	1	2	89	0	2007
140	1	1	52	0	2006
141	1	2	82	115	2009
142	1	0	0	0	0
143	2	2	111	0	2004
144	1	1	76	124	2006
145	1	2	108	81	2009
146	1	1	0	178	2007
147	1	1	62	114	2009
148	1	2	81	0	2006
149	2	1	97	0	2005
150	1	2	75	119	2009
151	1	1	0	118	2009
152	2	0	70	0	2005
153	1	0	0	0	0
154	1	2	76	150	2006
155	1	0	0	0	0
156	2	1	81	0	2005
157	1	2	0	0	2009
158	1	1	68	92	2009
159	1	2	118	140	2005
160	5	1	64	0	2005
161	1	1	84	0	2005
162	1	2	0	0	0
163	1	2	71	0	2008
164	1	2	69	0	2007
165	1	1	70	79	2009
166	1	1	0	115	2009
167	2	1	85	0	0
168	1	0	0	0	0
169	1	0	0	0	0
170	2	0	70	0	2005
171	2	1	52	0	2005
172	2	1	62	0	2004
173	2	1	123	170	2003
174	1	2	107	0	2009
175	1	1	121	102	2007
176	2	1	63	178	2004
177	1	1	97	80	2009
178	2	1	121	170	2004
179	1	1	62	71	2009
180	1	2	0	114	2008
181	5	2	118	0	2005
182	5	1	108	0	0
183	2	1	85	130	2005
184	1	2	69	0	2006
185	1	1	135	0	2009
186	1	2	138	116	2008
187	1	2	69	0	2007
188	1	1	0	0	2007
189	2	2	142	206	2005
190	2	2	123	142	2005
191	1	1	107	73	2009
192	1	1	107	97	2007
193	1	2	116	0	0
194	1	1	135	0	2007
195	1	2	0	116	2008
196	1	2	72	105	2007
197	5	2	81	0	0
198	2	1	100	0	2004
199	2	2	84	0	2005
200	2	2	59	0	0
201	1	2	52	105	2006
202	1	2	109	196	2006
203	1	1	147	0	2008
204	1	2	69	0	2006
205	1	2	0	0	2005
206	2	2	121	112	2003
207	2	0	135	165	2003
208	1	1	56	167	2006
209	1	2	0	0	2008
210	1	2	119	101	2009
211	1	2	112	81	2008
212	1	1	87	0	2006
213	1	1	109	0	2006
214	2	2	56	0	2004
215	1	0	0	0	0
216	1	1	111	0	2006
217	1	1	56	0	2006
218	1	2	83	101	2009
219	1	2	107	0	2006
220	1	1	52	170	2007
221	2	1	70	0	0
222	1	2	70	71	2009
223	1	1	135	69	0
224	2	1	85	0	2005
225	1	1	62	0	2008
226	1	2	0	112	2009
227	1	2	138	78	2009
228	1	0	0	0	0
229	1	1	54	105	2007
230	1	0	0	79	2008
231	2	1	97	113	2004
232	1	0	0	0	0
233	2	1	89	172	2005
234	1	1	0	72	2005
235	1	0	70	0	2007
236	1	2	62	114	2009
237	2	2	109	0	2005
238	1	1	68	0	0
239	1	0	0	0	0
240	2	1	81	70	2002
241	2	1	75	176	2004
242	2	2	109	106	2005
243	1	2	70	0	2006
244	1	1	107	179	2007
245	2	0	108	133	2004
246	1	1	0	71	2009
247	2	2	121	89	2000
248	2	2	89	0	2005
249	1	0	0	0	0
250	2	2	110	0	2004
251	1	0	76	0	2007
252	1	1	97	113	0
253	1	2	75	95	2008
254	1	2	124	0	2006
255	1	1	0	0	2008
256	1	0	148	116	2010
257	2	1	118	0	2005
258	1	1	0	120	2009
259	2	2	76	0	2005
260	1	2	52	0	2007
261	1	1	123	0	2007
262	1	2	109	98	2006
263	1	1	70	95	2006
264	1	2	109	196	2008
265	1	2	0	0	2007
266	1	1	70	105	2007
267	1	1	123	170	2008
268	1	1	56	193	2007
269	1	1	71	0	2007
270	2	1	69	0	2004
271	1	1	0	118	2009
272	1	1	107	196	2006
273	1	1	109	105	2007
274	1	1	70	70	2009
275	1	2	121	104	2009
276	2	1	62	0	2005
277	2	2	69	196	2005
278	1	2	0	97	2006
279	1	2	69	203	2007
280	1	2	107	0	2009
281	2	1	76	176	2004
282	2	2	75	157	2005
283	1	1	72	112	2009
284	1	2	62	94	2007
285	1	2	69	0	0
286	1	1	0	0	2008
287	1	1	135	80	2009
288	1	1	75	0	2007
289	1	2	109	105	2007
290	1	1	121	95	2006
291	2	1	62	90	2005
292	1	2	86	0	2007
293	1	1	0	81	2009
294	1	1	62	0	2005
295	2	1	86	0	2005
296	5	2	123	0	2008
297	1	2	0	81	2009
298	1	2	111	77	2008
299	1	2	145	118	2008
300	2	1	121	119	2003
301	1	1	62	0	2007
302	1	1	89	95	2007
303	1	1	129	71	2009
304	2	1	76	0	2005
305	1	1	0	77	2009
306	1	0	0	0	2006
307	1	2	0	159	0
308	1	2	62	196	2007
309	1	0	0	0	0
310	5	2	69	0	2007
311	1	2	124	0	2008
312	1	2	81	75	2009
313	1	2	119	137	2006
314	1	1	0	99	2008
315	1	1	70	179	2008
316	1	2	118	116	2008
317	1	0	75	0	2005
318	1	2	111	105	2008
319	2	0	0	0	0
320	1	2	0	159	2008
321	1	1	72	0	2007
322	1	2	85	99	2006
323	1	2	88	204	2007
324	1	2	112	0	2005
325	2	1	72	0	0
326	2	1	69	0	2005
327	2	0	0	0	0
328	1	1	62	108	2008
329	1	2	52	95	2006
330	2	1	75	0	2003
331	1	1	135	118	2009
332	1	2	147	105	2008
333	2	1	62	185	2003
334	2	1	121	0	2005
335	1	1	86	0	2007
336	1	0	0	0	0
337	1	2	69	193	2007
338	1	1	73	172	2007
339	1	2	118	75	2009
340	1	0	52	0	2007
341	1	1	75	0	2006
342	1	2	121	117	2009
343	1	1	0	73	2009
344	2	1	63	180	2004
345	1	0	0	0	0
346	1	1	62	0	2006
347	1	1	135	95	2008
348	2	1	76	0	2004
349	2	2	78	156	2004
350	5	2	117	145	2009
351	4	2	0	0	0
352	1	1	64	0	2006
353	1	1	72	105	2007
354	2	1	68	0	2005
355	2	2	75	106	2005
356	1	0	89	0	2006
357	1	2	72	150	2006
358	1	2	121	74	2009
359	1	2	110	70	2008
360	5	1	97	0	0
361	5	2	69	0	0
362	1	1	62	196	2008
363	1	2	121	0	2008
364	1	2	121	79	2008
365	2	1	135	0	0
366	5	1	107	0	0
367	1	2	81	89	2008
368	1	1	70	84	2007
369	2	1	112	0	2005
370	1	2	103	74	2009
371	1	0	0	0	0
372	1	1	80	0	2008
373	1	1	72	0	2007
374	5	2	81	0	2005
375	1	1	70	80	2009
376	1	1	61	120	2008
377	4	2	0	0	0
378	1	1	68	90	2008
379	5	2	84	0	0
380	1	1	68	114	2007
381	1	1	0	0	2009
382	1	0	0	0	0
383	1	1	102	0	2005
384	1	2	118	0	2007
385	1	1	107	0	2006
386	2	1	72	0	2004
387	5	1	119	0	2007
388	1	2	121	0	2008
389	2	2	121	159	2005
390	2	1	107	166	2004
391	4	2	123	0	2005
392	5	1	97	0	2006
393	1	2	70	196	2007
394	1	2	107	69	2009
395	1	2	121	120	2008
396	1	1	97	0	2005
397	1	2	77	0	2006
398	1	2	107	0	2006
399	1	1	85	208	2008
400	1	1	85	0	2005
401	1	1	121	0	2008
402	1	1	85	74	2009
403	1	1	76	0	2008
404	1	2	111	96	2010
405	1	1	76	202	2006
406	2	1	89	0	2005
407	1	1	0	180	2007
408	2	2	85	0	2004
409	1	1	89	0	2007
410	1	0	0	93	2007
411	1	1	124	120	2009
412	1	1	69	0	2007
413	2	1	76	171	2004
414	1	2	54	78	2008
415	2	0	0	0	0
416	2	2	71	0	2004
417	1	2	111	105	2007
418	1	1	62	79	2009
419	2	2	112	120	2004
420	1	1	70	169	2007
421	1	2	121	118	2009
422	1	1	69	0	2005
423	2	1	75	164	2004
424	1	1	72	0	2008
425	1	2	56	141	2006
426	1	2	121	115	2009
427	2	2	72	203	2005
428	2	2	119	144	2004
429	1	1	107	113	2009
430	1	2	76	193	2008
431	1	1	89	196	2008
432	5	1	71	196	2005
433	1	1	76	0	2006
434	1	1	130	196	2007
435	1	1	77	113	2009
