id	status	gender	major	dorm	year
1	1	1	169	60	2008
2	1	2	169	73	2008
3	1	1	179	65	2007
4	1	1	171	104	2008
5	1	1	188	0	2007
6	1	0	0	0	0
7	2	2	177	0	2005
8	1	2	174	61	2008
9	1	1	138	108	2007
10	1	1	135	66	2007
11	1	1	188	59	2007
12	2	1	0	102	2003
13	1	1	0	104	2008
14	2	2	166	0	2003
15	1	1	166	99	2007
16	1	1	177	59	2008
17	5	2	143	0	2007
18	1	0	177	98	2006
19	5	2	0	102	2005
20	1	2	179	0	2006
21	2	1	177	0	2005
22	1	1	177	0	2006
23	5	2	143	0	2005
24	2	2	179	0	2003
25	2	1	137	98	2005
26	1	2	179	84	2005
27	2	0	184	0	2003
28	1	1	170	56	2009
29	1	2	135	53	2009
30	1	1	158	0	2006
31	1	1	145	102	0
32	1	2	173	70	2009
33	1	1	173	67	2005
34	1	2	0	94	2008
35	1	1	177	0	2006
36	1	2	189	67	2009
37	1	2	138	73	2008
38	1	2	168	64	2006
39	1	1	166	67	2009
40	1	2	166	0	2006
41	2	2	140	0	2005
42	1	1	177	64	2007
43	1	2	169	70	2009
44	2	1	160	0	2005
45	2	0	0	0	0
46	1	2	179	0	2005
47	1	1	135	75	2007
48	1	1	185	105	2008
49	2	2	166	92	2001
50	1	1	145	106	0
51	1	1	179	100	2007
52	1	2	165	63	2008
53	1	1	173	52	2009
54	1	1	0	103	2008
55	1	2	173	81	2006
56	2	2	0	93	2005
57	1	2	134	89	2008
58	1	2	124	73	2008
59	1	1	0	75	2008
60	1	1	134	99	2007
61	2	2	0	0	2005
62	1	1	166	74	2006
63	1	2	171	0	2006
64	1	1	160	0	0
65	1	1	0	69	2009
66	1	2	135	62	2008
67	5	2	166	0	0
68	2	0	138	0	2005
69	2	1	0	0	0
70	1	2	189	0	2008
71	1	1	176	0	2006
72	5	0	184	0	2006
73	1	1	166	69	2009
74	1	2	168	64	2008
75	2	2	145	0	2005
76	2	1	0	102	2003
77	1	2	179	62	2009
78	1	1	190	66	2007
79	1	2	179	83	2006
80	2	2	179	0	2004
81	1	1	160	99	2007
82	1	1	134	0	2008
83	2	1	164	108	2005
84	2	2	134	0	2005
85	2	1	190	0	0
86	2	1	140	0	2005
87	1	2	179	67	2009
88	5	0	0	0	0
89	1	1	0	54	2009
90	1	1	164	0	2007
91	1	1	182	0	2007
92	5	1	143	0	2007
