id	status	gender	major	dorm	year
1	1	1	0	91	2009
2	1	2	254	90	2009
3	1	2	270	87	2009
4	2	2	254	0	2005
5	1	1	260	92	2009
6	1	1	251	87	2008
7	2	0	251	97	2005
8	1	1	0	89	0
9	2	1	251	90	2004
10	1	1	261	88	2007
11	1	1	249	95	2006
12	1	2	0	87	2008
13	2	1	281	0	2005
14	1	1	274	93	2007
15	1	1	263	97	2006
16	1	0	0	0	0
17	2	1	255	0	2005
18	1	2	0	89	2009
19	1	1	261	94	2008
20	1	1	0	86	2008
21	2	2	246	97	2005
22	1	2	251	91	2009
23	1	2	0	89	2009
24	2	1	0	0	2005
25	2	1	235	0	2004
26	1	1	253	90	2008
27	1	2	268	91	2008
28	1	1	0	87	0
29	1	1	0	94	2008
30	1	0	0	0	0
31	1	1	238	92	2008
32	1	1	248	97	2006
33	1	1	276	97	2006
34	1	1	276	88	2007
35	1	2	0	86	2009
36	1	2	246	97	2006
37	1	1	242	86	2009
38	2	1	283	0	2005
39	1	2	275	87	2007
40	1	1	275	97	2006
41	1	2	0	87	0
42	1	2	282	89	2007
43	2	0	0	0	0
44	1	1	277	94	2007
45	1	2	275	89	2007
46	1	1	282	0	0
47	2	2	254	0	2004
48	1	1	275	95	2008
49	1	1	238	96	0
50	1	1	251	94	2007
51	2	1	244	97	2005
52	1	1	0	88	2008
53	2	2	248	96	2005
54	1	1	238	92	2008
55	2	1	0	0	2005
56	1	1	274	86	2007
57	1	1	271	89	2007
58	1	1	248	87	2008
59	1	1	248	89	2008
60	1	0	0	0	0
61	1	1	250	87	2007
62	2	2	257	97	2004
63	1	1	237	96	2006
64	1	1	0	87	2008
65	1	1	251	89	2008
66	1	0	0	0	0
67	1	1	251	0	2006
68	1	1	0	87	2008
69	1	2	275	86	2008
70	1	1	240	0	2006
71	1	1	240	92	2008
72	1	2	260	91	2009
73	1	2	249	87	2008
74	1	1	0	87	2009
75	2	2	281	0	2005
76	1	1	260	0	2007
77	1	1	238	97	2006
78	2	2	241	88	2004
79	1	1	251	92	2008
80	1	2	0	94	2008
81	1	1	281	0	2007
82	1	0	279	87	2008
83	1	1	251	95	2009
84	2	0	281	0	2004
85	1	1	276	94	2008
86	2	1	253	89	2004
87	1	1	248	87	2007
88	2	1	275	0	2005
89	1	1	0	92	2009
90	1	1	238	94	2007
91	1	2	251	94	2008
92	1	1	0	95	2009
93	1	2	253	97	2006
94	1	1	0	90	2008
95	1	1	0	86	2009
96	1	1	271	96	2006
97	1	2	275	92	2009
98	1	1	250	97	2006
99	1	2	257	97	2005
100	1	0	257	91	0
101	1	0	0	0	0
102	1	1	275	87	2008
103	2	1	251	0	2005
104	2	1	277	86	2005
105	1	1	238	0	2006
106	1	1	0	94	2008
107	2	1	282	0	2005
108	1	2	260	0	2004
109	1	1	276	87	2008
110	2	2	248	0	2005
111	1	1	281	87	2007
112	1	1	275	94	2007
113	1	2	274	94	2009
114	1	1	0	90	2008
115	1	2	251	97	2006
116	1	1	240	88	2008
117	1	1	238	0	2007
118	2	2	277	98	2003
119	1	1	276	94	2009
120	1	2	0	90	2009
121	1	1	256	88	2008
122	1	2	275	94	2007
123	1	2	251	88	2009
124	2	0	254	92	2005
125	1	1	0	89	2008
126	1	1	256	89	2007
127	2	2	261	96	2005
128	1	1	276	92	2006
129	1	2	249	89	2008
130	1	1	251	90	2009
131	1	0	270	96	2006
132	2	2	249	89	2005
133	2	2	251	96	2004
134	1	2	260	94	2007
135	2	0	0	0	0
136	1	1	276	97	2006
137	1	2	270	86	2007
138	1	2	0	86	2009
139	1	0	0	0	0
140	2	1	251	94	2005
141	1	1	0	89	2008
142	1	2	282	94	2007
143	2	1	255	0	2002
144	1	1	267	90	2007
145	1	1	0	91	2009
146	2	2	251	0	2005
147	1	2	244	90	2007
148	1	0	0	0	0
149	1	2	0	0	0
150	1	2	0	91	2009
151	1	1	237	89	2006
152	1	2	261	94	2007
153	1	1	276	97	2005
154	1	0	0	0	2008
155	1	1	240	95	2009
156	1	2	260	89	2009
157	1	1	241	88	2009
158	1	1	277	89	2008
159	1	1	251	95	2009
160	1	1	0	86	2008
161	1	2	0	86	2009
162	2	1	248	97	2005
163	1	1	281	92	2008
164	1	2	260	90	2009
165	1	1	281	97	2006
166	2	0	0	0	2005
167	2	2	249	96	2004
168	4	2	0	0	0
169	1	1	271	86	2007
170	1	1	276	92	2006
171	1	2	249	0	2009
172	1	2	276	91	2008
173	1	1	238	91	2008
174	1	0	260	90	2007
175	1	1	276	89	2008
176	1	1	0	95	2008
177	1	1	236	89	2006
178	1	1	253	90	2008
179	2	2	238	97	2005
180	1	0	0	0	0
181	2	2	240	0	2004
182	1	1	260	89	2007
183	1	1	279	98	2006
184	1	1	237	91	2007
185	2	2	249	97	2005
186	1	2	282	90	2007
187	1	2	0	89	2008
188	1	1	263	91	2007
189	1	2	0	94	2009
190	1	2	0	0	2005
191	2	2	254	0	2005
192	2	0	271	0	2005
193	1	1	0	90	2009
194	2	1	282	0	2005
195	2	1	281	96	2003
196	1	1	0	95	2009
197	1	1	0	88	2009
198	1	2	249	0	2005
199	1	1	0	87	2009
200	1	2	0	91	2009
201	1	0	268	0	2008
202	2	2	251	96	2005
203	1	1	0	95	2009
204	2	2	240	86	2005
205	1	2	249	88	2007
206	2	2	267	97	2003
207	1	1	0	86	2008
208	1	2	249	0	0
209	2	2	246	88	2003
210	2	2	238	0	2005
211	1	2	260	86	2007
212	1	2	249	97	0
213	1	1	251	94	2009
214	1	2	242	90	2009
215	1	1	0	92	2009
216	2	1	240	0	2005
217	2	1	275	0	2005
218	1	1	248	90	2008
219	1	1	243	91	2007
220	2	2	276	86	2004
221	1	1	254	90	2008
222	1	2	260	90	2009
223	1	1	281	87	2007
224	1	1	0	94	2008
225	2	1	241	94	2005
226	1	2	253	87	2007
227	2	1	263	0	2005
228	2	2	246	0	2005
229	1	2	249	94	2007
230	1	1	251	91	2007
231	1	1	261	94	2007
232	2	1	248	89	2003
233	1	1	0	90	2009
234	2	1	251	97	2005
235	1	1	270	86	2009
236	1	2	0	91	2008
237	2	2	276	0	2005
238	1	1	0	87	2008
239	1	1	238	86	2009
240	2	1	251	0	2004
241	2	1	275	0	2005
242	1	1	260	0	2007
243	2	1	248	98	2005
244	1	1	0	92	2006
245	1	2	249	88	2007
246	1	1	240	95	2009
247	1	1	238	94	2008
248	1	1	240	86	2009
249	1	1	254	94	2009
250	1	1	259	91	2008
251	2	1	244	0	2005
252	2	1	235	0	2005
253	1	2	257	87	2007
254	2	1	250	94	0
255	1	2	270	87	2009
256	1	1	0	87	2008
257	2	1	249	0	2005
258	1	0	279	91	2007
259	1	1	270	94	2009
260	1	0	0	90	0
261	1	1	251	92	2006
262	1	2	276	87	2007
263	1	1	276	86	2009
264	1	1	276	89	2009
265	1	1	248	87	2008
266	1	2	260	88	2007
267	1	1	284	0	2007
268	1	1	260	90	2008
269	1	0	260	87	2007
270	1	1	251	90	2009
271	2	1	276	0	2005
272	1	1	0	95	2008
273	1	1	241	0	2008
274	1	2	271	87	2008
275	1	2	274	96	2006
276	1	1	0	0	2009
277	1	1	249	95	2006
278	2	1	237	97	2005
279	1	1	0	88	2009
280	1	2	267	86	2006
281	2	1	260	96	2005
282	1	2	282	87	2007
283	1	2	248	90	2008
284	1	1	0	87	2008
285	2	2	246	0	2003
286	1	2	275	97	2006
287	1	1	251	96	2006
288	1	1	0	92	2009
289	1	2	260	97	2006
290	1	0	237	86	2007
291	1	1	264	90	2009
292	1	1	263	96	2007
293	1	2	275	94	2008
294	1	1	250	95	2008
295	1	2	249	92	2008
296	1	2	251	94	2009
297	1	1	0	88	2009
298	1	1	249	94	2006
299	1	1	251	0	2007
300	1	1	251	95	2009
301	2	1	241	94	2004
302	1	0	254	94	2007
303	1	1	270	96	2005
304	1	2	257	96	2006
305	1	2	241	96	2006
306	1	2	244	92	2006
307	1	2	243	94	2008
308	1	1	241	89	2008
309	1	1	258	0	2007
310	1	1	238	94	2008
311	1	1	241	90	2009
312	1	0	0	0	0
313	1	1	251	88	2008
314	2	1	237	96	2004
315	1	1	0	94	2009
316	1	1	238	86	2007
317	1	1	276	89	2007
318	1	2	249	96	2006
319	2	1	282	0	2005
320	1	2	0	87	2009
321	1	1	271	92	2008
322	1	1	251	94	2007
323	1	2	271	96	2006
324	1	2	270	89	2009
325	1	1	270	97	2006
326	1	1	0	89	2008
327	1	1	243	97	2006
328	2	2	239	92	2003
329	1	1	249	96	2006
330	1	1	249	89	2009
331	1	2	241	97	2006
332	1	1	271	87	2008
333	1	2	0	87	2009
334	1	1	237	95	2007
335	1	2	246	87	2007
336	1	1	268	86	2008
337	1	2	0	88	2008
338	1	1	251	91	2009
339	1	1	0	94	2008
340	1	1	0	86	2008
341	1	1	251	94	2009
342	1	1	237	89	2007
343	1	1	241	97	2005
344	2	2	276	0	2005
345	5	0	0	0	0
346	2	1	276	89	2004
347	1	2	244	87	2008
348	1	2	271	88	2009
349	2	1	249	0	2005
350	1	1	276	96	2006
351	1	1	237	94	2007
352	1	2	0	91	2009
353	2	2	270	87	2004
354	1	1	251	87	2007
355	1	2	260	87	2008
356	1	1	271	87	2008
357	1	2	271	90	2007
358	1	1	238	94	2007
359	1	1	251	91	2007
360	1	2	260	0	2006
361	1	1	277	89	2009
362	1	2	251	89	2007
363	2	1	254	0	2005
364	2	2	270	0	0
365	1	0	249	91	2007
366	1	2	259	92	2009
367	1	1	268	87	2007
368	1	2	238	92	2007
369	1	2	283	86	2007
370	1	2	272	89	2009
371	1	0	0	0	0
372	2	0	0	0	0
373	1	1	238	89	2008
374	1	2	0	87	2009
375	1	1	0	90	2009
376	2	1	254	0	2005
377	1	2	0	91	2009
378	1	1	282	95	0
379	1	2	270	97	2006
380	1	1	249	94	2008
381	1	2	282	0	2007
382	2	0	0	0	2004
383	1	1	0	91	2008
384	1	1	276	94	2007
385	1	2	236	97	2006
386	2	0	0	0	2005
387	1	1	251	88	2007
388	2	1	240	96	2005
389	1	2	246	94	2007
390	1	2	0	88	2008
391	1	1	236	88	2007
392	1	2	276	94	2008
393	2	2	275	0	2005
394	1	1	241	91	2008
395	1	2	249	97	2005
396	1	2	277	90	2008
397	1	2	253	94	2009
398	1	1	0	87	2009
399	1	2	254	96	2006
400	1	1	260	97	2006
401	1	1	249	95	2008
402	1	0	0	0	0
403	1	1	276	96	2006
404	1	1	255	94	2009
405	1	1	272	0	2006
406	1	1	238	90	2007
407	2	1	238	0	2005
408	1	1	256	90	2007
409	1	1	251	92	2008
410	2	1	281	87	2004
411	1	1	0	87	2009
412	1	2	260	89	2008
413	1	1	251	90	2008
414	1	1	275	97	2005
415	2	1	237	0	2005
416	1	1	272	97	2005
417	1	2	240	91	2009
418	2	2	248	0	2004
419	1	2	243	96	2006
420	2	2	236	88	2003
421	1	1	261	0	2006
422	1	1	248	91	2008
423	1	0	0	0	0
424	1	0	0	90	0
425	2	1	238	98	2005
426	3	0	281	96	2007
427	1	2	251	0	2007
428	1	1	259	96	2006
429	1	2	249	92	2007
430	1	2	0	92	2009
431	2	1	0	0	0
432	1	2	276	87	2008
433	1	1	241	90	2009
434	1	2	260	90	0
435	1	1	276	96	2006
436	1	1	0	90	2008
437	4	1	272	97	2006
438	1	1	271	88	2008
439	2	1	265	86	2004
440	1	1	0	0	2009
441	2	2	0	94	2004
442	2	1	254	0	2005
443	1	2	0	86	2009
444	1	1	238	94	2006
445	1	2	254	91	2008
446	1	1	249	86	2007
447	1	2	255	96	2006
448	1	2	0	91	2007
449	1	2	244	94	2008
450	2	1	254	0	2005
451	1	1	251	91	2008
452	1	2	0	86	2008
453	1	2	249	94	2007
454	2	0	0	0	2004
455	1	1	241	0	2008
456	1	2	0	86	2008
457	2	2	249	87	2005
458	2	1	271	86	2005
459	1	1	254	96	2006
460	2	1	267	0	2004
461	1	1	241	96	0
462	1	2	240	88	2009
463	2	2	281	0	2005
464	1	2	271	90	2008
465	1	1	276	96	2005
466	1	1	276	92	2008
467	1	1	260	95	2007
468	1	2	254	94	2007
469	1	1	276	89	2009
470	1	1	275	97	2006
471	1	2	251	92	2007
472	1	0	275	97	2006
473	1	2	276	89	2008
474	2	1	276	97	2005
475	1	2	257	94	2009
476	1	1	263	89	2009
477	2	2	248	0	2005
478	1	1	254	88	2008
479	1	2	276	89	2007
480	1	2	0	87	2009
481	1	1	0	94	2009
482	1	1	270	0	2009
483	1	1	276	97	2006
484	1	1	244	86	2008
485	1	2	276	94	2007
486	2	1	255	0	2005
487	1	1	0	94	2008
488	1	1	0	86	2009
489	2	1	248	94	2005
490	1	1	254	89	2009
491	1	0	275	88	2007
492	1	0	0	0	0
493	1	1	276	92	2009
494	2	2	246	88	2003
495	1	2	272	0	2006
496	1	1	249	96	2006
497	1	1	237	96	2006
498	1	1	0	88	2007
499	1	2	249	96	2006
500	1	1	260	96	2006
501	1	1	274	94	2007
502	2	1	276	0	2004
503	2	2	277	0	2004
504	1	0	260	0	2007
505	1	1	0	86	2008
506	1	1	251	94	2007
507	1	2	277	88	2007
508	1	1	241	89	2008
509	1	1	249	95	2008
510	1	2	279	94	2007
511	2	1	270	0	2004
512	2	2	276	0	2005
513	1	2	242	96	2006
