id	status	gender	major	dorm	year
1	1	1	264	0	2007
2	1	1	238	95	2009
3	1	2	0	0	2009
4	1	1	264	103	2007
5	1	2	323	91	2008
6	1	0	0	0	2004
7	1	2	286	0	2005
8	1	2	0	0	2008
9	1	2	270	0	2007
10	1	1	299	107	2008
11	1	2	288	0	2006
12	1	0	300	0	2007
13	1	2	280	91	2004
14	2	2	260	0	0
15	1	0	0	0	2008
16	1	0	318	89	2007
17	1	2	264	95	2009
18	2	2	287	0	2005
19	1	1	0	90	2009
20	1	1	297	0	0
21	1	1	0	0	0
22	1	2	304	108	2008
23	1	0	0	0	0
24	1	2	294	0	2008
25	1	2	315	0	2008
26	1	1	277	0	2006
27	1	1	277	0	2009
28	1	1	248	124	2006
29	1	2	238	95	2008
30	2	1	248	124	2004
31	1	0	258	0	0
32	1	1	317	98	2008
33	1	1	248	0	2007
34	1	1	296	88	2004
35	1	2	254	0	0
36	1	2	288	91	2009
37	1	1	292	114	2008
38	1	1	277	91	2009
39	1	1	248	95	2009
40	1	2	277	0	2007
41	1	2	308	95	2009
42	1	1	264	0	2005
43	1	2	309	109	2008
44	1	1	330	0	0
45	1	1	296	88	2009
46	1	2	251	90	2009
47	1	1	244	0	2006
48	1	1	274	0	0
49	1	2	256	91	2009
50	2	2	0	0	2005
51	1	1	296	0	2006
52	1	1	302	126	2008
53	1	1	264	0	2006
54	1	2	318	0	2007
55	1	1	264	94	2008
56	1	1	264	95	0
57	2	1	248	0	2005
58	1	2	288	107	2008
59	1	2	305	87	2009
60	2	2	0	0	2004
61	1	2	0	0	2009
62	1	1	308	95	2008
63	1	1	0	91	2009
64	1	2	287	0	2006
65	1	1	318	0	2007
66	1	1	238	0	2006
67	1	1	261	0	2009
68	4	0	0	0	0
69	1	2	288	88	2009
70	1	1	308	0	2007
71	1	1	267	114	2009
72	1	1	308	0	2006
73	1	1	262	0	2007
74	1	0	0	0	0
75	1	1	0	107	2008
76	1	0	318	0	2006
77	1	1	243	94	2008
78	1	1	330	0	2006
79	1	1	243	107	2008
80	1	2	265	86	2008
81	1	2	318	113	2007
82	1	1	0	91	0
83	5	2	308	0	0
84	1	2	248	119	2006
85	1	1	319	91	2006
86	1	1	253	0	2006
87	1	2	260	94	2009
88	1	2	249	0	2008
89	1	1	248	91	2009
90	1	1	296	113	2007
91	1	1	315	90	2008
92	1	1	264	103	2007
93	1	1	0	0	0
94	1	0	0	0	0
95	1	1	296	92	2008
96	1	1	0	0	0
97	1	1	264	111	2007
98	1	1	288	0	2005
99	2	2	285	0	2005
100	1	1	262	90	2009
101	1	2	243	0	2006
102	1	1	259	0	0
103	1	2	265	0	2006
104	0	0	0	0	0
105	1	2	248	90	2009
106	1	0	308	103	2007
107	1	1	0	93	2009
108	2	1	262	0	2005
109	1	1	281	91	2009
110	1	2	256	0	0
111	1	1	240	0	0
112	1	1	329	0	2005
113	1	2	254	95	2006
114	1	1	264	92	2008
115	1	1	259	94	2008
116	1	1	329	0	2007
117	1	2	302	0	0
118	1	2	295	0	2007
119	1	0	0	0	0
120	1	2	308	0	2005
121	1	2	271	0	2006
122	1	2	298	0	2008
123	1	2	308	109	2007
124	1	1	287	126	2008
125	1	2	300	94	2008
126	1	1	0	0	0
127	1	1	252	95	2007
128	1	1	238	114	2007
129	1	1	0	90	2009
130	1	1	330	0	2007
131	1	1	0	95	2009
132	1	0	318	0	0
133	1	1	244	111	2006
134	1	1	308	0	2007
135	1	1	0	0	0
136	1	2	251	113	2007
137	1	1	296	0	2007
138	1	2	264	0	2006
139	1	1	0	114	0
140	1	2	0	104	2009
141	1	1	287	0	2008
142	1	2	264	117	2005
143	1	2	266	102	2009
144	1	1	323	114	2008
145	1	2	0	0	2006
146	1	1	0	0	0
147	1	2	0	90	2009
148	1	2	248	87	2005
149	1	1	0	91	2009
150	2	2	0	0	2005
151	1	1	278	0	0
152	2	1	293	0	2005
153	1	2	290	88	2009
154	2	1	245	0	2005
155	1	2	254	110	2007
156	1	0	302	0	2006
157	1	2	264	108	2009
158	1	1	251	0	2006
159	1	1	238	0	2006
160	1	0	0	0	0
161	1	2	302	90	2009
162	1	0	0	0	2005
163	1	1	0	0	2007
164	1	2	264	0	0
165	1	2	305	112	2009
166	1	1	277	91	2009
167	1	2	318	114	2007
168	1	1	262	92	2008
169	1	2	0	0	0
170	1	2	251	115	2007
171	1	0	248	126	2007
172	1	1	262	0	2009
173	1	2	243	111	2007
174	1	2	0	113	2008
175	1	1	277	125	2006
176	1	1	254	0	2007
177	1	2	260	91	2009
178	1	0	308	107	2008
179	1	1	318	0	2006
180	1	1	308	0	2006
181	1	1	302	109	2008
182	1	1	305	0	2008
183	1	0	245	0	2006
184	2	1	238	124	2005
185	1	1	248	0	2007
186	1	1	245	90	0
187	1	2	270	0	2006
188	1	1	0	91	2008
189	1	1	302	86	2008
190	1	2	302	92	2009
191	1	1	302	0	2007
192	1	2	315	129	2007
193	1	1	308	0	2005
194	1	2	306	90	2009
195	1	1	267	90	2009
196	1	1	330	110	2008
197	1	1	264	87	2009
198	1	1	303	0	2007
199	1	2	0	0	0
200	1	1	267	0	2006
201	1	2	292	103	2008
202	1	2	298	0	0
203	1	2	288	0	2007
204	1	2	235	110	2008
205	1	2	241	0	2006
206	1	1	264	102	2008
207	1	2	248	87	2009
208	1	1	296	104	2008
209	1	1	264	0	2006
210	1	1	322	0	2006
211	1	2	0	0	0
212	2	2	0	0	0
213	2	2	286	0	2004
214	1	2	248	111	2007
215	1	1	315	88	2009
216	1	2	308	111	2009
217	1	1	290	0	2006
218	2	2	260	0	2005
219	1	1	0	0	0
220	1	1	236	0	2007
221	1	2	262	90	0
222	1	2	322	103	2008
223	1	2	248	99	2009
224	2	0	286	0	0
225	1	1	306	104	2007
226	1	2	238	0	2010
227	1	1	302	0	2006
228	1	1	296	0	2007
229	1	1	278	0	0
230	1	1	296	0	0
231	1	1	277	102	2008
232	1	2	0	94	2008
233	1	1	0	0	0
234	1	2	304	0	2007
235	1	2	238	105	2008
236	2	1	0	0	2004
237	1	1	267	0	2006
238	1	1	296	0	2007
239	1	1	0	105	2008
240	2	1	302	0	0
241	1	1	262	0	2006
242	1	2	245	87	2008
243	1	1	0	91	2008
244	1	1	248	111	2007
245	1	1	245	0	2006
246	1	2	248	0	2008
247	1	1	302	0	2006
248	1	1	0	0	2009
249	1	1	0	91	2009
250	1	2	308	114	2007
251	1	2	288	91	2009
252	1	2	308	103	2007
253	1	2	318	115	2006
254	1	2	0	90	2008
255	1	1	318	0	2005
256	1	2	308	91	2008
257	1	2	305	0	2009
258	1	2	0	0	2008
259	1	1	245	112	2009
260	1	1	248	128	2008
261	1	1	318	0	2007
262	1	1	238	0	2005
263	2	2	288	122	2005
264	1	2	304	105	2008
265	2	1	248	127	2004
266	1	2	275	111	2007
267	1	2	308	86	2009
268	1	2	266	112	2009
269	1	1	308	91	2009
270	1	1	0	95	2009
271	1	2	323	112	2006
272	1	0	296	0	0
273	1	1	250	112	2007
274	2	2	302	0	2005
275	1	1	264	91	0
276	1	0	262	0	2008
277	1	2	0	0	0
278	1	1	308	125	2007
279	2	1	259	95	2005
280	3	2	250	0	0
281	1	1	319	0	2007
282	1	2	257	0	2009
283	2	2	286	0	2005
284	2	1	302	0	2005
285	2	2	302	120	0
286	1	1	318	93	2008
287	1	0	0	124	0
288	1	2	316	114	2008
289	1	1	265	95	2008
290	3	2	250	0	0
291	2	1	302	0	2004
292	1	1	258	0	0
293	1	1	305	90	2007
294	1	2	0	0	2008
295	1	0	0	0	0
296	1	1	264	0	2008
297	1	1	238	0	2007
298	1	1	0	87	0
299	1	1	308	113	0
300	1	1	318	0	2007
301	1	1	245	89	2007
302	1	1	0	0	2008
303	1	2	283	0	0
304	1	2	245	90	2008
305	1	2	0	108	2007
306	1	1	270	0	2006
307	1	1	0	91	2008
308	2	2	270	0	2005
309	1	1	248	91	2009
310	1	0	0	93	2008
311	1	1	264	125	2007
312	1	1	295	91	2009
313	1	1	292	103	2008
314	1	2	270	117	2005
315	1	0	0	0	0
316	1	1	266	112	2009
317	1	0	296	0	2006
318	1	2	248	0	2008
319	1	0	266	104	2008
320	1	0	267	0	2008
321	1	0	0	0	0
322	1	1	262	90	2009
323	2	1	238	0	2005
324	1	0	0	105	0
325	1	1	259	0	2007
326	1	1	286	0	2006
327	1	1	0	92	2008
328	1	1	259	92	2009
329	1	2	267	88	2009
330	1	1	272	90	2009
331	1	1	308	0	2006
332	1	2	248	112	2009
333	2	1	267	128	2005
334	1	1	267	0	2007
335	1	1	245	0	2008
336	1	2	305	103	2009
337	1	2	248	121	0
338	1	2	248	107	0
339	1	2	238	103	2008
340	2	2	0	0	2004
341	1	2	292	0	2007
342	1	1	299	0	2007
343	1	2	248	91	2009
344	1	2	0	103	2009
345	1	1	259	91	2009
346	1	1	245	112	2008
347	1	2	305	0	2007
348	1	2	238	91	2009
349	1	2	261	0	2005
350	1	1	277	0	2006
351	1	1	308	97	2009
352	1	1	260	0	2006
353	2	1	281	0	2005
354	1	1	0	91	2008
355	1	2	285	0	2005
356	2	1	0	0	2005
357	2	2	302	0	2004
358	1	1	293	111	2008
359	1	1	259	103	2008
360	1	1	0	87	2009
361	1	1	260	0	2007
362	1	1	309	91	2009
363	2	1	238	0	2003
364	1	1	0	0	2006
365	1	1	0	88	2009
366	1	0	0	0	0
367	1	1	286	102	2008
368	1	1	319	0	2007
369	1	2	264	0	2009
370	2	1	305	0	2005
371	1	2	325	0	2006
372	2	2	270	0	1973
373	2	2	302	0	2005
374	1	1	308	100	2009
375	1	2	264	103	2008
376	1	2	288	93	2008
377	1	1	264	0	2006
378	1	1	0	91	2009
379	1	1	248	0	2005
380	1	1	308	109	2009
381	1	2	248	116	2008
382	1	2	308	86	2009
383	1	0	0	0	0
384	1	1	245	91	2009
385	1	0	0	113	2008
386	2	1	287	0	2005
387	1	1	0	105	2008
388	1	1	245	102	2009
389	2	2	0	0	2004
390	1	1	267	0	2009
391	1	0	248	0	0
392	1	1	308	107	2008
393	1	1	0	0	0
394	1	1	310	0	2006
395	1	1	248	107	2008
396	1	1	248	86	2009
397	1	2	256	0	2008
398	2	1	238	0	2005
399	1	2	0	102	2009
400	1	1	260	110	2008
401	1	1	242	0	2006
402	1	2	266	0	2010
403	1	0	0	0	0
404	1	1	291	0	2007
405	1	1	253	95	2008
406	1	2	318	0	2006
407	1	1	244	95	2009
408	1	1	0	104	2008
409	1	1	308	0	2007
410	1	1	287	0	2006
411	1	1	253	0	2006
412	5	2	248	0	2007
413	1	1	322	0	2006
414	5	0	0	0	0
415	1	2	277	89	2006
416	1	1	0	103	2008
417	1	2	256	89	2007
418	1	2	277	107	2007
419	1	1	236	89	2006
420	1	2	298	86	2009
421	1	2	260	95	2009
422	1	2	308	0	2007
423	1	0	0	0	0
424	1	1	262	103	0
425	1	2	295	109	2007
426	1	1	329	0	2007
427	1	2	302	88	2009
428	1	1	302	112	2009
429	1	2	245	95	2009
430	1	2	293	108	2008
431	1	1	296	108	2007
432	1	2	0	0	2009
433	1	1	260	95	2009
434	1	2	0	89	2008
435	1	2	0	0	0
436	1	1	296	0	2007
437	1	2	266	107	2008
438	1	1	238	95	2004
439	1	1	330	106	2008
440	1	1	308	0	2007
441	1	2	248	0	2008
442	1	1	315	89	0
443	1	1	308	103	2007
444	1	1	240	128	2008
445	2	1	296	0	2005
446	1	1	296	93	2008
447	1	2	264	118	2006
448	1	1	264	95	2007
449	1	1	330	0	2005
450	1	1	264	0	2006
451	2	2	270	0	2004
452	1	2	288	94	2009
453	1	2	302	118	2006
454	1	2	248	102	2009
455	1	1	325	94	2007
456	1	1	298	0	2007
457	1	1	0	0	2006
458	1	0	0	0	0
459	1	1	245	112	2007
460	1	1	267	86	2009
461	1	1	262	0	2009
462	1	2	264	0	2006
463	1	1	262	107	2007
464	1	2	248	90	2009
465	2	1	308	0	2005
466	2	1	245	0	2005
467	1	1	238	0	2007
