id	status	gender	major	dorm	year
1	1	1	265	88	2009
2	1	1	253	0	2006
3	1	1	247	103	2008
4	1	1	294	0	2006
5	2	1	294	0	2004
6	1	2	290	103	2008
7	1	1	242	131	2007
8	1	2	277	110	2006
9	1	1	303	0	2007
10	1	1	235	95	2007
11	1	1	309	0	2005
12	1	1	315	125	2008
13	1	2	297	0	2007
14	2	2	294	0	2005
15	2	1	266	0	2004
16	1	2	270	106	2007
17	1	2	290	92	2008
18	2	2	255	0	2005
19	1	2	270	122	2006
20	1	1	266	116	2007
21	2	1	309	0	2005
22	1	1	292	86	2009
23	2	2	293	0	2003
24	1	1	242	93	2007
25	1	2	243	94	2008
26	1	2	264	88	2009
27	1	1	292	86	2009
28	1	2	0	90	2008
29	1	2	278	94	2008
30	1	1	0	93	2008
31	1	2	0	99	2008
32	1	1	235	108	2006
33	1	2	249	88	2009
34	1	1	0	86	2009
35	5	1	288	0	2007
36	1	1	309	96	2008
37	1	2	0	103	2008
38	1	2	255	0	0
39	1	2	290	88	2009
40	1	2	308	103	2006
41	2	1	294	0	2005
42	1	2	294	94	2008
43	1	1	0	91	2008
44	1	1	253	86	2009
45	1	1	303	108	2007
46	1	2	262	0	2007
47	1	2	0	0	2008
48	1	2	0	86	2009
49	1	2	293	0	2005
50	1	0	0	0	0
51	1	0	262	0	2007
52	1	0	308	0	2007
53	1	1	242	0	2006
54	5	1	288	0	2007
55	1	2	313	93	2008
56	1	1	309	0	2006
57	1	2	0	94	2008
58	5	1	270	0	2004
59	1	1	270	89	2009
60	1	1	280	94	2008
61	1	2	270	107	2007
62	1	2	253	111	2007
63	1	0	0	0	0
64	2	1	298	0	2005
65	2	2	293	0	2005
66	1	2	270	86	2009
67	1	1	288	0	2007
68	1	1	294	93	2008
69	1	1	303	127	2006
70	1	2	249	94	2007
71	1	1	290	94	2008
72	2	1	262	114	2004
73	2	0	294	0	2005
74	1	2	0	94	2008
75	1	2	297	0	2006
76	1	1	242	94	2008
77	1	1	0	99	2009
78	2	2	235	0	2005
79	1	2	292	94	2008
80	1	2	242	86	2009
81	1	2	265	86	2009
82	1	2	258	128	0
83	1	1	303	0	2006
84	1	1	290	86	2009
85	1	1	253	93	2008
86	1	2	270	0	2007
87	1	1	263	107	2007
88	1	2	265	90	2008
89	1	0	0	94	2008
90	1	1	262	94	2007
91	1	2	255	86	2008
92	2	2	297	0	2005
93	1	1	263	131	2008
94	1	1	294	123	2006
95	1	2	292	0	2006
96	1	2	258	0	2006
97	1	1	242	89	2009
98	1	2	298	93	2008
99	1	2	298	99	2008
100	1	1	309	94	2008
101	1	2	297	86	2008
102	1	2	298	103	2007
103	1	2	249	0	2005
104	1	2	235	118	2006
105	1	2	264	0	2006
106	1	1	242	109	2006
107	1	2	246	86	2009
108	1	2	255	93	2008
109	1	2	270	94	2008
110	1	2	270	0	2006
111	1	1	253	127	2007
112	5	1	266	0	2004
113	1	1	280	105	2007
114	2	2	264	0	2005
115	1	1	0	0	2008
116	1	2	249	108	2007
117	1	1	294	129	2007
118	1	1	309	0	2006
119	1	1	309	104	2007
120	5	1	263	0	2004
121	1	0	0	93	2008
122	1	2	277	0	2006
123	1	1	294	129	2006
124	2	2	270	0	2005
125	1	0	0	0	0
126	1	1	277	0	0
127	1	0	0	0	0
128	1	1	309	86	2008
129	1	1	294	94	2007
130	1	1	297	127	2006
131	1	0	0	0	0
132	1	0	277	0	2008
133	1	1	242	96	2008
134	2	2	0	0	0
135	2	1	253	0	2005
136	5	2	288	0	2006
137	2	1	303	0	2005
138	1	0	0	0	0
139	1	2	298	96	2008
140	1	1	290	101	2009
141	1	2	249	93	2008
142	2	2	298	115	2002
143	2	1	242	0	0
144	1	1	292	94	2007
145	1	2	294	0	2007
146	1	0	0	0	0
147	2	2	235	0	2003
148	1	2	235	94	2008
149	1	1	294	93	2007
150	1	0	0	0	0
151	2	1	294	87	0
152	1	2	249	91	2008
153	2	2	308	0	2002
154	1	1	297	91	2008
155	1	0	0	0	0
156	2	1	308	113	2001
157	2	1	239	0	2005
158	1	1	328	0	2006
159	1	1	253	0	2005
160	2	0	0	0	0
161	1	2	282	96	2007
162	1	2	0	0	2006
163	2	0	0	0	0
164	1	2	253	86	2009
165	1	2	262	86	2009
166	2	1	0	0	0
167	2	2	270	0	2004
168	1	1	253	116	2006
169	5	2	255	0	2005
170	1	2	249	106	2007
171	1	2	255	86	2009
172	1	1	253	86	2009
173	2	1	294	113	0
174	2	2	265	0	2004
175	1	1	294	0	2006
176	1	2	264	0	2007
177	1	2	270	0	2008
178	1	0	0	0	0
179	1	2	249	0	2007
180	1	2	266	0	2007
181	1	2	0	94	2008
182	1	1	0	99	2008
183	1	1	290	87	2009
184	1	0	0	0	0
185	1	0	264	0	2007
186	1	1	308	0	2006
187	1	2	246	90	2009
188	1	1	0	123	2008
189	1	1	292	107	2007
190	1	1	270	125	2006
191	1	1	253	0	2008
192	1	2	264	97	2008
193	1	1	309	103	2008
194	2	1	235	0	2005
195	1	1	292	93	2008
196	1	2	270	94	2008
197	1	1	253	94	2007
198	1	1	290	93	2008
199	2	2	314	0	2005
200	1	1	253	123	2006
201	1	2	326	108	2007
202	5	1	298	0	2005
203	1	2	294	86	2009
204	1	2	270	0	2006
205	1	2	270	93	2008
206	1	2	265	0	2007
207	1	0	0	0	0
208	1	2	249	107	2007
209	2	2	0	0	2004
210	1	2	255	105	2007
211	1	2	0	86	2008
212	2	2	270	0	2005
213	5	2	264	0	2005
214	1	0	0	95	2008
215	2	1	246	0	2005
216	1	2	308	91	2008
217	1	2	270	120	2007
218	1	1	263	119	2007
219	2	2	0	0	2005
220	1	2	255	109	2007
221	1	1	303	96	2008
222	1	1	303	111	2007
223	1	2	285	0	0
224	2	1	253	0	2003
225	2	2	264	130	2005
226	1	1	303	94	2008
227	1	1	262	93	2008
228	1	2	290	122	2008
229	1	2	0	0	0
230	1	2	0	0	2007
231	2	1	297	0	2005
232	2	2	0	0	2004
233	1	1	309	91	2004
234	1	1	294	108	2007
235	2	0	0	0	0
236	1	1	303	106	2007
237	2	2	235	0	2004
238	1	1	297	87	2009
239	1	2	249	0	2006
240	2	1	246	0	2004
241	1	2	265	86	2009
242	1	1	246	104	2006
243	1	1	303	100	2009
244	1	2	265	98	2007
245	1	2	270	93	2008
246	1	1	303	121	2008
247	1	0	249	93	0
248	1	2	235	0	2006
249	2	2	270	0	2005
250	1	1	294	99	2009
251	2	1	292	0	2005
252	1	1	0	86	2008
253	2	2	255	0	2005
254	1	2	246	0	2006
255	1	2	270	86	2009
256	1	1	294	87	2009
257	1	2	253	0	2004
258	5	2	247	0	2006
259	1	1	270	91	2009
260	1	1	0	108	0
261	1	1	303	105	2005
262	1	2	0	86	2009
263	2	1	303	0	2005
264	2	1	270	0	2005
265	2	1	303	0	2004
266	1	0	253	0	2005
267	1	1	329	87	2009
268	1	2	265	86	2009
269	1	2	307	123	0
270	1	2	294	0	2005
271	1	1	253	97	2008
272	1	2	247	103	2008
273	1	2	235	0	2007
274	1	2	277	0	2006
275	1	1	308	121	2007
276	1	0	0	108	0
277	1	1	242	106	2006
278	1	2	249	0	2006
279	1	0	242	0	2008
280	1	0	298	121	2006
281	2	1	314	127	2005
282	1	2	235	96	2008
283	1	1	327	0	2008
284	1	2	298	94	2008
285	1	1	242	111	2007
286	1	2	308	95	2008
287	1	1	314	116	2007
288	1	1	235	0	2006
289	2	1	265	0	2005
290	2	1	242	0	2004
291	1	2	270	0	2006
292	2	1	294	123	2005
293	1	1	314	109	2007
294	1	2	326	94	2008
295	1	2	266	95	2007
296	1	2	277	104	2008
297	1	2	297	110	2007
298	2	2	0	0	2004
299	1	2	294	112	2007
300	1	1	294	0	2006
301	1	1	242	88	2009
302	1	2	235	91	2008
303	1	0	0	0	0
304	1	2	298	0	2006
305	2	0	242	0	2004
306	1	2	0	93	2008
307	1	2	254	88	2009
308	1	1	242	94	2008
309	1	1	270	121	2007
310	1	1	253	125	2005
311	1	2	266	88	2009
312	1	1	0	0	0
313	1	1	294	109	2006
314	1	2	308	109	2007
315	1	2	242	0	2007
316	1	2	235	91	2008
317	1	2	235	90	2009
318	1	2	327	86	2008
319	2	0	0	0	0
320	1	0	0	0	0
321	1	1	246	99	2009
322	1	1	266	87	2009
323	1	1	242	91	2008
324	1	1	253	0	2006
325	1	1	235	86	2009
326	1	2	0	95	2008
327	2	1	309	0	2005
328	1	1	0	86	2009
329	2	1	253	0	2005
330	1	2	249	88	2008
331	1	1	247	86	2009
332	1	1	308	105	2007
333	1	2	265	87	2008
334	1	1	297	86	2009
335	1	1	303	105	2008
336	5	2	308	0	2006
337	1	2	292	0	2006
338	1	1	235	0	2006
339	5	1	253	88	0
340	1	2	294	0	2005
341	1	1	242	88	2009
342	2	0	0	0	0
343	1	1	242	0	2007
344	1	1	290	89	2009
345	1	1	308	93	2008
346	1	1	266	94	2007
347	1	2	0	111	2007
348	1	2	0	0	2009
349	1	2	265	93	2008
350	1	1	0	93	2008
351	1	2	281	88	2009
352	2	1	262	0	2004
353	1	1	309	88	2009
354	2	1	242	0	2004
355	1	2	266	122	2007
356	1	1	309	0	2005
357	1	2	253	91	2006
358	1	1	0	0	2008
359	1	1	309	89	2009
360	2	2	309	0	2005
361	1	1	258	94	0
362	1	1	262	86	2009
363	1	1	270	107	2007
364	1	2	0	0	0
365	1	2	308	104	2007
366	1	1	253	123	2006
367	1	2	265	87	2008
368	2	0	262	0	2005
369	1	2	296	94	2008
370	1	1	0	92	2009
371	1	1	246	98	2008
372	1	2	235	91	2008
373	1	1	270	129	2008
374	1	2	292	87	2009
375	1	1	247	91	2009
376	1	2	270	0	2007
377	2	2	253	99	2004
378	2	2	246	0	2004
379	1	0	0	0	2006
380	1	1	254	0	2007
381	1	1	0	0	0
382	1	1	314	119	2007
383	1	2	235	94	2008
384	2	1	329	0	2005
385	1	2	294	90	2006
386	2	1	292	131	2004
387	1	2	266	0	2005
388	5	2	298	0	0
389	1	1	303	123	2007
390	1	0	235	0	2006
391	1	2	265	0	2007
392	1	1	270	103	2008
393	1	2	270	0	2006
394	5	0	0	0	0
395	1	1	290	94	2008
396	2	2	270	115	2005
397	2	2	270	122	2005
398	1	2	270	0	2006
399	1	0	0	0	0
400	1	2	0	99	2009
401	1	2	294	0	2007
402	2	1	253	131	2004
403	1	2	308	90	2009
404	1	1	0	91	2008
