id	status	gender	major	dorm	year
1	1	1	252	87	0
2	1	1	297	87	2009
3	1	2	246	107	2009
4	1	2	262	112	2009
5	1	1	249	158	2007
6	1	0	0	0	2005
7	1	2	250	112	2008
8	2	1	242	0	2005
9	1	1	244	95	2008
10	1	1	252	87	2009
11	2	0	0	0	0
12	1	1	292	136	2006
13	1	2	269	141	2008
14	1	2	246	136	0
15	5	1	251	0	2005
16	1	1	292	136	2006
17	1	2	280	149	2008
18	1	1	278	90	2009
19	1	2	251	149	2007
20	1	1	235	0	2006
21	2	1	259	0	2004
22	1	2	301	0	0
23	1	2	235	136	2007
24	1	2	247	87	2008
25	2	1	252	0	0
26	1	2	288	88	2005
27	1	2	256	143	2007
28	1	2	258	145	0
29	1	2	247	148	2007
30	1	1	0	134	0
31	1	2	269	128	2006
32	1	1	284	0	0
33	1	2	301	98	2009
34	1	2	284	107	2010
35	1	1	273	134	2006
36	1	2	284	95	2009
37	1	1	298	98	0
38	1	2	291	0	2005
39	1	1	292	0	2006
40	1	2	0	134	2006
41	1	2	284	107	0
42	1	2	284	149	2008
43	1	2	246	94	2009
44	1	2	284	152	2006
45	1	0	0	0	0
46	1	2	246	134	2007
47	1	1	278	141	2007
48	1	2	0	107	2009
49	1	0	252	0	2008
50	2	2	250	0	2004
51	1	1	279	134	2008
52	1	2	236	86	2009
53	1	1	240	95	2009
54	1	1	284	0	2007
55	1	2	292	0	2007
56	1	2	284	155	2008
57	1	1	281	141	2007
58	1	1	235	98	2009
59	2	2	251	0	2004
60	1	1	269	146	2008
61	1	0	280	116	2006
62	1	2	251	0	2006
63	1	2	284	0	2008
64	1	1	0	101	2009
65	1	1	278	108	2007
66	1	2	0	100	2008
67	1	1	246	136	2008
68	1	1	272	149	2006
69	1	2	0	0	2008
70	1	0	0	0	0
71	1	2	250	86	2008
72	2	1	274	0	2003
73	1	1	292	152	2007
74	2	2	302	0	2004
75	2	2	283	0	2004
76	1	2	255	134	2006
77	1	1	271	141	2007
78	1	2	253	148	2006
79	2	1	0	0	2004
80	1	2	262	0	2008
81	2	2	253	0	2005
82	1	1	272	136	2007
83	1	0	0	115	0
84	1	1	278	95	2008
85	1	2	0	0	2006
86	1	1	292	0	2008
87	2	0	281	0	2005
88	1	1	292	101	2008
89	1	1	291	93	2007
90	1	1	280	0	2007
91	1	2	0	0	2007
92	1	2	286	0	0
93	1	2	246	98	2009
94	2	1	302	0	2005
95	1	2	0	107	2009
96	1	2	280	0	2007
97	1	1	292	0	2007
98	1	2	247	0	2007
99	1	1	246	134	2008
100	1	2	248	136	2008
101	1	2	258	0	2007
102	1	1	283	87	2009
103	1	2	243	167	2008
104	1	2	236	0	2009
105	1	2	255	141	2007
106	1	2	248	134	2008
107	1	1	260	0	2008
108	1	1	246	109	2009
109	1	2	246	136	2007
110	1	2	248	136	2005
111	1	2	280	0	2006
112	1	1	0	87	2009
113	5	2	257	0	0
114	1	2	284	0	2007
115	1	1	272	0	2008
116	1	2	239	134	2006
117	1	2	280	0	2005
118	1	2	292	149	2008
119	1	1	252	134	0
120	1	1	246	0	0
121	1	2	251	141	2006
122	1	2	251	0	2008
123	1	2	302	99	2008
124	1	1	292	0	2007
125	1	2	249	106	2008
126	1	1	258	93	2009
127	1	2	250	104	2008
128	1	1	259	136	2007
129	1	1	280	97	2009
130	5	2	244	0	0
131	1	1	272	134	2008
132	1	2	302	0	2007
133	1	1	242	98	2009
134	1	1	273	109	2008
135	2	2	301	0	2003
136	1	1	277	87	2008
137	2	2	281	0	2004
138	1	2	242	0	2005
139	1	2	269	112	2009
140	1	1	259	0	2007
141	1	1	244	0	2005
142	2	1	292	0	2005
143	1	2	301	0	2007
144	1	1	283	148	2005
145	1	2	273	155	2007
146	1	2	248	103	2009
147	1	1	271	134	2008
148	1	2	301	0	2007
149	2	2	262	155	2005
150	1	2	302	86	2008
151	1	2	292	0	2009
152	2	2	248	0	2004
153	1	0	0	0	0
154	1	1	273	0	2006
155	1	1	0	0	2007
156	1	2	284	0	2006
157	2	1	273	0	2004
158	2	0	0	0	0
159	2	1	244	0	2005
160	1	1	0	103	2009
161	1	1	0	116	2007
162	1	1	287	108	2008
163	1	1	250	86	2009
164	2	2	252	0	2005
165	1	1	246	102	2008
166	2	1	0	0	0
167	1	2	284	87	2008
168	1	1	247	176	2008
169	1	1	292	176	2007
170	1	1	291	89	2007
171	1	2	247	134	0
172	2	2	284	149	2005
173	1	2	251	101	2009
174	1	0	288	141	2008
175	2	2	269	89	2005
176	1	2	0	110	0
177	5	1	246	0	2007
178	2	2	251	0	2004
179	1	2	262	149	2008
180	1	1	242	104	2009
181	1	1	291	101	0
182	2	2	0	0	2004
183	1	2	258	0	2009
184	1	1	252	0	2005
185	1	1	242	136	2007
186	1	2	301	96	2009
187	1	1	283	0	2005
188	1	0	235	136	2007
189	1	2	302	0	0
190	1	2	275	0	0
191	1	2	286	86	0
192	1	1	292	93	2008
193	1	2	276	143	2005
194	1	2	284	136	2006
195	1	1	246	98	2009
196	1	2	274	141	2007
197	1	1	284	176	2007
198	1	2	0	134	2008
199	1	1	291	0	0
200	1	1	259	90	2006
201	5	2	285	0	0
202	1	1	292	0	2006
203	1	1	286	87	2008
204	1	1	273	141	2008
205	1	2	235	107	2009
206	1	2	283	145	2007
207	1	2	278	106	2009
208	2	1	0	0	0
209	1	1	246	0	2008
210	1	2	291	112	2008
211	1	0	284	102	2008
212	1	2	301	96	2008
213	1	2	236	149	2006
214	1	1	272	105	2009
215	1	2	281	105	2008
216	1	2	284	0	2007
217	1	2	248	134	2007
218	5	1	235	0	2005
219	2	1	0	0	2005
220	1	2	275	0	2008
221	1	2	284	137	2007
222	2	2	269	134	2005
223	1	0	0	0	0
224	1	1	275	0	0
225	5	1	235	0	0
226	2	0	0	0	0
227	2	2	296	155	2005
228	1	1	259	158	2005
229	1	1	278	98	2009
230	2	2	235	0	2003
231	1	2	0	143	2007
232	1	1	246	0	2006
233	2	2	242	0	2000
234	1	1	297	0	2006
235	1	1	252	103	2008
236	2	2	239	134	2005
237	1	2	0	106	2009
238	1	1	240	0	0
239	1	1	251	110	2008
240	1	2	0	176	2008
241	1	0	248	104	0
242	1	2	280	152	2006
243	1	0	0	0	0
244	1	2	251	94	2008
245	1	2	0	89	2008
246	1	2	0	106	2009
247	2	1	252	0	2005
248	1	1	0	145	2008
249	1	0	0	0	0
250	1	1	262	0	0
251	1	2	284	88	2008
252	1	1	282	153	2007
253	1	2	291	0	2006
254	1	2	301	95	2006
255	1	2	0	0	0
256	1	2	281	101	2009
257	1	1	235	93	2008
258	1	1	0	87	2009
259	2	1	296	0	2005
260	1	2	290	0	2006
261	1	1	295	0	2006
262	2	1	294	0	2005
263	1	2	280	112	2009
264	2	2	253	0	2005
265	1	2	284	108	2008
266	5	2	262	0	0
267	1	1	262	98	2008
268	1	2	0	164	2006
269	1	0	0	0	0
270	2	1	262	123	2003
271	1	2	241	0	2008
272	1	2	271	168	2007
273	1	2	236	175	2008
274	1	1	273	145	2008
275	1	2	278	0	0
276	1	1	280	141	2008
277	1	2	247	103	2009
278	1	2	284	107	2009
279	1	2	276	0	2007
280	1	1	246	134	2008
281	1	1	241	105	2009
282	1	2	302	86	2009
283	2	2	284	0	2005
284	1	0	0	0	0
285	1	1	246	93	2008
286	2	1	243	146	2004
287	1	1	292	93	2009
288	1	0	299	114	0
289	1	2	294	0	2005
290	1	1	241	0	2007
291	2	2	0	0	2003
292	1	1	235	109	2009
293	5	2	253	91	2005
294	1	1	251	0	2006
295	1	2	253	106	2009
296	1	2	280	134	2005
297	1	2	240	112	2009
298	1	1	235	137	2007
299	1	1	246	87	2008
300	1	1	283	141	2007
301	1	2	256	108	2007
302	1	1	246	136	2007
303	5	1	272	0	0
304	1	1	273	149	2007
305	2	1	259	123	2005
306	1	1	246	116	2006
307	1	2	259	128	2007
308	1	1	281	0	2007
309	1	1	252	0	2006
310	1	1	281	129	2008
311	1	1	277	0	0
312	1	2	242	87	2008
313	1	1	281	87	2008
314	1	2	0	134	2008
315	1	2	242	107	2009
316	1	2	251	0	2008
317	1	2	274	0	2006
318	1	1	278	87	2008
319	1	0	0	0	0
320	1	1	243	113	2006
321	1	2	251	0	2008
322	1	2	251	107	2008
323	2	2	248	172	2003
324	1	2	250	0	2008
325	1	1	278	0	2006
326	1	2	259	156	2005
327	1	1	244	141	2007
328	1	1	273	0	2008
329	1	2	251	0	0
330	1	2	246	158	2008
331	2	2	248	114	2002
332	1	2	253	0	2005
333	2	1	280	0	2004
334	2	2	248	0	0
335	1	1	272	0	2006
336	2	2	259	0	2005
337	1	0	0	0	0
