id	status	gender	major	dorm	year
1	1	1	238	0	2007
2	1	1	288	88	2008
3	2	1	289	0	2005
4	1	2	277	87	2009
5	1	1	263	0	2006
6	1	1	270	109	2008
7	1	2	277	94	2008
8	1	1	0	94	2008
9	5	1	258	0	2008
10	1	2	289	86	2009
11	1	1	238	94	2007
12	2	2	249	0	0
13	1	2	283	105	2005
14	1	1	258	97	0
15	0	0	0	0	2006
16	1	2	289	90	2009
17	1	2	238	0	2006
18	2	0	251	0	0
19	1	2	277	127	2006
20	5	1	0	0	0
21	1	2	289	120	2006
22	1	2	289	90	2009
23	1	1	0	116	2008
24	1	1	250	108	2006
25	1	1	0	109	2008
26	2	2	291	108	2002
27	1	1	278	109	2008
28	1	2	251	0	2005
29	1	2	276	100	2006
30	1	2	260	109	2008
31	1	1	0	110	2008
32	1	1	284	0	2007
33	1	1	289	111	2005
34	2	1	238	113	2005
35	1	2	260	109	2007
36	2	2	283	0	2005
37	1	2	277	0	2007
38	1	2	0	0	0
39	1	2	277	0	2007
40	1	2	289	94	2008
41	1	1	260	0	2007
42	1	1	291	116	2007
43	3	2	242	0	0
44	1	2	291	0	2007
45	1	1	239	112	2007
46	1	1	258	0	2006
47	1	2	288	124	2008
48	5	2	0	0	2005
49	2	1	289	111	2005
50	1	1	238	89	2009
51	1	2	277	0	2007
52	1	2	237	0	2006
53	2	0	0	0	2005
54	5	2	0	0	0
55	1	1	238	114	2008
56	1	0	0	0	0
57	1	2	249	117	2007
58	2	1	250	0	2005
59	2	0	0	0	0
60	2	1	260	0	2004
61	2	1	279	0	2005
62	2	2	251	0	2004
63	1	1	241	100	2006
64	2	2	291	0	2005
65	2	1	289	0	2005
66	1	1	277	87	2009
67	1	2	260	124	0
68	1	2	241	100	2007
69	1	1	241	91	2008
70	1	0	249	123	2005
71	1	1	238	0	2006
72	1	2	277	89	2009
73	1	1	277	0	0
74	5	1	0	0	2005
75	1	2	290	94	2007
76	1	1	249	0	2006
77	1	0	0	0	0
78	1	2	277	95	2007
79	1	2	290	0	2007
80	1	1	249	0	2006
81	1	1	283	0	2006
82	1	0	237	0	2006
83	1	2	0	124	2007
84	1	1	291	0	2006
85	1	1	278	114	2007
86	2	1	278	111	2005
87	2	2	277	0	0
88	1	2	289	0	0
89	1	2	276	96	2007
90	1	2	277	0	2005
91	1	2	287	109	2007
92	2	2	260	0	2005
93	1	2	0	87	2009
94	2	1	277	97	2005
95	1	1	238	0	2008
96	1	1	249	0	2005
97	5	1	260	0	2006
98	1	1	239	88	2009
99	1	2	238	102	2007
100	1	1	279	94	2007
101	2	1	277	114	2005
102	1	1	237	88	2009
103	1	1	289	0	2007
104	1	1	289	91	2009
105	1	2	289	0	2006
106	1	2	0	88	2009
107	1	2	278	89	2009
108	1	2	0	109	2008
109	1	2	289	90	2008
110	2	1	289	0	2004
111	2	2	289	119	2004
112	1	2	289	109	2007
113	2	2	277	0	2003
114	1	1	238	88	2009
115	1	1	258	87	2009
116	1	0	289	112	2008
117	2	0	260	114	2003
118	1	1	0	90	2009
119	1	2	0	109	0
120	1	2	0	88	2009
121	1	1	241	97	2006
122	1	1	260	0	2006
123	2	2	251	124	2005
124	1	2	283	0	2006
125	2	1	236	0	0
126	2	2	263	118	2001
127	1	1	251	109	2008
128	2	1	241	111	0
129	1	1	241	111	2008
130	2	2	249	0	2005
131	1	2	239	92	2009
132	2	1	258	110	2005
133	5	2	0	0	2008
134	1	1	278	94	2007
135	1	2	0	108	2007
136	1	1	0	88	2008
137	1	1	278	0	2007
138	1	1	258	110	2006
139	1	1	291	100	2006
140	1	1	0	100	2008
141	1	1	284	110	2008
142	2	2	289	127	2003
143	2	1	278	0	2005
144	1	2	289	90	2009
145	2	1	0	0	2005
146	1	2	284	102	2007
147	1	1	241	103	2006
148	1	1	0	88	2009
149	1	2	277	86	2005
150	1	2	241	0	0
151	1	1	270	0	2006
152	1	1	241	108	2006
153	1	1	283	109	2008
154	1	2	275	109	2008
155	2	1	238	0	2005
156	1	1	268	0	2009
157	1	0	258	110	2006
158	2	2	241	0	2004
159	1	1	277	0	2005
160	1	2	290	97	2008
161	1	2	0	88	2009
162	1	1	0	0	2008
163	1	1	277	87	2009
164	1	2	0	108	0
165	1	2	289	86	2009
166	1	1	278	86	2009
167	1	1	258	110	2006
168	1	1	250	99	2006
169	1	2	289	100	2008
170	1	2	289	100	2007
171	1	2	242	0	2008
172	2	1	251	0	2005
173	2	1	251	0	2004
174	1	1	0	0	2008
175	1	2	291	122	2007
176	1	2	291	86	2009
177	2	0	260	0	0
178	1	0	0	0	0
179	1	1	260	0	2006
180	1	1	258	90	2009
181	1	1	286	89	2009
182	2	2	242	0	2004
183	1	2	249	0	2007
184	2	1	0	0	0
185	1	1	239	87	2009
186	1	2	241	0	2006
187	1	1	251	116	2008
188	1	1	238	89	2009
189	1	0	249	120	2007
190	2	2	284	0	2005
191	1	1	289	96	2008
192	1	2	238	93	2007
193	1	1	290	113	2006
194	1	2	0	94	2008
195	1	1	258	0	2006
196	1	1	279	0	2007
197	1	1	277	116	2006
198	1	2	288	0	2008
199	1	2	289	94	2008
200	5	1	0	0	2005
201	5	1	251	0	0
202	1	2	279	0	2007
203	1	2	288	0	0
204	1	2	277	90	2009
205	1	2	278	86	2008
206	1	0	238	0	2006
207	2	2	242	0	2004
208	5	0	290	0	2006
209	1	1	260	113	2006
210	1	1	277	116	2007
211	1	1	237	114	2007
212	1	2	283	108	2005
213	1	1	278	90	2009
214	2	1	239	0	2005
215	2	2	0	121	2004
216	1	2	278	89	2008
217	1	2	277	86	2009
218	1	2	0	88	0
219	2	1	238	0	0
220	1	2	241	0	2005
221	1	2	258	0	2006
222	1	2	0	87	2009
223	1	1	289	110	2007
224	1	1	278	116	2006
225	1	1	249	0	2004
226	1	1	0	88	2009
227	1	2	291	100	2007
228	1	0	0	109	2008
229	1	2	289	88	2009
230	1	1	0	0	0
231	1	0	278	0	2005
232	2	2	277	0	2004
233	1	1	0	116	2008
234	1	2	289	127	2006
235	2	2	277	0	2003
236	1	1	278	95	2006
237	1	1	239	115	2008
238	1	2	277	100	2008
239	1	2	0	86	2009
240	1	2	249	127	2007
241	1	1	0	90	2009
242	1	2	241	97	2007
243	1	2	289	0	2006
244	1	2	249	0	2006
245	2	1	289	0	2005
246	2	1	237	110	2005
247	1	1	289	111	2006
248	2	2	0	0	2004
