id	status	gender	major	dorm	year
1	1	2	267	311	2008
2	1	1	402	307	2007
3	2	2	292	314	2004
4	1	2	0	311	2009
5	1	1	333	324	2009
6	1	2	289	313	2005
7	2	2	391	0	2003
8	2	1	406	317	2005
9	5	2	317	318	0
10	1	2	400	275	2009
11	1	2	299	318	2006
12	1	2	374	287	2007
13	2	1	406	318	2005
14	1	2	343	0	2007
15	1	2	333	324	2006
16	1	2	330	276	2009
17	1	2	322	274	2008
18	1	1	0	276	2009
19	1	2	267	276	2008
20	5	2	269	318	2006
21	2	1	400	0	2004
22	2	1	288	317	2005
23	1	2	354	293	2007
24	1	2	275	300	2008
25	2	1	354	318	2005
26	2	2	292	0	2005
27	1	1	303	0	0
28	1	1	345	272	2008
29	1	2	379	318	2005
30	2	2	354	0	2005
31	1	2	379	281	2007
32	2	1	333	314	2005
33	5	2	406	318	2010
34	1	1	326	285	2008
35	2	1	303	0	2005
36	1	1	275	307	2007
37	1	1	333	313	2007
38	1	2	289	277	2008
39	1	0	0	0	2006
40	1	0	326	0	0
41	1	2	0	311	2009
42	1	1	334	318	2006
43	1	2	330	283	0
44	1	2	294	0	2007
45	2	1	294	318	2005
46	1	2	294	325	2008
47	1	1	406	318	2006
48	1	2	306	314	2005
49	1	2	400	294	2006
50	1	0	297	0	2008
51	1	1	0	306	0
52	1	2	330	318	2007
53	1	1	375	272	2008
54	1	2	406	272	2008
55	1	1	334	306	2007
56	2	2	326	318	2005
57	1	1	0	311	2009
58	1	2	402	277	2008
59	1	1	326	0	0
60	1	2	326	276	2004
61	1	2	275	319	2007
62	1	2	402	286	2008
63	1	1	292	306	2009
64	1	2	394	318	2006
65	1	2	406	273	2008
66	1	2	294	293	2007
67	1	1	292	317	2006
68	1	2	0	314	2007
69	1	2	294	318	2008
70	2	2	343	284	2003
71	1	1	365	319	2007
72	1	1	329	316	2006
73	1	2	294	311	2009
74	2	1	417	0	2005
75	1	2	306	291	2008
76	2	1	282	0	2004
77	2	1	369	0	2004
78	1	1	285	314	2007
79	1	1	275	318	2006
80	1	2	289	318	2007
81	2	1	406	0	2005
82	1	1	327	327	2007
83	1	0	0	285	0
84	1	2	402	319	2008
85	2	1	406	0	0
86	1	1	0	279	2009
87	2	2	0	0	2005
88	1	1	379	324	2009
89	5	1	297	318	2004
90	1	2	290	312	2009
91	5	1	0	0	2004
92	2	1	333	318	2005
93	1	1	406	287	2007
94	5	1	352	0	2004
95	2	2	406	0	2003
96	1	2	0	276	0
97	1	1	400	320	2006
98	2	1	406	0	2004
99	1	2	330	273	2008
100	1	2	294	314	2007
101	1	2	402	311	2009
102	1	2	326	318	2006
103	1	1	408	324	2009
104	5	2	376	318	0
105	2	2	326	318	2005
106	1	1	416	310	2009
107	1	2	330	324	2009
108	2	2	333	0	2004
109	1	1	400	0	2009
110	1	1	284	279	2009
111	1	0	292	313	2006
112	1	1	292	312	2007
113	1	1	330	279	2009
114	1	1	402	279	2009
115	2	2	297	0	2004
116	1	2	376	318	2008
117	1	2	402	313	2008
118	1	2	357	316	2005
119	1	0	0	0	0
120	2	2	354	0	2005
121	5	2	430	0	2007
122	1	2	400	277	2008
123	1	1	0	0	0
124	1	1	345	327	2008
125	1	1	308	318	2006
126	2	1	406	0	2005
127	2	0	273	0	0
128	1	2	429	311	2009
129	1	2	330	324	2009
130	1	0	0	0	0
131	1	1	267	314	2006
132	1	2	303	319	2007
133	1	1	0	285	2008
134	1	2	0	310	2009
135	1	1	406	311	2009
136	1	1	420	318	2006
137	1	1	292	277	2008
138	1	1	356	317	2007
139	2	1	285	323	2004
140	1	1	271	318	2007
141	1	2	0	300	2008
142	1	0	406	318	2006
143	1	1	294	306	2009
144	1	2	302	0	2007
145	5	0	0	0	0
146	2	2	376	0	2004
147	1	2	290	313	2007
148	2	2	400	318	2004
149	1	2	398	318	2006
150	1	2	326	318	2007
151	1	1	402	287	2007
152	1	2	326	308	2008
153	2	2	334	318	2005
154	2	2	305	0	2005
155	2	1	275	320	2005
156	1	0	0	0	0
157	1	1	341	0	2007
158	1	2	294	284	2009
159	5	1	347	318	0
160	1	1	0	275	2009
161	1	2	303	318	2005
162	1	2	303	307	2007
163	3	2	267	0	0
164	1	2	275	318	2007
165	1	2	365	285	2004
166	1	2	269	324	2008
167	2	2	338	318	2005
168	1	2	290	278	2007
169	1	1	294	284	2009
170	2	1	334	0	2004
171	1	2	323	318	2006
172	1	1	343	306	2009
173	1	2	294	318	2006
174	1	2	299	319	2006
175	2	1	292	0	2004
176	2	0	343	318	2005
177	1	2	354	299	2007
178	2	2	294	0	2005
179	1	1	354	318	2006
180	4	1	0	0	0
181	1	1	285	285	2007
182	1	2	0	310	2009
183	1	1	275	318	2006
184	1	1	282	280	2008
185	1	0	402	318	0
186	2	0	0	0	0
187	1	2	0	0	2008
188	1	2	0	310	2009
189	1	1	275	0	2007
190	1	2	314	313	2007
191	2	0	400	279	2005
192	1	1	294	318	2007
193	1	1	294	318	2004
194	2	2	394	318	2004
195	1	1	284	311	2009
196	1	1	330	284	2009
197	1	1	0	311	2008
198	1	1	406	287	2007
199	1	1	427	282	2008
200	1	0	0	0	0
201	1	1	282	314	2007
202	1	0	0	0	0
203	2	2	294	0	2005
204	1	1	354	318	2006
205	2	2	406	0	2005
206	1	2	356	318	2007
207	2	0	0	0	0
208	1	1	275	318	2006
209	1	1	275	280	2008
210	1	2	338	286	2007
211	2	2	354	0	2005
212	1	1	317	0	2008
213	1	1	333	322	2008
214	2	1	333	0	2004
215	1	2	290	279	2008
216	1	2	397	276	2005
217	2	2	313	0	2004
218	1	1	351	311	2009
219	1	1	354	319	2007
220	1	1	0	318	2008
221	1	1	375	284	2009
222	2	1	294	318	2005
223	4	2	0	0	0
224	1	1	323	0	0
225	1	2	325	318	2005
226	2	1	336	0	2005
227	1	2	333	318	2006
228	2	1	338	0	2005
229	1	0	0	0	0
230	1	1	400	0	2006
231	1	2	0	329	2006
232	1	2	343	291	2006
233	1	1	333	281	2008
234	1	2	303	0	2008
235	1	1	338	284	2008
236	1	2	354	273	2008
237	1	2	401	318	2006
238	1	2	354	318	0
239	1	1	343	318	2007
240	1	1	282	318	2008
241	1	1	0	278	2008
242	1	2	302	296	2008
243	1	1	285	286	2007
244	1	0	0	0	0
245	1	1	406	277	2008
246	1	2	402	324	2005
247	1	1	408	319	2007
248	2	1	275	0	2004
249	2	1	342	0	2004
250	1	1	416	310	2006
251	1	2	302	313	2007
252	4	1	0	0	0
253	1	2	294	318	2004
254	2	1	333	318	2004
255	1	2	330	310	2009
256	1	2	326	318	0
257	1	1	282	284	2008
258	2	1	406	0	2004
259	1	1	362	306	2009
260	1	2	379	295	2007
261	1	2	326	311	2009
262	1	2	330	312	2009
263	1	2	269	282	2007
264	1	2	285	325	2008
265	1	1	420	317	2007
266	1	1	406	318	2006
267	2	1	290	318	2005
268	1	1	0	310	2009
269	1	1	402	312	2009
270	1	1	0	273	2007
271	1	1	427	318	2006
272	1	1	354	0	2006
273	1	1	0	311	2008
274	1	2	400	308	2008
275	1	2	400	297	2007
276	1	1	0	284	2009
277	1	1	294	314	0
278	1	2	365	0	2006
279	2	1	402	320	2004
280	5	1	430	318	2008
281	2	2	342	295	2005
282	1	2	402	284	2009
283	1	2	0	285	2008
284	1	2	407	282	2008
285	1	2	300	280	2008
286	1	2	323	0	0
287	1	2	400	315	2007
288	1	1	375	318	2006
289	1	2	0	299	2008
290	1	1	292	307	2007
291	1	1	0	324	2009
292	1	1	0	324	2009
293	1	1	429	0	2007
294	1	1	0	279	2009
295	2	2	352	279	2003
296	2	2	302	0	2004
297	1	2	402	318	2006
298	1	2	294	312	2009
299	1	2	402	312	2009
300	1	0	294	285	2008
301	1	2	338	318	0
302	1	1	0	324	0
303	1	1	420	287	2006
304	1	2	394	318	2006
305	1	2	379	309	2008
306	1	0	0	0	0
307	1	2	406	281	2008
308	1	2	330	313	2008
309	1	2	326	277	2007
310	1	2	400	0	0
311	1	2	0	0	0
312	1	2	376	310	2007
313	1	0	379	0	0
314	2	1	375	0	2004
315	2	1	343	320	2004
316	1	1	0	276	2008
317	1	1	400	279	2009
318	2	1	303	318	2005
319	1	2	317	312	2009
320	1	1	0	279	2009
321	3	2	400	0	0
322	1	1	292	318	2006
323	2	1	338	318	2005
324	2	2	400	0	2004
325	1	2	400	318	2006
326	1	2	267	319	2008
327	1	2	294	313	2006
328	1	2	420	318	2007
329	1	2	315	313	2007
330	2	0	0	0	0
331	2	1	341	318	2005
332	1	1	292	318	2006
333	2	1	334	0	2004
334	1	1	292	318	0
335	1	2	289	318	2006
336	1	1	420	315	2006
337	2	2	294	0	2004
338	1	1	406	307	2007
339	1	2	269	275	2009
340	1	1	402	307	2008
341	1	1	406	319	2008
342	1	2	294	314	2007
343	1	0	0	322	0
344	2	2	343	0	2005
345	1	2	317	318	2005
346	1	2	317	317	2005
347	1	2	407	280	2008
348	2	2	302	0	0
349	1	2	0	0	0
350	1	1	317	314	2007
351	1	1	267	312	2009
352	1	2	0	284	2009
353	3	1	330	0	0
354	1	1	282	318	2006
355	1	1	290	272	2006
356	2	1	420	0	2005
357	2	1	400	318	2004
358	5	1	430	318	2008
359	1	2	400	318	2006
360	2	2	406	278	2004
361	1	1	402	284	2009
362	2	1	275	0	2005
363	1	2	326	314	2006
364	1	1	400	0	2006
365	1	1	400	318	2007
366	1	2	317	295	2005
367	1	0	0	0	0
368	1	1	0	314	2007
369	2	2	317	318	2004
370	1	2	326	277	2006
371	2	0	402	0	2005
372	2	1	406	318	2005
373	2	1	282	0	2005
374	1	1	292	318	2007
375	1	2	333	311	2009
376	1	1	303	306	2008
377	1	2	379	0	2008
378	2	1	406	0	2005
379	1	2	297	325	2008
380	1	1	341	274	0
381	2	1	404	318	2005
382	1	2	0	289	2008
383	2	1	430	0	2003
384	1	1	275	282	2007
385	2	0	345	0	2001
386	1	2	429	280	2008
387	1	2	282	276	0
388	2	2	423	0	2004
389	2	1	338	0	2004
390	1	1	402	311	2009
391	1	2	402	275	2009
392	1	2	326	272	2008
393	1	2	326	325	2008
394	1	1	406	318	2006
395	1	1	285	287	2007
396	2	2	400	0	2003
397	1	2	379	314	2007
398	1	2	402	273	2008
399	1	2	330	278	2008
400	2	1	326	0	2005
401	2	1	320	318	2005
402	1	2	398	272	2008
403	1	1	400	318	2005
404	1	2	0	279	2009
405	1	1	294	0	0
406	1	1	333	315	2007
