id	status	gender	major	dorm	year
1	1	1	0	44	2008
2	1	1	96	0	2006
3	1	1	63	50	2006
4	1	1	90	40	2008
5	1	1	90	32	2007
6	1	1	51	40	2008
7	2	1	63	43	2003
8	2	1	63	0	2005
9	1	1	107	0	2007
10	4	1	96	0	2006
11	1	1	62	35	2007
12	1	1	0	32	2007
13	1	1	83	0	2006
14	1	1	90	46	2008
15	1	1	76	50	2006
16	2	1	65	41	2005
17	1	1	96	39	0
18	1	1	75	42	2007
19	1	1	58	41	2008
20	1	1	0	44	2008
21	1	1	95	31	0
22	2	1	95	0	2005
23	1	1	75	48	2006
24	1	1	95	41	0
25	1	1	51	40	2009
26	2	1	51	0	2004
27	1	1	107	40	2007
28	2	1	63	0	2004
29	1	1	95	0	2006
30	2	1	63	0	2004
31	1	1	95	33	2009
32	2	0	0	0	0
33	1	1	63	34	0
34	1	1	95	0	0
35	1	1	46	33	2007
36	1	1	47	0	0
37	2	1	0	0	2004
38	1	1	73	31	2006
39	1	1	63	39	2007
40	2	1	51	0	2004
41	1	1	0	42	2008
42	1	1	75	41	2006
43	2	1	65	0	2005
44	2	0	95	0	2004
45	2	1	92	0	2005
46	1	1	51	47	2006
47	2	0	96	0	2004
48	1	1	75	40	2008
49	2	1	50	45	2003
50	1	1	90	40	2007
51	1	1	50	48	2007
52	1	1	96	0	2006
53	1	1	51	31	2009
54	1	1	76	34	2006
55	1	1	59	34	2008
56	1	1	76	46	2008
57	1	1	92	0	2005
58	1	1	100	39	2006
59	1	1	63	0	2006
60	2	1	59	41	2005
61	2	0	47	0	2001
62	1	1	96	0	2007
63	1	1	76	41	2008
64	1	1	95	0	2007
65	1	1	50	41	2008
66	2	1	65	0	2005
67	2	1	88	0	2005
68	1	1	107	39	2008
69	1	1	51	32	2008
70	1	1	86	0	2006
71	2	1	65	0	2004
72	1	1	63	41	2006
73	1	1	92	48	2007
74	1	1	99	0	2007
75	1	1	96	0	2008
76	1	1	90	44	2009
77	1	1	95	0	2006
78	2	1	0	0	2005
79	1	1	63	31	2008
80	1	1	0	0	2007
81	2	0	90	34	2004
82	1	0	0	44	2008
83	5	1	0	0	2003
84	1	1	75	42	2008
85	1	1	63	43	2006
86	1	1	107	52	2006
87	1	1	95	37	2009
88	1	1	52	0	2007
89	2	1	75	0	2005
90	1	1	67	33	2008
91	2	1	95	0	2005
92	1	1	63	35	2008
93	1	1	0	39	2009
94	2	1	47	0	2005
95	2	1	95	0	2004
96	2	1	96	0	2004
97	1	1	86	34	2007
98	1	1	92	42	2006
99	1	1	65	0	2006
100	2	1	63	0	2004
101	1	1	95	37	2009
102	1	1	63	0	2007
103	1	1	0	0	2007
104	1	1	0	37	0
105	2	1	51	0	2005
106	2	1	65	48	2004
107	1	1	95	47	2006
108	1	1	63	40	2007
109	1	1	96	0	2007
110	2	1	95	0	2004
111	1	1	76	33	2009
112	2	1	65	0	2005
113	1	0	0	0	0
114	1	1	95	41	2006
115	1	1	96	0	2008
116	1	1	105	33	2006
117	1	1	49	48	0
118	1	1	0	32	2005
119	1	1	96	41	2008
120	1	1	63	33	2007
121	2	1	54	0	2004
122	1	1	76	42	2008
123	1	1	96	0	2007
124	2	1	52	34	2005
125	1	1	75	42	2006
126	1	1	66	43	2006
127	1	1	50	42	2008
128	2	1	95	48	2005
129	1	1	95	33	2007
130	1	1	63	40	2006
131	2	0	51	0	2005
132	2	1	86	0	2003
133	2	1	76	0	2003
134	1	1	96	0	2007
135	2	1	86	31	2001
136	1	1	0	39	2008
137	2	1	76	47	2003
138	1	0	0	0	0
139	1	1	0	43	2008
140	1	1	91	46	2006
141	1	1	75	47	2009
142	1	1	46	39	2008
143	2	1	62	0	2005
144	1	1	65	32	2008
145	2	1	76	0	2005
146	2	1	73	0	2004
147	1	1	0	31	2008
148	1	1	0	0	2007
149	1	1	51	40	2009
150	1	1	90	34	2008
151	1	1	0	47	2008
152	1	1	0	42	2009
153	1	1	90	32	2008
154	1	1	52	37	2006
155	2	1	63	0	2004
156	1	1	0	37	0
157	1	1	95	37	2006
158	2	1	92	0	2005
159	1	1	77	35	2008
160	1	1	66	33	2008
161	1	1	75	46	2006
162	1	1	0	40	2009
163	3	1	105	0	0
164	1	1	96	31	2007
165	1	0	65	0	0
166	1	1	51	34	2009
167	1	1	102	32	2008
168	2	1	65	34	2005
169	1	1	63	0	2006
170	2	1	100	0	2004
171	1	1	105	48	2008
172	2	1	53	47	2004
173	2	1	51	0	2004
174	1	1	95	44	2007
175	1	1	50	33	2008
176	2	1	96	0	2005
177	1	1	67	48	2009
178	1	1	0	32	2009
179	1	0	0	0	0
180	1	1	51	0	2007
181	1	1	90	47	2008
182	1	1	50	31	0
183	1	1	46	48	2007
184	1	1	63	47	2005
185	1	1	90	42	0
186	1	1	76	33	2007
187	1	1	87	36	2009
188	1	1	67	46	2009
189	1	1	0	40	2008
190	1	1	51	32	2008
191	1	1	96	44	2008
192	1	1	76	38	2006
193	1	1	43	46	2007
194	1	1	102	46	2007
195	1	0	95	41	0
196	2	0	96	0	2005
197	1	0	89	46	2008
198	1	1	0	44	2009
199	1	0	46	0	0
200	1	1	76	0	2006
201	1	1	51	47	0
202	1	1	42	35	2006
203	1	1	52	46	2007
204	1	1	46	38	2006
205	1	1	47	33	2005
206	1	0	55	0	2006
207	1	1	55	42	2007
208	1	1	52	39	2006
209	1	1	102	41	2009
