id	status	gender	major	dorm	year
1	1	2	0	498	2009
2	1	2	103	0	2007
3	1	2	107	466	2007
4	1	2	103	0	2006
5	1	2	95	327	2007
6	2	2	108	0	2004
7	1	2	116	327	2008
8	1	1	90	475	2006
9	2	2	111	0	2002
10	2	1	109	0	2005
11	4	2	0	0	0
12	1	1	0	327	2008
13	1	2	107	464	2006
14	1	2	107	465	2005
15	1	1	98	329	0
16	1	1	0	498	2009
17	2	2	91	0	2005
18	2	2	90	415	2005
19	1	2	95	402	2006
20	1	2	107	420	2006
21	2	1	118	0	2004
22	2	1	108	0	2005
23	2	2	122	450	2005
24	1	2	98	0	2009
25	2	1	91	0	2004
26	1	1	103	343	2007
27	1	2	0	327	2009
28	1	2	0	0	0
29	1	1	0	331	2008
30	1	2	118	477	2007
31	1	1	98	495	2008
32	1	2	114	498	2006
33	1	1	111	332	2009
34	1	2	118	388	2006
35	2	1	105	0	2005
36	2	1	111	369	2005
37	2	0	130	0	2005
38	1	0	0	327	2008
39	1	1	90	335	2007
40	1	2	122	0	2006
41	2	1	119	0	2005
42	1	1	90	364	2006
43	1	2	105	340	2008
44	1	1	102	0	2005
45	2	1	124	412	2005
46	1	1	0	498	2009
47	1	1	134	329	2009
48	1	1	95	335	2007
49	1	2	99	472	2008
50	4	0	0	0	0
51	1	1	108	330	2008
52	1	1	131	499	2006
53	2	2	91	430	2005
54	1	2	111	329	2009
55	1	1	108	327	2007
56	1	1	98	343	2006
57	1	2	0	327	2007
58	1	2	0	327	2009
59	1	2	108	330	2008
60	1	1	116	327	2008
61	2	1	112	0	2005
62	1	1	98	330	2009
63	1	1	101	0	2007
64	2	2	120	0	2003
65	1	2	107	0	2007
66	2	1	91	334	2005
67	1	2	108	331	2009
68	1	2	119	343	2006
69	2	1	122	0	2004
70	1	2	0	427	2005
71	1	1	108	481	2007
72	1	1	103	331	2008
73	0	0	0	0	0
74	1	2	0	498	2009
75	1	1	111	490	2007
76	1	1	95	498	2009
77	2	1	98	0	2004
78	1	2	0	329	2009
79	1	1	108	477	2008
80	1	1	107	404	2006
81	1	0	103	343	2007
82	1	1	112	335	2007
83	1	2	132	331	2007
84	2	1	0	0	2005
85	1	0	123	0	2006
86	1	1	132	327	2009
87	1	1	91	343	2007
88	1	0	108	434	2006
89	1	2	0	473	2007
90	1	1	103	457	2006
91	1	2	107	340	2008
92	6	0	102	0	0
93	1	1	0	329	2009
94	1	2	122	331	2007
95	1	2	122	0	2009
96	1	2	108	330	2009
97	1	1	124	0	2007
98	1	1	116	0	0
99	1	1	94	343	2007
100	1	1	131	465	2007
101	1	2	0	0	2009
102	2	1	91	0	2005
103	1	1	92	327	2009
104	2	1	111	0	2004
105	1	1	108	452	2006
106	1	2	0	331	2009
107	2	2	109	0	2004
108	1	0	92	0	2007
109	2	2	121	405	2005
110	1	1	94	0	2007
111	1	1	0	331	2008
112	2	2	0	492	2005
113	1	1	95	473	2008
114	1	0	0	332	2008
115	1	1	0	331	2008
116	1	2	103	467	2007
117	1	1	105	0	2007
118	1	1	122	327	2007
119	2	1	92	422	2005
120	1	2	121	0	2008
121	2	0	0	0	0
122	1	1	98	330	2009
123	1	2	109	330	2008
124	1	2	111	489	2007
125	4	1	0	0	0
126	1	2	131	0	2009
127	1	1	121	327	2008
128	1	1	122	417	2006
129	2	2	0	0	2004
130	2	2	109	449	2005
131	1	1	106	485	2007
132	1	0	0	0	0
133	1	2	107	449	2005
134	2	1	92	0	2004
135	1	1	91	350	2006
136	2	2	112	0	0
137	2	0	108	0	2004
138	1	1	119	343	2007
139	2	1	131	472	2005
140	1	1	107	482	2007
141	1	1	111	498	2007
142	1	0	0	0	0
143	5	2	98	426	2005
144	1	2	119	327	2007
145	1	2	0	327	2009
146	1	2	92	327	2009
147	2	1	102	0	2004
148	1	1	108	329	2009
149	2	2	107	412	2005
150	1	0	111	0	2007
151	1	2	106	0	2006
152	1	2	107	0	2006
153	1	0	131	0	2007
154	1	1	122	475	2007
155	1	0	122	0	2005
156	1	1	98	449	2006
157	1	1	92	481	2008
158	2	1	131	379	2005
159	1	2	111	329	2009
160	2	1	99	343	2005
161	1	0	0	0	0
162	4	1	0	0	0
163	1	2	122	343	2008
164	1	2	91	330	2008
165	4	1	0	0	0
166	1	2	118	0	2005
167	1	1	133	328	2009
168	1	1	122	454	2006
169	1	2	107	331	2008
170	1	1	111	334	2005
171	1	2	0	331	2009
172	1	1	115	328	2009
173	2	1	107	442	2004
174	1	1	0	498	2009
175	2	1	122	0	2005
176	1	1	0	331	2008
177	1	1	122	355	2006
178	1	0	0	0	0
179	1	1	0	341	2007
180	2	2	122	412	2003
181	1	2	121	0	2006
182	1	1	122	0	2006
