id	status	gender	major	dorm	year
1	1	2	266	92	2009
2	1	1	236	0	2006
3	2	0	236	0	2005
4	1	1	243	108	2007
5	1	1	244	108	2007
6	1	2	241	153	2008
7	1	1	243	99	2008
8	1	1	251	117	2008
9	1	0	260	0	2007
10	2	1	282	103	2005
11	1	1	264	108	2005
12	2	1	266	0	2005
13	5	2	235	0	0
14	1	1	0	107	0
15	2	1	264	0	2005
16	1	1	0	87	2009
17	2	2	260	0	2005
18	1	2	287	0	0
19	1	1	264	0	2007
20	1	1	240	106	2008
21	2	0	260	0	2004
22	1	0	0	117	2008
23	1	1	281	104	2006
24	1	1	241	104	2007
25	1	1	290	0	2007
26	1	2	251	139	2006
27	2	1	254	0	2005
28	0	0	0	0	0
29	1	1	264	108	2007
30	1	1	285	108	2006
31	1	2	266	112	2006
32	1	2	260	96	2009
33	1	1	251	86	2009
34	1	2	243	92	2009
35	1	0	254	154	2007
36	1	1	282	104	2007
37	2	2	243	100	2005
38	2	1	288	122	2004
39	1	2	0	145	2008
40	2	1	266	0	2005
41	1	1	263	109	2006
42	1	2	243	0	2008
43	1	1	243	107	2009
44	1	1	266	0	2007
45	1	2	243	134	2007
46	1	1	0	107	2007
47	2	1	254	110	2005
48	1	2	251	0	2006
49	1	2	243	0	2006
50	1	2	244	112	2007
51	2	1	290	0	2005
52	2	2	236	0	2005
53	1	1	290	151	2007
54	1	2	243	0	2006
55	1	2	263	113	2007
56	2	2	243	115	2005
57	1	1	254	92	2009
58	1	1	287	0	2008
59	2	1	0	0	2004
60	1	1	264	86	2009
61	1	2	0	96	2009
62	1	1	244	151	2008
63	1	2	266	92	2009
64	1	1	243	110	2007
65	1	2	251	140	2006
66	2	1	266	135	2005
67	1	2	285	139	2006
68	1	1	266	0	2007
69	2	2	281	0	2005
70	1	2	290	140	2007
71	1	2	243	89	2009
72	1	2	279	140	2007
73	1	0	254	119	2006
74	2	1	260	112	2005
75	1	1	283	104	2007
76	1	1	290	0	2007
77	2	2	281	0	2005
78	1	0	0	0	0
79	1	2	248	0	2006
80	1	2	264	110	2007
81	2	0	241	0	2003
82	1	1	281	0	2008
83	2	0	0	0	0
84	2	1	239	0	2004
85	2	1	0	0	0
86	1	2	243	149	2008
87	2	2	244	0	2005
88	2	1	253	112	2005
89	1	1	291	0	2008
90	1	1	0	86	2009
91	1	2	264	93	2008
92	1	1	266	91	2009
93	2	1	248	0	2005
94	1	2	240	109	2006
95	1	1	260	0	2007
96	2	1	241	0	2005
97	1	2	243	139	2008
98	1	1	241	0	2008
99	1	2	264	86	2006
100	1	1	0	94	2009
101	1	1	244	103	2008
102	1	2	241	92	0
103	1	1	285	96	2009
104	1	2	264	87	2009
105	1	2	243	0	2007
106	2	2	285	0	2005
107	1	1	281	0	2006
108	1	1	272	86	2009
109	1	0	260	109	2006
110	1	2	0	0	2009
111	1	1	0	108	2008
112	1	1	281	88	2009
113	4	2	248	0	0
114	1	1	281	111	2006
115	1	0	281	105	2007
116	2	1	285	0	2005
117	1	2	266	110	2007
118	1	0	246	135	2006
119	1	0	0	0	0
120	2	2	243	0	2005
121	1	2	280	146	2006
122	1	1	267	108	2007
123	1	2	236	110	2007
124	1	2	243	140	2007
125	1	2	284	110	2007
126	2	2	244	0	2005
127	1	0	0	0	0
128	1	2	260	0	2006
129	2	2	281	0	2005
130	1	2	251	107	2008
131	1	2	243	0	2007
132	1	0	0	0	0
133	1	1	241	0	2005
134	1	2	243	96	2007
135	1	1	254	97	0
136	1	0	0	0	0
137	2	1	0	0	2005
138	2	2	287	0	2005
139	1	1	282	108	2008
140	1	1	241	86	2009
141	1	1	241	104	2007
142	1	1	253	0	2007
143	1	2	243	104	2007
144	1	2	0	92	2009
145	2	2	243	0	2005
146	1	2	236	96	2009
147	1	1	241	102	2008
148	1	2	251	0	2007
149	1	2	243	86	2009
150	1	1	241	88	2009
151	1	1	266	0	2008
152	1	1	241	100	2007
153	1	2	279	96	2009
154	1	2	281	92	2009
155	1	1	0	129	2007
156	1	1	275	136	2007
157	1	2	244	96	2009
158	1	2	278	110	2006
159	2	2	264	144	2005
160	2	1	0	0	2005
161	1	1	243	92	2009
162	2	1	254	0	2005
163	5	2	274	0	0
164	1	0	0	0	0
165	1	2	243	0	2006
166	1	0	0	0	0
167	2	2	266	0	2005
168	2	1	260	0	2004
169	1	1	289	96	2009
170	1	2	0	140	0
171	1	2	254	0	2008
172	1	2	241	92	2009
173	2	2	260	0	2005
174	1	2	270	0	2007
175	1	1	264	0	2007
176	1	1	241	0	0
177	2	1	241	0	2005
178	2	2	260	0	2005
179	1	1	281	110	2006
180	1	1	290	105	2008
181	1	1	285	95	2009
182	1	2	264	110	2007
183	1	1	243	112	2006
184	1	1	243	0	2006
185	1	1	254	0	2007
186	1	0	266	0	2007
187	1	0	264	0	2007
188	5	1	272	0	2008
189	1	1	281	110	2005
190	5	0	0	0	0
191	1	1	264	0	2007
192	1	1	254	108	2008
193	1	1	270	104	2008
194	1	1	278	94	2008
195	1	1	290	116	2006
196	1	1	270	136	0
197	1	1	244	90	2009
198	1	1	264	96	0
199	1	1	264	90	2008
200	1	0	0	0	0
201	1	2	282	110	2007
202	1	2	266	87	2008
203	1	0	258	92	0
204	1	1	283	108	2007
205	1	2	0	86	2009
206	2	1	264	0	2005
207	1	1	244	109	2006
208	1	2	243	96	2009
209	5	2	272	0	2005
210	2	2	254	0	2005
211	1	2	277	103	2008
212	1	2	0	118	2008
213	1	1	254	117	2008
214	1	1	270	114	2007
215	1	2	264	0	2006
216	1	2	267	107	2009
217	1	2	254	116	2005
218	1	2	264	0	2006
219	1	0	0	0	0
220	1	1	241	0	2007
221	2	2	264	0	2003
222	1	1	263	0	2006
223	1	2	254	0	2006
224	1	1	290	113	2008
225	2	1	241	0	2005
226	1	1	246	92	2009
227	1	2	279	0	0
228	1	1	281	108	2008
229	2	1	281	0	2005
230	1	1	254	108	2007
231	1	1	243	0	2006
232	1	1	270	0	2006
233	1	2	243	143	2006
234	1	1	253	86	2008
235	1	0	241	0	2006
236	1	1	241	96	2009
237	1	2	241	111	2005
238	1	2	0	92	2009
239	1	2	264	107	2007
240	1	2	241	107	2009
241	1	2	248	99	2007
242	2	0	0	0	0
243	1	1	0	0	0
244	1	1	243	111	2006
245	2	2	283	0	0
246	1	2	266	93	2008
247	1	2	260	110	2006
248	2	1	251	0	2005
249	1	1	281	110	2006
250	1	0	0	0	0
251	1	1	264	96	2009
252	1	2	0	153	2008
253	1	1	266	91	2008
254	1	1	243	102	2008
255	1	2	241	140	0
256	1	2	270	0	2005
257	2	1	244	0	2005
258	3	2	236	0	0
259	1	1	260	96	2008
260	1	1	281	0	0
261	1	1	0	96	2009
262	1	2	288	110	0
263	1	1	267	118	2008
264	1	2	0	151	2008
265	1	2	270	89	2009
266	1	1	281	0	2006
267	1	2	247	96	0
268	2	1	260	0	2004
269	2	2	254	145	2004
270	1	1	254	142	2006
271	1	1	241	0	2009
272	1	1	239	90	2009
273	1	1	285	107	2006
274	1	0	254	0	2007
275	1	2	264	140	2008
276	1	2	266	118	2007
277	1	0	260	0	2006
278	1	1	243	0	2006
279	1	1	260	108	2008
280	1	1	266	0	2007
281	1	2	265	91	2009
282	1	0	254	101	0
283	1	2	283	155	2008
284	1	2	266	88	2007
285	1	2	270	90	2008
286	1	2	244	0	2007
287	1	1	243	105	2008
288	1	2	264	107	2007
289	1	2	251	114	2006
290	1	2	0	87	2008
291	1	1	0	86	2009
292	1	1	251	90	2009
293	2	1	0	0	0
294	2	1	236	0	2005
295	1	1	253	108	2008
296	1	1	0	108	2007
297	2	2	243	0	2003
298	2	1	243	0	2005
299	1	2	251	0	2007
300	2	1	236	0	2005
301	1	1	281	106	2007
302	1	1	243	129	2007
303	1	1	264	97	2007
304	2	1	0	0	0
305	1	2	0	0	2009
306	5	1	244	0	2004
307	1	1	243	110	2005
308	1	2	261	0	0
309	1	1	280	110	2007
310	1	1	264	0	2008
311	1	2	281	106	2008
312	1	1	0	135	2008
313	1	1	254	110	2006
314	2	2	275	0	2004
315	5	2	272	0	0
316	1	2	243	112	2006
317	5	2	267	0	2004
318	2	1	260	0	2004
319	1	1	277	0	2007
320	2	2	248	0	2005
321	2	1	281	0	2004
322	1	1	243	106	2008
323	2	2	248	0	2005
324	1	2	243	0	2008
325	1	2	243	102	2006
326	1	2	243	0	2008
327	1	2	267	110	2007
328	1	2	262	141	2008
329	1	0	0	0	0
330	1	2	266	155	2008
331	1	0	0	0	0
332	1	1	254	0	2006
333	2	2	264	0	2005
334	1	1	243	122	2007
335	1	2	243	86	2009
336	1	1	281	108	2007
337	1	0	0	0	0
338	5	2	272	0	2006
339	1	2	282	148	2005
340	1	2	251	110	2006
341	1	2	280	153	2008
342	2	1	243	0	2005
343	1	1	243	0	2006
344	1	2	254	93	2008
345	1	2	264	111	2006
346	1	2	272	110	2007
347	2	2	285	0	2004
348	1	2	280	0	2007
349	1	2	244	0	0
350	1	2	266	87	2009
351	1	1	0	91	0
352	1	1	266	0	2007
353	5	1	253	0	2006
354	1	2	0	0	0
355	1	1	0	135	2008
356	1	2	279	0	2008
357	2	1	266	0	2005
358	1	1	281	103	2006
359	2	1	246	0	2004
360	1	2	266	94	2008
361	1	0	0	0	0
362	1	2	265	143	2005
363	1	1	260	90	2009
364	1	0	0	0	0
365	2	1	281	136	2004
366	1	1	241	107	2008
367	1	1	235	0	2007
368	1	2	0	110	2008
369	1	1	264	106	2008
370	5	1	272	0	2006
371	2	1	270	0	2004
372	1	1	254	0	2007
373	1	0	0	0	0
374	1	1	281	0	2008
375	1	2	273	118	2008
376	1	1	244	86	2009
377	1	1	264	107	2008
378	1	2	264	0	2007
379	1	1	260	0	2006
380	1	2	264	0	2007
381	1	0	0	0	0
382	1	0	0	0	0
383	2	1	279	0	2005
384	2	2	278	0	2004
385	1	1	281	97	2007
386	1	1	241	112	2006
387	1	1	290	100	2007
388	1	2	264	110	2007
389	1	1	254	107	2008
390	2	2	281	115	2005
391	2	1	260	0	2005
392	2	2	264	0	2005
393	1	1	255	0	2008
394	1	2	282	0	2006
395	2	1	240	0	2004
396	1	2	260	100	2007
397	1	2	263	150	2007
398	2	1	266	0	2005
399	1	1	243	0	2008
400	1	1	251	0	2007
401	1	2	290	110	2007
402	1	1	239	111	2007
403	1	1	281	0	0
404	2	1	273	0	2005
405	1	1	0	109	2008
406	3	2	264	0	0
407	1	2	251	0	2006
408	1	1	0	92	2009
409	1	1	270	0	2006
410	1	0	253	0	2006
411	2	2	282	0	2005
412	1	1	239	112	2006
413	2	2	281	0	2005
414	1	1	244	92	2009
415	1	2	275	0	2008
416	1	1	254	97	2007
417	1	1	241	130	2007
418	2	2	262	0	2004
419	1	2	280	92	2008
420	1	1	287	0	2007
421	1	0	0	0	0
422	1	2	0	92	2009
423	1	1	0	92	2009
424	1	1	264	0	2006
425	1	1	240	0	2005
426	1	0	270	115	2006
427	1	2	242	100	2007
428	1	1	243	0	2009
429	1	1	241	103	2007
430	2	0	0	0	2005
431	1	2	243	0	2005
432	1	1	264	0	2006
433	1	2	280	109	2008
434	1	1	260	0	2008
435	1	0	0	0	0
436	1	1	266	108	2008
437	1	2	0	131	2008
438	1	1	266	117	2008
439	1	0	0	0	0
440	1	1	264	0	2006
441	1	2	244	101	2008
442	1	1	0	152	2008
443	1	2	243	146	2007
444	1	1	264	108	2007
445	1	2	0	86	2009
446	1	1	243	97	2008
447	1	2	260	91	2009
448	5	0	0	0	0
449	1	2	282	92	2009
450	1	1	281	92	2008
451	1	1	241	100	2008
452	1	0	241	86	2009
453	1	0	285	103	2007
454	1	1	278	93	2008
455	1	2	243	150	2008
456	2	2	243	0	2004
457	1	1	265	0	2010
458	1	1	291	96	2009
459	2	0	281	0	1984
460	1	1	260	90	2008
461	1	2	282	112	2006
462	2	1	240	0	0
463	1	1	270	0	2008
464	1	2	0	96	2009
465	1	2	243	0	2008
466	2	0	243	0	2004
467	5	1	252	0	2006
468	1	1	281	90	2009
469	1	2	264	147	2005
470	1	2	275	111	2007
471	2	2	239	0	2005
472	1	2	270	92	2009
473	3	2	281	0	0
474	1	2	251	0	2005
475	1	1	281	115	2007
476	1	0	0	0	0
477	1	2	264	0	2007
478	1	2	260	0	2005
