id	status	gender	major	dorm	year
1	2	2	33	0	2005
2	1	2	18	337	2006
3	1	1	9	344	2008
4	1	1	48	327	2008
5	1	0	0	0	0
6	1	1	37	350	2006
7	2	0	0	0	0
8	1	1	0	351	2008
9	1	1	9	353	2009
10	1	2	8	352	2009
11	1	2	9	352	2009
12	1	1	19	350	2007
13	1	1	9	0	2006
14	1	1	24	351	2007
15	1	2	0	0	2008
16	1	0	41	0	2007
17	1	2	18	330	2006
18	1	1	18	341	2008
19	1	2	18	351	2009
20	2	0	41	0	2004
21	1	2	41	343	2007
22	2	1	19	349	2005
23	1	0	0	0	0
24	1	2	0	355	2009
25	1	1	0	0	2008
26	1	1	0	341	2008
27	2	2	19	0	0
28	1	1	41	328	2008
29	1	2	18	354	2009
30	1	1	0	353	2009
31	1	2	0	352	2009
32	1	1	9	351	2009
33	1	2	18	351	2008
34	1	1	18	339	2005
35	1	1	37	353	2007
36	1	2	0	352	2009
37	1	1	42	0	2006
38	2	1	18	0	2005
39	1	1	34	0	2008
40	1	2	19	0	2007
41	1	1	0	353	2009
42	1	0	0	0	0
43	1	2	0	330	2007
44	1	1	0	357	2008
45	1	0	9	328	2008
46	1	1	24	354	2009
47	1	2	14	0	2006
48	1	2	10	330	2006
49	2	2	40	0	2005
50	1	2	18	352	2009
51	1	2	0	0	2009
52	1	1	18	350	2005
53	2	1	19	0	2005
54	1	1	0	351	2008
55	1	2	37	333	2007
56	2	1	5	345	2005
57	1	2	10	328	2007
58	1	1	0	351	2009
59	1	2	18	339	2007
60	1	2	0	353	2009
61	1	1	48	331	2006
62	1	0	0	0	0
63	2	1	5	330	2005
64	1	2	18	340	2007
65	1	2	10	332	2005
66	1	1	9	354	2008
67	1	1	40	349	2006
68	1	1	18	0	2007
69	2	2	42	0	2003
70	2	1	13	0	2005
71	1	1	33	0	2007
72	1	2	19	353	2009
73	2	2	42	0	2003
74	2	2	9	0	2004
75	1	1	11	352	2009
76	1	0	41	328	2008
77	2	2	0	0	2003
78	1	2	10	0	2009
79	2	2	0	0	2000
80	1	1	5	355	2009
81	2	0	41	0	2005
82	2	2	6	0	2005
83	1	1	22	0	2007
84	1	2	41	352	2009
85	2	1	9	0	2005
86	1	2	18	333	2007
87	1	1	40	0	2006
88	1	2	33	344	2007
89	1	1	4	338	2006
90	2	1	0	0	0
91	1	2	33	352	2008
