id	status	gender	major	dorm	year
1	1	2	274	95	2009
2	1	0	383	97	2008
3	1	0	460	0	2006
4	1	1	333	0	2008
5	2	2	282	95	2004
6	1	2	0	94	2009
7	2	1	466	0	2004
8	2	2	282	98	2004
9	1	0	335	0	2006
10	1	1	395	0	2006
11	2	2	460	0	2005
12	1	2	452	94	2009
13	1	1	0	0	0
14	1	1	460	0	0
15	1	2	278	0	2006
16	1	1	466	147	2005
17	1	1	386	90	2008
18	1	2	339	0	2008
19	1	1	389	148	2006
20	1	2	0	0	2005
21	5	0	0	0	0
22	1	2	505	0	2006
23	1	2	278	0	2008
24	1	2	442	90	2009
25	1	0	302	0	0
26	1	1	348	94	2009
27	1	1	336	99	2008
28	1	2	353	0	2005
29	1	1	389	130	2006
30	1	1	0	128	2007
31	1	1	487	151	2006
32	1	2	460	0	2007
33	5	1	514	0	0
34	1	2	278	0	2006
35	1	1	515	99	2009
36	1	1	389	137	2007
37	1	1	405	0	0
38	2	1	490	0	2005
39	1	1	361	0	2008
40	1	1	445	0	2006
41	1	1	387	96	2009
42	1	0	466	0	2007
43	1	2	342	0	2005
44	1	2	466	140	2009
45	1	1	444	0	0
46	1	1	358	0	2009
47	1	0	0	0	0
48	1	2	278	0	2007
49	1	2	325	0	2005
50	1	1	466	137	2006
51	1	1	266	0	2006
52	1	1	342	140	2009
53	1	1	490	98	2008
54	1	2	0	0	0
55	1	0	0	0	0
56	2	2	394	0	2005
57	3	2	504	122	2008
58	2	1	411	0	2005
59	1	2	500	95	2008
60	5	1	419	0	2006
61	1	2	416	95	2007
62	1	1	466	90	0
63	1	1	361	0	0
64	1	1	0	129	2008
65	1	2	398	0	0
66	1	1	237	0	2008
67	4	1	0	0	0
68	1	2	395	92	2009
69	1	2	278	95	2009
70	1	1	496	99	0
71	1	0	0	0	0
72	1	2	460	96	2008
73	2	2	353	0	2005
74	1	1	282	140	2009
75	1	1	274	129	2008
76	1	2	266	0	2007
77	1	1	468	97	2008
78	1	0	266	0	0
79	1	1	0	90	2009
80	1	1	244	0	2006
81	2	1	314	152	2005
82	2	1	389	0	0
83	1	1	395	94	2008
84	1	2	460	150	2007
85	1	2	260	96	0
86	1	2	514	0	2007
87	1	1	460	0	2007
88	1	1	303	0	2006
89	2	2	493	151	1984
90	1	1	395	90	2009
91	1	2	416	0	2005
92	1	1	361	0	2006
93	1	1	466	150	2006
94	1	2	478	0	0
95	2	2	374	0	2005
96	1	1	389	99	2009
97	1	2	291	97	0
98	2	2	340	0	2005
99	1	1	282	92	2008
100	1	2	466	99	2009
101	1	2	325	0	2006
102	1	2	452	92	0
103	1	2	296	146	0
104	1	2	302	94	2008
105	1	2	342	0	0
106	1	1	271	0	2010
107	1	2	270	0	2007
108	1	2	336	144	2008
109	2	1	444	0	2005
110	1	2	460	0	0
111	1	1	490	95	2009
112	1	2	307	0	2007
113	1	1	466	0	2008
114	1	2	306	0	0
115	2	0	0	0	0
116	1	1	394	150	2007
117	1	1	460	0	2007
118	1	2	297	0	2006
119	1	2	466	98	2010
120	1	1	0	140	2009
121	1	1	266	0	0
122	2	0	394	92	2004
123	1	2	496	97	2008
124	1	1	266	0	2006
125	1	1	325	0	2007
126	1	1	452	0	2009
127	1	2	508	0	0
128	1	1	460	99	2006
129	1	2	261	0	2007
130	2	1	445	0	2005
131	1	2	274	0	2008
132	3	0	0	0	0
133	1	1	503	0	2007
134	1	1	441	0	0
135	1	0	0	0	2007
136	1	1	0	0	0
137	2	2	284	0	2005
138	1	2	0	150	2007
139	1	0	252	99	2008
140	1	2	389	0	0
141	5	1	406	0	2006
142	1	1	296	92	2009
143	1	1	475	0	2008
144	2	2	441	0	2005
145	1	1	460	94	2009
146	1	0	0	0	0
147	1	2	339	0	2008
148	1	1	454	0	2008
149	1	1	250	95	2008
150	1	2	452	0	2006
151	1	1	404	0	2007
152	1	1	389	91	2008
153	1	1	415	92	2008
154	2	2	0	0	0
155	1	1	429	91	2007
156	1	1	451	93	2006
157	1	2	389	0	2006
158	1	1	411	0	2006
159	1	1	395	0	2009
160	1	0	460	142	2008
161	1	1	398	0	0
162	1	1	485	0	2007
163	1	1	361	0	2007
164	1	2	266	149	2005
165	2	2	266	124	2005
166	1	1	0	89	2009
167	1	2	266	0	2007
168	1	2	411	94	2009
169	5	2	416	0	2006
170	1	1	503	0	0
171	1	1	444	0	2006
172	1	2	0	0	0
173	1	2	274	0	2007
174	1	1	374	95	2008
175	1	2	341	119	2008
176	1	2	399	148	0
177	1	2	460	99	2008
178	1	2	335	0	2007
179	1	1	266	93	2008
180	1	2	284	0	2007
181	1	2	335	0	2008
182	1	1	303	0	2007
183	2	2	252	0	2005
184	1	1	0	149	2008
185	1	2	394	0	2005
186	2	2	504	0	2006
187	1	1	250	0	2008
188	1	1	466	98	2006
189	1	1	460	0	2006
190	5	1	313	0	2005
191	1	1	282	0	2008
192	1	2	262	95	2007
193	1	2	282	0	2006
194	1	2	374	0	2007
195	1	1	387	142	2009
196	1	2	262	0	2007
197	2	1	404	0	2004
198	1	1	444	149	2008
199	1	1	0	0	2008
200	2	1	266	0	2004
201	1	0	0	0	0
202	1	1	252	99	0
203	1	2	490	0	0
204	1	1	441	0	2008
205	1	1	394	92	2008
206	1	2	429	0	2005
207	1	2	274	94	2009
