id	status	gender	major	dorm	year
1	1	2	0	41	2008
2	1	2	53	47	2005
3	2	0	0	0	0
4	1	0	85	33	2006
5	1	0	0	40	2007
6	1	0	66	0	2006
7	1	2	106	38	2007
8	5	2	101	0	2006
9	1	1	60	41	2006
10	1	1	85	39	2007
11	1	1	82	43	2009
12	1	1	0	37	2008
13	1	1	115	0	2010
14	1	1	54	37	2008
15	2	1	45	42	2003
16	1	1	87	39	2009
17	1	2	49	36	2006
18	1	1	86	41	2007
19	1	1	0	47	2009
20	1	1	100	31	2008
21	1	2	106	33	2008
22	2	2	67	39	2005
23	1	2	77	49	2007
24	1	2	0	37	2008
25	2	0	106	0	2005
26	1	2	85	40	2009
27	1	1	101	41	2009
28	4	1	0	0	0
29	1	2	0	0	2008
30	1	2	80	37	2008
31	1	2	76	36	2007
32	5	1	115	0	2009
33	1	1	66	35	2007
34	1	1	106	0	2006
35	1	1	100	50	0
36	1	1	0	33	2009
37	1	2	106	41	2007
38	1	1	50	33	2008
39	1	1	0	43	2009
40	1	1	89	36	2008
41	1	2	66	35	2005
42	2	2	85	36	2004
43	2	2	66	41	2005
44	1	2	99	48	2006
45	2	2	106	0	2005
46	2	2	0	0	1967
47	2	2	103	41	0
48	1	1	116	35	2009
49	5	1	53	0	2006
50	2	2	74	36	2005
51	1	2	49	0	2006
52	2	2	85	38	2005
53	1	2	0	36	2009
54	2	2	100	36	2005
55	5	1	0	0	2007
56	1	2	0	40	2008
57	1	2	104	33	2009
58	1	1	85	42	2007
59	1	2	66	37	2007
60	1	0	0	36	2008
61	1	2	66	36	2006
62	1	1	85	32	2006
63	2	2	83	35	2005
64	2	1	108	31	2004
65	1	2	96	39	2006
66	2	1	87	37	2005
67	1	1	99	33	2007
68	1	2	66	35	2008
69	1	1	0	31	2009
70	2	2	106	39	2004
71	1	1	78	40	2007
72	1	1	85	35	2006
73	1	1	76	36	2006
74	1	1	42	41	2006
75	2	2	96	32	1999
76	1	1	66	36	2008
77	1	2	53	38	2007
78	1	1	60	40	2008
79	1	1	85	37	2006
80	1	2	0	0	2007
81	1	1	64	36	2007
82	1	1	113	35	2008
83	2	1	85	34	2005
84	1	2	93	34	2007
85	5	0	248	0	2006
86	1	2	107	37	2006
87	1	1	66	35	0
88	1	1	95	0	2009
89	2	2	66	33	2004
90	1	1	0	41	2007
91	3	2	82	0	0
92	1	2	116	33	2009
93	1	1	101	0	2007
94	1	1	0	38	2008
95	3	1	111	0	0
96	1	2	88	39	2007
97	2	1	108	33	2004
98	1	1	0	46	2008
99	2	1	85	37	2005
100	2	2	66	39	2005
101	1	2	0	35	2008
102	2	2	85	0	2005
103	2	1	87	31	2005
104	2	2	113	0	2005
105	1	2	0	41	2008
106	1	1	102	33	2007
107	1	1	49	0	2007
108	1	2	106	47	2007
109	1	2	100	39	2008
110	1	1	0	32	2008
111	2	1	0	36	2003
112	1	1	0	32	2008
113	1	1	53	42	2007
114	5	1	101	0	2006
115	2	2	61	39	2005
116	1	1	100	39	2008
117	1	0	0	31	2008
118	1	1	94	35	2007
119	2	1	42	0	1980
120	5	1	95	0	2007
121	2	2	108	40	2004
122	1	2	0	42	2007
123	5	2	249	0	2007
124	2	2	99	34	2004
125	5	2	117	0	2006
126	1	2	66	37	2007
127	1	2	85	36	2007
128	1	2	100	34	2008
129	1	2	69	42	2009
130	1	2	91	38	2008
131	1	2	78	34	2006
132	1	1	78	39	2005
133	1	1	53	39	2007
134	1	1	76	36	2006
135	2	2	0	0	0
136	2	1	76	34	2005
137	1	2	76	35	2006
138	5	2	0	0	2005
139	1	2	101	35	2006
140	3	2	0	35	0
141	2	2	99	33	2005
142	1	2	109	40	2008
143	1	2	49	34	2004
144	3	0	85	0	0
145	2	0	0	0	0
146	2	2	61	35	2004
147	1	2	0	39	2008
148	1	2	0	37	2008
149	1	1	66	40	2009
150	1	0	0	50	2008
151	1	1	69	34	2006
152	2	1	248	33	2005
153	5	2	61	0	0
154	1	1	86	34	2007
155	2	2	79	37	2003
156	2	2	49	39	2005
157	5	0	0	0	0
158	1	2	101	41	2007
159	2	2	96	32	2005
160	1	2	54	35	2009
161	1	1	100	34	2006
162	1	2	66	36	2007
163	1	1	101	39	2008
164	2	1	85	41	2005
165	1	1	66	37	0
166	1	1	53	31	2009
167	1	1	95	37	2008
168	1	2	59	39	2006
169	1	2	53	36	2009
170	1	2	106	40	2007
171	5	2	57	31	2010
172	1	2	58	35	2008
173	1	2	90	42	2006
174	1	1	66	47	2007
175	1	1	67	41	2009
176	1	1	89	40	2008
177	2	1	106	38	2005
178	1	2	53	34	2006
179	2	1	101	0	2003
180	1	2	98	40	2005
181	1	2	0	42	2007
182	1	1	108	36	2006
183	2	2	0	0	2005
184	2	2	61	36	2004
185	2	2	78	34	2005
186	2	0	0	0	0
187	2	0	106	40	2005
188	5	1	43	0	2006
189	1	2	106	50	2008
190	2	1	108	35	2005
191	2	1	100	34	2005
192	1	1	66	33	2008
193	1	0	71	34	2007
194	1	1	73	48	2009
195	1	2	66	37	0
196	2	1	106	34	2003
197	2	2	66	37	2004
198	1	2	66	0	2006
199	5	0	0	0	0
200	2	0	0	0	0
201	2	2	105	32	2005
202	5	1	248	0	2007
203	1	0	0	0	0
204	4	2	0	0	0
205	2	2	66	42	2004
206	2	2	50	42	2005
207	2	2	85	47	2005
208	1	1	50	40	2009
209	1	0	0	0	0
210	1	2	113	38	2007
211	2	2	85	41	2005
212	1	1	91	36	2006
213	1	1	0	32	2008
214	1	2	103	38	2009
215	1	2	0	0	2006
216	1	1	85	41	2006
217	2	0	109	38	2004
218	1	1	249	47	2009
219	1	2	66	31	2005
220	1	1	53	41	2009
221	1	1	85	35	2009
222	1	2	108	34	2007
223	2	1	66	35	2004
224	2	1	0	36	2004
225	2	2	66	36	2005
226	2	2	66	33	2005
227	2	2	76	34	2004
228	1	2	66	38	2008
229	1	1	66	40	2008
230	1	2	0	42	2008
231	1	1	93	44	2006
232	1	2	44	33	2006
233	1	1	53	46	2009
234	5	1	72	0	0
235	1	2	0	33	2008
236	2	0	95	39	2005
237	5	2	86	0	2008
238	2	0	0	0	0
239	1	2	44	34	2008
240	1	1	0	41	2008
241	1	2	55	34	2008
242	1	2	66	37	2007
243	1	0	0	39	2008
244	5	0	0	0	0
245	1	2	66	42	2007
246	1	0	109	0	0
247	1	2	66	32	2009
248	2	1	99	33	2005
249	2	2	87	40	2004
250	2	2	44	31	2005
251	1	2	0	34	2009
252	1	2	85	36	0
253	1	1	0	32	2009
254	1	1	44	33	2006
255	1	2	66	38	2009
256	1	0	0	0	0
257	3	2	79	0	0
258	2	0	44	0	2005
259	1	2	106	48	2009
260	5	0	0	0	0
261	1	1	116	40	2008
262	1	1	106	38	2007
263	1	1	100	37	2008
264	2	2	103	42	2004
265	2	1	53	38	2005
266	1	2	67	33	2009
267	1	1	0	48	2009
268	5	1	0	0	2005
269	2	1	106	31	2003
270	1	2	99	40	2008
271	2	2	106	38	2004
272	2	2	106	34	2005
273	1	1	0	43	2008
274	2	1	85	37	2004
275	1	2	104	41	2008
276	2	1	69	40	2004
277	5	1	108	42	0
278	1	2	85	41	2006
279	1	1	0	41	2008
280	1	1	109	34	2005
281	1	1	102	45	2006
282	1	2	85	35	2007
283	1	1	53	39	2007
284	1	1	106	43	2009
285	1	2	106	35	2006
286	2	1	86	34	2004
287	2	0	69	42	2005
288	1	1	78	34	2009
289	1	1	60	41	2009
290	1	2	103	34	2007
291	1	1	99	34	2006
292	2	1	108	37	2004
293	2	2	100	38	2005
294	2	2	50	39	2005
295	2	2	85	42	2004
296	2	1	106	34	2005
297	1	2	54	34	2009
298	2	1	44	38	2003
299	2	2	54	38	2004
300	1	1	100	33	2008
301	5	2	76	0	0
302	1	1	44	32	2009
303	1	2	66	47	2009
304	1	2	66	33	2007
305	1	1	108	46	2009
306	2	1	0	36	2005
307	5	2	101	0	0
308	1	0	0	0	0
309	1	1	97	41	2008
310	2	1	101	42	2005
311	1	2	85	32	2007
312	2	0	0	0	0
313	1	1	60	34	0
314	1	1	112	33	2006
315	1	1	0	38	2008
316	1	0	0	0	0
317	5	2	61	0	2010
318	1	1	80	41	2007
319	2	1	66	31	2004
320	2	0	0	0	0
321	1	2	76	39	2008
322	1	2	66	0	2005
323	2	1	85	31	2003
324	1	0	0	0	0
325	2	2	74	42	2003
326	1	1	60	35	2009
327	1	2	0	41	2009
328	1	2	67	33	2009
329	1	2	0	0	0
330	1	2	92	32	2007
331	2	1	108	36	2004
332	1	1	86	36	2006
333	5	2	60	0	0
334	1	1	100	31	2006
335	1	2	66	0	2006
336	1	1	69	33	2007
337	1	0	0	0	0
338	1	2	96	35	2005
339	1	2	100	43	2009
340	1	2	66	39	2008
341	1	2	67	40	2008
342	2	1	76	41	2004
343	1	1	48	34	2007
344	1	1	0	36	2008
345	2	2	108	40	2005
346	1	1	87	37	2006
347	1	2	0	31	2008
348	1	1	95	40	2008
349	2	2	53	33	2005
350	1	1	60	32	2006
351	1	1	117	0	2007
352	2	2	85	32	2004
353	1	2	117	0	2007
354	1	2	78	34	2006
355	2	1	61	32	2004
356	1	2	85	38	2007
357	1	2	71	33	2009
358	1	0	106	36	2006
359	1	1	0	34	2009
360	2	2	85	35	2004
361	5	1	0	0	0
362	1	2	100	40	2008
363	1	2	106	40	2009
364	5	2	101	0	2006
365	2	1	0	38	2004
366	1	2	60	32	2009
367	1	1	54	37	2006
368	5	2	249	0	2008
369	2	0	0	0	0
370	1	2	0	39	2007
371	2	2	0	0	0
372	1	1	0	36	2007
373	2	1	66	32	2005
374	1	1	104	32	2009
375	5	1	53	0	2006
376	1	1	85	31	2006
377	1	2	0	40	0
378	2	2	85	39	2005
379	5	0	101	0	0
380	2	2	66	0	2005
381	2	2	61	0	2005
382	1	1	85	41	2007
383	1	2	0	40	2009
384	2	2	49	0	2005
385	1	2	66	34	2006
386	1	2	106	32	2005
387	1	2	100	40	2007
388	1	1	66	41	2007
389	1	0	45	36	2006
390	5	2	249	0	2007
391	1	1	113	33	2009
392	2	1	116	39	2005
393	2	1	100	41	2004
394	1	1	99	38	2008
395	2	2	49	0	2005
396	2	1	106	39	2004
397	2	0	0	0	0
398	2	2	76	35	2003
399	1	1	87	34	2007
400	1	1	249	31	2009
401	5	0	0	0	0
402	1	1	99	35	2009
403	1	1	53	41	2009
404	1	1	53	32	2008
405	5	2	109	0	2006
406	5	2	66	0	0
407	1	1	85	41	2007
408	1	0	0	0	0
409	1	1	58	41	2009
410	1	0	69	38	2008
411	2	1	76	31	2004
412	2	2	85	40	2003
413	2	0	76	0	2005
414	1	2	53	47	2007
415	2	2	86	31	2004
416	1	2	106	41	2006
417	1	2	60	34	2009
418	1	2	74	36	2008
419	2	1	66	34	2005
420	1	2	66	31	2006
421	2	2	0	38	2005
422	1	1	0	0	2008
423	3	2	99	0	0
424	5	2	100	0	0
425	5	1	100	0	0
426	1	2	78	50	2007
427	2	1	0	0	0
428	1	2	66	40	2006
429	2	0	0	40	2005
430	5	2	101	0	2006
431	1	1	66	40	2009
432	2	1	99	39	2004
433	1	1	0	32	2007
434	1	0	0	0	0
435	2	1	101	0	2005
436	1	1	49	37	2006
437	1	2	76	33	2008
438	2	1	0	37	2004
439	5	2	106	0	0
440	5	2	72	0	2008
441	1	1	116	42	2005
442	1	1	0	38	2009
443	5	2	54	0	2010
444	1	2	0	31	2008
445	2	2	85	37	2003
446	1	1	106	36	2005
447	1	2	85	32	2007
448	2	1	100	33	2004
449	1	1	85	40	2007
450	2	1	60	36	2004
451	2	2	85	41	2004
452	1	1	96	39	2008
453	1	2	99	32	2008
454	2	2	66	36	2003
455	1	1	54	43	2009
456	1	2	0	36	2008
457	2	0	69	31	2005
458	1	2	42	35	2007
